,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
0,1,11:49.0,Turnover by H. Whiteside (out of bounds lost ball),,0,0
1,1,11:42.0,,Personal foul by J. Richardson (drawn by J. Redick),0,0
2,1,11:35.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by D. Šarić),0,3
3,1,11:20.0,T. Johnson misses 2-pt jump shot from 14 ft,,0,3
4,1,11:17.0,,Defensive rebound by B. Simmons,0,3
5,1,11:12.0,,Turnover by J. Embiid (step out of bounds),0,3
6,1,11:00.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Johnson),,3,3
7,1,10:49.0,,J. Embiid makes 2-pt layup from 2 ft (assist by D. Šarić),3,5
8,1,10:49.0,,Shooting foul by H. Whiteside (drawn by J. Embiid),3,5
9,1,10:49.0,,J. Embiid makes free throw 1 of 1,3,6
10,1,10:44.0,G. Dragić misses 3-pt jump shot from 26 ft,,3,6
11,1,10:41.0,Offensive rebound by H. Whiteside,,3,6
12,1,10:41.0,H. Whiteside misses 2-pt layup from 5 ft,,3,6
13,1,10:38.0,Offensive rebound by H. Whiteside,,3,6
14,1,10:38.0,Shooting foul by D. Šarić (drawn by H. Whiteside),,3,6
15,1,10:38.0,H. Whiteside misses free throw 1 of 2,,3,6
16,1,10:38.0,Offensive rebound by Team,,3,6
17,1,10:38.0,H. Whiteside misses free throw 2 of 2,,3,6
18,1,10:36.0,,Defensive rebound by J. Embiid,3,6
19,1,10:29.0,,Shooting foul by J. Richardson (drawn by B. Simmons),3,6
20,1,10:29.0,,B. Simmons makes free throw 1 of 2,3,7
21,1,10:29.0,R. McGruder enters the game for J. Richardson,,3,7
22,1,10:29.0,,B. Simmons makes free throw 2 of 2,3,8
23,1,10:14.0,Turnover by J. Johnson (bad pass; steal by B. Simmons),,3,8
24,1,10:01.0,,J. Embiid misses 2-pt jump shot from 9 ft (block by H. Whiteside),3,8
25,1,9:58.0,Defensive rebound by R. McGruder,,3,8
