,QUARTER,TIME_REMAINING,DALLAS_ACTION,CLEVELAND_ACTION,DALLAS_SCORE,CLEVELAND_SCORE
0,1,11:49.0,Turnover by D. Smith (bad pass; steal by K. Love),,0,0
1,1,11:32.0,,K. Love makes 2-pt layup from 1 ft (assist by L. James),0,2
2,1,11:20.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),,3,2
3,1,11:00.0,,L. James misses 2-pt layup from 2 ft (block by D. Finney-Smith),3,2
4,1,10:57.0,Defensive rebound by D. Powell,,3,2
5,1,10:42.0,H. Barnes misses 3-pt jump shot from 27 ft,,3,2
6,1,10:36.0,,Defensive rebound by L. James,3,2
7,1,10:30.0,,L. James misses 2-pt layup from 2 ft,3,2
8,1,10:27.0,Defensive rebound by D. Nowitzki,,3,2
9,1,10:20.0,Turnover by D. Smith (bad pass; steal by L. Nance),,3,2
10,1,10:12.0,,K. Love misses 3-pt jump shot from 23 ft,3,2
11,1,10:10.0,Defensive rebound by D. Smith,,3,2
12,1,9:51.0,D. Smith makes 3-pt jump shot from 22 ft (assist by H. Barnes),,6,2
13,1,9:34.0,,J. Calderón misses 3-pt jump shot from 24 ft,6,2
14,1,9:32.0,Defensive rebound by D. Nowitzki,,6,2
15,1,9:24.0,D. Nowitzki misses 3-pt jump shot from 28 ft,,6,2
16,1,9:20.0,,Defensive rebound by L. Nance,6,2
17,1,9:12.0,,L. Nance makes 2-pt layup at rim (assist by J. Calderón),6,4
18,1,9:00.0,Turnover by D. Smith (bad pass),,6,4
19,1,8:48.0,,Shooting foul by D. Finney-Smith (drawn by L. Nance),6,4
20,1,8:48.0,,L. Nance misses free throw 1 of 2,6,4
21,1,8:48.0,,Offensive rebound by Team,6,4
22,1,8:48.0,,L. Nance misses free throw 2 of 2,6,4
23,1,8:46.0,Defensive rebound by D. Nowitzki,,6,4
24,1,8:31.0,D. Smith makes 2-pt jump shot from 5 ft,,8,4
25,1,8:18.0,,R. Hood misses 2-pt jump shot from 14 ft,8,4
26,1,8:16.0,Defensive rebound by H. Barnes,,8,4
27,1,8:10.0,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by H. Barnes),,10,4
28,1,7:53.0,,R. Hood misses 3-pt jump shot from 22 ft,10,4
29,1,7:50.0,Defensive rebound by D. Finney-Smith,,10,4
30,1,7:33.0,D. Smith misses 3-pt jump shot from 26 ft,,10,4
31,1,7:31.0,,Defensive rebound by L. James,10,4
32,1,7:25.0,,L. James misses 2-pt jump shot from 7 ft,10,4
33,1,7:21.0,,Offensive rebound by L. James,10,4
34,1,7:19.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),10,7
35,1,7:02.0,Shooting block foul by K. Love (drawn by D. Powell),,10,7
36,1,7:02.0,D. Powell misses free throw 1 of 2,,10,7
37,1,7:02.0,Offensive rebound by Team,,10,7
38,1,7:02.0,D. Powell makes free throw 2 of 2,,11,7
39,1,6:50.0,,K. Love makes 2-pt jump shot from 14 ft (assist by L. James),11,9
40,1,6:35.0,D. Smith makes 2-pt dunk from 1 ft,,13,9
41,1,6:23.0,,Cleveland full timeout,13,9
42,1,6:23.0,M. Kleber enters the game for D. Nowitzki,,13,9
43,1,6:18.0,,Def 3 sec tech foul by M. Kleber,13,9
44,1,6:18.0,,K. Love misses technical free throw,13,9
45,1,6:18.0,,Offensive rebound by Team,13,9
46,1,6:14.0,,Shooting foul by D. Powell (drawn by K. Love),13,9
47,1,6:14.0,,K. Love misses free throw 1 of 2,13,9
48,1,6:14.0,,Offensive rebound by Team,13,9
49,1,6:14.0,,K. Love makes free throw 2 of 2,13,10
50,1,6:03.0,Turnover by D. Powell (bad pass),,13,10
51,1,5:49.0,,L. James makes 2-pt layup at rim,13,12
52,1,5:37.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,13,12
53,1,5:33.0,,Defensive rebound by R. Hood,13,12
54,1,5:28.0,,Turnover by K. Love (out of bounds lost ball),13,12
55,1,5:17.0,D. Smith misses 3-pt jump shot from 25 ft,,13,12
56,1,5:14.0,,Defensive rebound by K. Love,13,12
57,1,5:04.0,,Personal foul by D. Finney-Smith (drawn by L. James),13,12
58,1,5:04.0,,J. Clarkson enters the game for K. Love,13,12
59,1,5:04.0,,J. Green enters the game for J. Calderón,13,12
60,1,5:04.0,A. Harrison enters the game for D. Powell,,13,12
61,1,5:04.0,N. Noel enters the game for D. Finney-Smith,,13,12
62,1,4:58.0,,R. Hood makes 2-pt dunk at rim (assist by L. Nance),13,14
63,1,4:40.0,H. Barnes makes 2-pt jump shot from 6 ft,,15,14
64,1,4:27.0,,J. Clarkson misses 2-pt jump shot from 3 ft,15,14
65,1,4:27.0,Defensive rebound by A. Harrison,,15,14
66,1,4:17.0,D. Smith misses 2-pt jump shot from 13 ft,,15,14
67,1,4:15.0,,Defensive rebound by L. James,15,14
68,1,4:12.0,,Turnover by J. Clarkson (step out of bounds),15,14
69,1,4:01.0,H. Barnes makes 2-pt jump shot from 12 ft,,17,14
70,1,4:01.0,Shooting foul by L. Nance (drawn by H. Barnes),,17,14
71,1,4:01.0,H. Barnes makes free throw 1 of 1,,18,14
72,1,3:41.0,,L. James misses 2-pt jump shot from 22 ft,18,14
73,1,3:38.0,Defensive rebound by D. Smith,,18,14
74,1,3:24.0,A. Harrison misses 2-pt jump shot from 21 ft,,18,14
75,1,3:21.0,,Defensive rebound by L. James,18,14
76,1,3:14.0,,J. Clarkson misses 3-pt jump shot from 22 ft,18,14
