,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,WASHINGTON_ACTION,MEMPHIS_SCORE,WASHINGTON_SCORE
0,1,11:33.0,D. Brooks misses 3-pt jump shot from 26 ft,,0,0
1,1,11:30.0,,Defensive rebound by B. Beal,0,0
2,1,11:17.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by M. Gortat),0,2
3,1,10:59.0,J. Green misses 2-pt jump shot from 14 ft,,0,2
4,1,10:56.0,,Defensive rebound by O. Porter,0,2
5,1,10:43.0,,M. Scott makes 2-pt jump shot from 8 ft,0,4
6,1,10:30.0,D. Brooks makes 2-pt layup from 3 ft,,2,4
7,1,10:21.0,,B. Beal misses 3-pt jump shot from 23 ft,2,4
8,1,10:17.0,Defensive rebound by J. Green,,2,4
9,1,10:07.0,J. Green misses 3-pt jump shot from 25 ft,,2,4
10,1,10:04.0,,Defensive rebound by M. Gortat,2,4
11,1,9:57.0,,M. Scott misses 2-pt jump shot from 6 ft,2,4
12,1,9:54.0,Defensive rebound by M. Gasol,,2,4
13,1,9:43.0,J. Green makes 2-pt dunk from 1 ft (assist by A. Harrison),,4,4
14,1,9:29.0,,O. Porter misses 2-pt jump shot from 23 ft,4,4
15,1,9:24.0,Defensive rebound by D. Brooks,,4,4
16,1,9:17.0,J. Green misses 2-pt layup from 3 ft (block by O. Porter),,4,4
17,1,9:15.0,Offensive rebound by J. Green,,4,4
18,1,9:15.0,Turnover by J. Green (traveling),,4,4
19,1,8:57.0,,J. Wall misses 2-pt jump shot from 16 ft,4,4
20,1,8:54.0,Defensive rebound by A. Harrison,,4,4
21,1,8:46.0,M. Gasol misses 2-pt jump shot from 15 ft,,4,4
22,1,8:43.0,Offensive rebound by C. Parsons,,4,4
23,1,8:38.0,Turnover by M. Gasol (bad pass),,4,4
24,1,8:21.0,,B. Beal misses 2-pt jump shot from 14 ft,4,4
25,1,8:17.0,Defensive rebound by M. Gasol,,4,4
26,1,8:14.0,D. Brooks misses 2-pt layup from 1 ft (block by M. Gortat),,4,4
27,1,8:12.0,,Defensive rebound by B. Beal,4,4
28,1,7:57.0,,M. Scott misses 3-pt jump shot from 25 ft,4,4
29,1,7:55.0,Defensive rebound by M. Gasol,,4,4
30,1,7:55.0,Personal foul by J. Wall (drawn by M. Gasol),,4,4
31,1,7:35.0,D. Brooks misses 3-pt jump shot from 27 ft,,4,4
32,1,7:32.0,,Defensive rebound by M. Gortat,4,4
33,1,7:18.0,,B. Beal makes 2-pt layup at rim,4,6
34,1,6:57.0,A. Harrison misses 2-pt layup from 1 ft,,4,6
35,1,6:53.0,,Defensive rebound by M. Scott,4,6
36,1,6:46.0,,Turnover by J. Wall (bad pass; steal by M. Gasol),4,6
37,1,6:31.0,C. Parsons misses 3-pt jump shot from 27 ft,,4,6
38,1,6:27.0,,Defensive rebound by M. Scott,4,6
39,1,6:23.0,,Personal foul by A. Harrison (drawn by J. Wall),4,6
40,1,6:23.0,,Washington full timeout,4,6
41,1,6:23.0,J. Ennis enters the game for D. Brooks,,4,6
42,1,6:14.0,,M. Scott makes 3-pt jump shot from 23 ft (assist by B. Beal),4,9
43,1,5:49.0,C. Parsons makes 3-pt jump shot from 27 ft (assist by J. Ennis),,7,9
44,1,5:32.0,,J. Wall makes 2-pt jump shot from 13 ft,7,11
45,1,5:19.0,C. Parsons misses 2-pt jump shot from 15 ft,,7,11
46,1,5:17.0,,Defensive rebound by M. Gortat,7,11
47,1,5:10.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),7,13
48,1,5:10.0,,Shooting foul by J. Green (drawn by M. Gortat),7,13
49,1,5:10.0,,T. Satoranský enters the game for J. Wall,7,13
50,1,5:10.0,B. McLemore enters the game for A. Harrison,,7,13
51,1,5:10.0,M. Chalmers enters the game for C. Parsons,,7,13
52,1,5:10.0,,M. Gortat misses free throw 1 of 1,7,13
53,1,5:04.0,Defensive rebound by J. Green,,7,13
54,1,4:59.0,M. Gasol misses 3-pt jump shot from 24 ft,,7,13
55,1,4:55.0,,Defensive rebound by O. Porter,7,13
56,1,4:44.0,,Offensive foul by M. Scott (drawn by M. Chalmers),7,13
57,1,4:44.0,,Turnover by M. Scott (offensive foul),7,13
58,1,4:20.0,Turnover by J. Green (out of bounds lost ball),,7,13
59,1,4:07.0,,O. Porter misses 2-pt layup from 4 ft,7,13
60,1,4:05.0,Defensive rebound by J. Green,,7,13
61,1,3:58.0,Turnover by M. Chalmers (bad pass),,7,13
62,1,3:58.0,J. Martin enters the game for J. Green,,7,13
63,1,3:46.0,,B. Beal makes 2-pt jump shot from 20 ft (assist by M. Gortat),7,15
64,1,3:26.0,M. Gasol misses 2-pt jump shot from 11 ft,,7,15
65,1,3:23.0,,Defensive rebound by O. Porter,7,15
66,1,3:16.0,,J. Smith enters the game for M. Gortat,7,15
67,1,3:01.0,,O. Porter makes 2-pt jump shot from 20 ft,7,17
68,1,2:49.0,M. Gasol makes 2-pt layup from 2 ft (assist by M. Chalmers),,9,17
69,1,2:49.0,Shooting foul by M. Scott (drawn by M. Gasol),,9,17
70,1,2:49.0,Memphis full timeout,,9,17
71,1,2:49.0,,K. Oubre enters the game for M. Scott,9,17
