,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,E. Moore makes 2-pt layup from 5 ft (assist by R. Rondo),,2,0
1,1,11:19.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by K. Looney),2,2
2,1,11:13.0,J. Holiday makes 2-pt layup from 1 ft (assist by A. Davis),,4,2
3,1,10:56.0,,K. Durant misses 2-pt jump shot from 22 ft,4,2
4,1,10:49.0,Defensive rebound by A. Davis,,4,2
5,1,10:48.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by J. Holiday),,7,2
6,1,10:37.0,,Q. Cook makes 2-pt layup from 2 ft (assist by D. Green),7,4
7,1,10:25.0,R. Rondo makes 3-pt jump shot from 25 ft (assist by A. Davis),,10,4
8,1,10:15.0,,D. Green misses 3-pt jump shot from 25 ft,10,4
9,1,10:12.0,,Offensive rebound by K. Looney,10,4
10,1,10:08.0,,D. Green misses 2-pt layup from 3 ft,10,4
11,1,10:05.0,Defensive rebound by J. Holiday,,10,4
12,1,10:00.0,A. Davis makes 2-pt layup from 2 ft (assist by N. Mirotić),,12,4
13,1,9:45.0,,Turnover by D. Green (bad pass),12,4
14,1,9:43.0,Shooting foul by D. Green (drawn by A. Davis),,12,4
15,1,9:43.0,A. Davis makes free throw 1 of 2,,13,4
16,1,9:43.0,A. Davis misses free throw 2 of 2,,13,4
17,1,9:41.0,,Defensive rebound by D. Green,13,4
18,1,9:30.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by Q. Cook),13,6
19,1,9:15.0,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),,15,6
20,1,9:02.0,,Q. Cook makes 3-pt jump shot from 26 ft (assist by K. Durant),15,9
21,1,8:47.0,N. Mirotić makes 2-pt layup from 2 ft (assist by R. Rondo),,17,9
22,1,8:40.0,,K. Durant makes 3-pt jump shot from 28 ft,17,12
23,1,8:26.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by E. Moore),,20,12
24,1,8:15.0,,K. Thompson misses 2-pt jump shot from 20 ft,20,12
25,1,8:15.0,Defensive rebound by Team,,20,12
26,1,8:08.0,Personal foul by K. Looney (drawn by A. Davis),,20,12
27,1,8:08.0,Turnover by R. Rondo (bad pass),,20,12
28,1,7:53.0,,Q. Cook makes 2-pt jump shot from 19 ft,20,14
29,1,7:38.0,R. Rondo makes 3-pt jump shot from 25 ft (assist by N. Mirotić),,23,14
30,1,7:23.0,,K. Looney makes 2-pt layup from 2 ft (assist by D. Green),23,16
31,1,7:15.0,Personal foul by Q. Cook (drawn by R. Rondo),,23,16
32,1,7:11.0,R. Rondo misses 2-pt layup from 2 ft,,23,16
33,1,7:08.0,,Defensive rebound by K. Thompson,23,16
34,1,7:01.0,,K. Durant makes 2-pt jump shot from 6 ft,23,18
35,1,6:44.0,A. Davis makes 2-pt jump shot from 21 ft,,25,18
36,1,6:31.0,,Q. Cook makes 2-pt layup from 1 ft (assist by D. Green),25,20
37,1,6:20.0,N. Mirotić misses 3-pt jump shot from 25 ft,,25,20
38,1,6:17.0,,Defensive rebound by D. Green,25,20
39,1,6:15.0,,Golden State full timeout,25,20
40,1,6:15.0,S. Hill enters the game for R. Rondo,,25,20
41,1,6:10.0,,Turnover by D. Green (bad pass; steal by J. Holiday),25,20
42,1,5:55.0,J. Holiday misses 2-pt jump shot from 8 ft,,25,20
43,1,5:50.0,,Defensive rebound by D. Green,25,20
44,1,5:41.0,,K. Thompson makes 2-pt jump shot from 19 ft,25,22
45,1,5:27.0,E. Moore makes 3-pt jump shot from 26 ft (assist by J. Holiday),,28,22
46,1,5:08.0,,K. Looney makes 2-pt layup from 2 ft (assist by Q. Cook),28,24
47,1,4:54.0,J. Holiday makes 2-pt jump shot from 7 ft,,30,24
48,1,4:37.0,,K. Thompson makes 2-pt layup from 1 ft (assist by K. Looney),30,26
49,1,4:37.0,,Shooting foul by S. Hill (drawn by K. Thompson),30,26
50,1,4:37.0,,A. Iguodala enters the game for K. Looney,30,26
51,1,4:37.0,,J. Bell enters the game for D. Green,30,26
52,1,4:37.0,,K. Thompson makes free throw 1 of 1,30,27
53,1,4:25.0,A. Davis misses 2-pt hook shot from 8 ft,,30,27
54,1,4:22.0,,Defensive rebound by J. Bell,30,27
55,1,4:11.0,,Q. Cook misses 2-pt jump shot from 19 ft,30,27
56,1,4:08.0,Defensive rebound by S. Hill,,30,27
57,1,4:00.0,N. Mirotić misses 2-pt jump shot from 12 ft,,30,27
58,1,3:55.0,,Defensive rebound by K. Durant,30,27
59,1,3:51.0,,Shooting foul by J. Holiday (drawn by J. Bell),30,27
60,1,3:51.0,,J. Bell makes free throw 1 of 2,30,28
61,1,3:51.0,,N. Young enters the game for K. Thompson,30,28
62,1,3:51.0,D. Miller enters the game for N. Mirotić,,30,28
63,1,3:51.0,,J. Bell misses free throw 2 of 2,30,28
64,1,3:49.0,Defensive rebound by J. Holiday,,30,28
65,1,3:30.0,D. Miller misses 3-pt jump shot from 22 ft,,30,28
66,1,3:26.0,,Defensive rebound by N. Young,30,28
67,1,3:22.0,,Shooting foul by S. Hill (drawn by K. Durant),30,28
68,1,3:22.0,,K. Durant makes free throw 1 of 2,30,29
69,1,3:22.0,,K. Durant makes free throw 2 of 2,30,30
70,1,3:10.0,A. Davis makes 2-pt jump shot from 9 ft (assist by J. Holiday),,32,30
71,1,2:50.0,,K. Durant misses 2-pt jump shot from 17 ft,32,30
72,1,2:47.0,Defensive rebound by J. Holiday,,32,30
73,1,2:40.0,A. Davis makes 2-pt dunk at rim (assist by E. Moore),,34,30
74,1,2:10.0,,Turnover by J. Bell (lost ball; steal by S. Hill),34,30
75,1,2:05.0,Turnover by A. Davis (traveling),,34,30
76,1,2:05.0,New Orleans full timeout,,34,30
77,1,2:05.0,,D. Green enters the game for Q. Cook,34,30
78,1,2:05.0,R. Rondo enters the game for J. Holiday,,34,30
79,1,1:48.0,,A. Iguodala makes 2-pt jump shot from 12 ft,34,32
80,1,1:31.0,R. Rondo makes 2-pt layup from 1 ft,,36,32
81,1,1:31.0,Shooting foul by A. Iguodala (drawn by R. Rondo),,36,32
82,1,1:31.0,N. Mirotić enters the game for E. Moore,,36,32
83,1,1:31.0,R. Rondo misses free throw 1 of 1,,36,32
84,1,1:28.0,,Defensive rebound by A. Iguodala,36,32
85,1,1:13.0,,K. Durant misses 2-pt jump shot from 11 ft,36,32
86,1,1:09.0,Defensive rebound by A. Davis,,36,32
87,1,0:57.0,A. Davis misses 2-pt jump shot from 13 ft,,36,32
88,1,0:54.0,,Defensive rebound by D. Green,36,32
89,1,0:46.0,,Turnover by J. Bell (lost ball; steal by S. Hill),36,32
90,1,0:39.0,A. Davis makes 2-pt jump shot from 8 ft (assist by N. Mirotić),,38,32
91,1,0:28.0,,K. Durant misses 3-pt jump shot from 27 ft,38,32
92,1,0:24.0,Defensive rebound by R. Rondo,,38,32
93,1,0:05.0,N. Mirotić makes 2-pt layup from 1 ft (assist by R. Rondo),,40,32
94,1,0:02.0,,N. Young misses 3-pt jump shot from 29 ft,40,32
95,1,0:00.0,Defensive rebound by S. Hill,,40,32
96,2,11:43.0,,K. Thompson misses 2-pt jump shot from 17 ft,40,32
97,2,11:39.0,Defensive rebound by R. Rondo,,40,32
98,2,11:23.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by J. Holiday),,43,32
99,2,11:10.0,,Personal foul by C. Diallo (drawn by D. West),43,32
100,2,11:08.0,,N. Young makes 3-pt jump shot from 28 ft (assist by A. Iguodala),43,35
101,2,10:59.0,Shooting foul by N. Young (drawn by C. Diallo),,43,35
102,2,10:59.0,C. Diallo misses free throw 1 of 2,,43,35
103,2,10:59.0,Offensive rebound by Team,,43,35
104,2,10:59.0,C. Diallo makes free throw 2 of 2,,44,35
105,2,10:45.0,,N. Young makes 2-pt jump shot from 17 ft (assist by D. West),44,37
106,2,10:25.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by R. Rondo),,47,37
107,2,10:10.0,,A. Iguodala misses 3-pt jump shot from 27 ft,47,37
108,2,10:08.0,Defensive rebound by Team,,47,37
109,2,10:00.0,J. Holiday misses 3-pt jump shot from 24 ft,,47,37
110,2,9:55.0,,Defensive rebound by K. Thompson,47,37
