,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
0,1,11:43.0,,K. Towns makes 2-pt hook shot from 9 ft (assist by A. Wiggins),0,2
1,1,11:26.0,Turnover by D. Fox (lost ball; steal by J. Teague),,0,2
2,1,11:17.0,,T. Gibson makes 2-pt layup from 2 ft (assist by J. Teague),0,4
3,1,11:17.0,,Shooting foul by Z. Randolph (drawn by T. Gibson),0,4
4,1,11:17.0,,T. Gibson makes free throw 1 of 1,0,5
5,1,11:01.0,D. Fox makes 2-pt layup from 1 ft,,2,5
6,1,10:40.0,,K. Towns makes 2-pt jump shot from 4 ft,2,7
7,1,10:34.0,J. Jackson makes 2-pt jump shot from 6 ft (assist by D. Fox),,4,7
8,1,10:15.0,,Turnover by J. Teague (bad pass; steal by J. Jackson),4,7
9,1,10:06.0,D. Fox makes 2-pt jump shot from 23 ft (assist by J. Jackson),,6,7
10,1,9:47.0,,Turnover by A. Wiggins (lost ball; steal by D. Fox),6,7
11,1,9:42.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,6,7
12,1,9:39.0,,Defensive rebound by A. Wiggins,6,7
13,1,9:30.0,,A. Wiggins misses 2-pt jump shot from 10 ft,6,7
14,1,9:27.0,Defensive rebound by Z. Randolph,,6,7
15,1,9:21.0,D. Fox makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,9,7
16,1,9:00.0,,K. Towns makes 2-pt jump shot from 10 ft,9,9
17,1,8:42.0,Z. Randolph makes 2-pt jump shot from 12 ft (assist by B. Bogdanović),,11,9
18,1,8:28.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),11,11
19,1,8:10.0,W. Cauley-Stein makes 2-pt jump shot from 5 ft,,13,11
20,1,7:56.0,,J. Butler makes 2-pt layup from 2 ft (assist by J. Teague),13,13
21,1,7:37.0,Z. Randolph misses 2-pt hook shot from 5 ft,,13,13
22,1,7:34.0,Offensive rebound by Team,,13,13
23,1,7:31.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Jackson),,16,13
24,1,7:16.0,,K. Towns misses 3-pt jump shot from 25 ft,16,13
25,1,7:14.0,Defensive rebound by B. Bogdanović,,16,13
26,1,7:01.0,J. Jackson misses 2-pt jump shot from 8 ft,,16,13
27,1,7:00.0,,Defensive rebound by A. Wiggins,16,13
28,1,6:52.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),16,15
29,1,6:31.0,D. Fox makes 2-pt jump shot from 14 ft,,18,15
30,1,6:21.0,,J. Teague misses 3-pt jump shot from 24 ft,18,15
31,1,6:19.0,Defensive rebound by B. Bogdanović,,18,15
32,1,6:04.0,J. Jackson misses 2-pt jump shot from 15 ft,,18,15
33,1,6:01.0,,Defensive rebound by K. Towns,18,15
34,1,5:51.0,,K. Towns makes 2-pt layup from 17 ft (assist by A. Wiggins),18,17
35,1,5:28.0,,Minnesota full timeout,18,17
36,1,5:28.0,V. Carter enters the game for B. Bogdanović,,18,17
37,1,5:24.0,J. Jackson misses 3-pt jump shot from 25 ft,,18,17
38,1,5:24.0,Offensive rebound by Team,,18,17
39,1,5:24.0,Turnover by Team (shot clock),,18,17
40,1,5:15.0,,Turnover by J. Teague (bad pass; steal by W. Cauley-Stein),18,17
41,1,5:09.0,W. Cauley-Stein misses 2-pt dunk from 1 ft,,18,17
42,1,5:07.0,Offensive rebound by J. Jackson,,18,17
43,1,5:03.0,Z. Randolph misses 3-pt jump shot from 24 ft,,18,17
44,1,5:03.0,Offensive rebound by W. Cauley-Stein,,18,17
45,1,4:58.0,Turnover by Z. Randolph (out of bounds lost ball),,18,17
46,1,4:34.0,,Turnover by Team (shot clock),18,17
47,1,4:25.0,Shooting foul by J. Teague (drawn by D. Fox),,18,17
48,1,4:25.0,D. Fox makes free throw 1 of 2,,19,17
49,1,4:25.0,,G. Dieng enters the game for K. Towns,19,17
50,1,4:25.0,K. Koufos enters the game for W. Cauley-Stein,,19,17
51,1,4:25.0,D. Fox makes free throw 2 of 2,,20,17
52,1,4:13.0,,G. Dieng misses 2-pt jump shot from 20 ft,20,17
53,1,4:11.0,Defensive rebound by Z. Randolph,,20,17
54,1,4:00.0,K. Koufos misses 2-pt layup from 1 ft,,20,17
55,1,4:00.0,Offensive rebound by K. Koufos,,20,17
56,1,3:57.0,K. Koufos makes 2-pt layup at rim,,22,17
57,1,3:44.0,,Shooting foul by K. Koufos (drawn by J. Butler),22,17
58,1,3:44.0,,J. Butler misses free throw 1 of 2,22,17
59,1,3:44.0,,Offensive rebound by Team,22,17
60,1,3:44.0,,J. Butler makes free throw 2 of 2,22,18
61,1,3:31.0,V. Carter misses 3-pt jump shot from 23 ft,,22,18
62,1,3:27.0,,Defensive rebound by T. Gibson,22,18
63,1,3:21.0,,G. Dieng misses 2-pt jump shot from 17 ft,22,18
64,1,3:18.0,Defensive rebound by J. Jackson,,22,18
65,1,3:13.0,J. Jackson makes 2-pt jump shot from 8 ft,,24,18
66,1,2:57.0,,T. Gibson misses 2-pt jump shot from 13 ft,24,18
67,1,2:56.0,Defensive rebound by V. Carter,,24,18
68,1,2:50.0,Turnover by V. Carter (bad pass; steal by J. Teague),,24,18
69,1,2:48.0,,Shooting foul by V. Carter (drawn by J. Teague),24,18
70,1,2:48.0,Sacramento full timeout,,24,18
71,1,2:48.0,,N. Bjelica enters the game for J. Butler,24,18
72,1,2:48.0,,J. Crawford enters the game for T. Gibson,24,18
73,1,2:48.0,G. Temple enters the game for J. Jackson,,24,18
74,1,2:48.0,,J. Teague makes free throw 1 of 2,24,19
75,1,2:48.0,,J. Teague makes free throw 2 of 2,24,20
76,1,2:38.0,Personal foul by G. Dieng (drawn by Z. Randolph),,24,20
77,1,2:38.0,,T. Jones enters the game for J. Teague,24,20
78,1,2:38.0,J. Sampson enters the game for Z. Randolph,,24,20
79,1,2:33.0,D. Fox misses 3-pt jump shot from 25 ft,,24,20
80,1,2:31.0,,Defensive rebound by A. Wiggins,24,20
81,1,2:19.0,,A. Wiggins makes 3-pt jump shot from 26 ft (assist by N. Bjelica),24,23
82,1,1:49.0,G. Temple misses 3-pt jump shot from 25 ft,,24,23
83,1,1:49.0,,Defensive rebound by A. Wiggins,24,23
84,1,1:28.0,,G. Dieng misses 3-pt jump shot from 25 ft,24,23
85,1,1:28.0,Defensive rebound by V. Carter,,24,23
86,1,1:10.0,J. Sampson makes 2-pt layup from 1 ft (assist by V. Carter),,26,23
87,1,0:44.0,,J. Crawford misses 3-pt jump shot from 23 ft,26,23
88,1,0:41.0,,Offensive rebound by N. Bjelica,26,23
89,1,0:40.0,,N. Bjelica misses 2-pt jump shot from 2 ft,26,23
90,1,0:38.0,,Offensive rebound by G. Dieng,26,23
91,1,0:37.0,,G. Dieng misses 2-pt layup at rim,26,23
92,1,0:36.0,Defensive rebound by D. Fox,,26,23
93,1,0:35.0,Shooting foul by A. Wiggins (drawn by D. Fox),,26,23
94,1,0:35.0,D. Fox makes free throw 1 of 2,,27,23
95,1,0:35.0,D. Fox misses free throw 2 of 2,,27,23
96,1,0:33.0,,Defensive rebound by G. Dieng,27,23
97,1,0:26.0,,T. Jones misses 2-pt layup from 1 ft,27,23
98,1,0:24.0,Defensive rebound by K. Koufos,,27,23
99,1,0:01.0,Shooting foul by J. Crawford (drawn by D. Fox),,27,23
100,1,0:01.0,D. Fox makes free throw 1 of 2,,28,23
101,1,0:01.0,D. Fox makes free throw 2 of 2,,29,23
102,2,11:46.0,B. Hield misses 2-pt jump shot from 20 ft,,29,23
103,2,11:46.0,,Defensive rebound by T. Jones,29,23
104,2,11:26.0,,Turnover by G. Dieng (bad pass; steal by G. Temple),29,23
105,2,11:19.0,J. Sampson misses 3-pt jump shot from 22 ft,,29,23
106,2,11:17.0,Offensive rebound by B. Hield,,29,23
107,2,11:13.0,B. Hield makes 2-pt jump shot from 10 ft,,31,23
108,2,10:57.0,,Turnover by N. Bjelica (lost ball; steal by B. Hield),31,23
109,2,10:52.0,B. Hield makes 2-pt layup from 1 ft,,33,23
