,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,T. Harris makes 2-pt jump shot from 13 ft (assist by A. Drummond),,2,0
1,1,11:33.0,,B. Simmons makes 2-pt layup from 2 ft (assist by D. Šarić),2,2
2,1,11:15.0,A. Bradley misses 2-pt jump shot from 21 ft,,2,2
3,1,11:12.0,,Defensive rebound by R. Covington,2,2
4,1,11:01.0,,B. Simmons makes 2-pt layup from 7 ft,2,4
5,1,10:44.0,Turnover by R. Bullock (step out of bounds),,2,4
6,1,10:30.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),2,7
7,1,10:13.0,T. Harris misses 2-pt jump shot from 20 ft,,2,7
8,1,10:10.0,,Defensive rebound by B. Simmons,2,7
9,1,10:03.0,,B. Simmons makes 2-pt layup from 2 ft,2,9
10,1,9:50.0,R. Bullock misses 3-pt jump shot from 26 ft,,2,9
11,1,9:47.0,,Defensive rebound by J. Embiid,2,9
12,1,9:44.0,,J. Redick misses 3-pt jump shot from 27 ft,2,9
13,1,9:40.0,Defensive rebound by A. Drummond,,2,9
14,1,9:33.0,Turnover by A. Drummond (lost ball; steal by R. Covington),,2,9
15,1,9:28.0,,D. Šarić misses 3-pt jump shot from 25 ft,2,9
16,1,9:24.0,Defensive rebound by A. Drummond,,2,9
17,1,9:18.0,I. Smith misses 2-pt jump shot from 18 ft,,2,9
18,1,9:13.0,Offensive rebound by A. Drummond,,2,9
19,1,9:13.0,A. Drummond misses 2-pt layup at rim,,2,9
20,1,9:12.0,,Defensive rebound by R. Covington,2,9
21,1,9:03.0,,Personal foul by A. Drummond (drawn by J. Embiid),2,9
22,1,8:52.0,,J. Embiid makes 2-pt jump shot from 9 ft,2,11
23,1,8:29.0,A. Bradley misses 2-pt layup from 1 ft,,2,11
24,1,8:27.0,,Defensive rebound by D. Šarić,2,11
25,1,8:20.0,,D. Šarić makes 2-pt layup from 2 ft (assist by B. Simmons),2,13
26,1,8:14.0,Detroit full timeout,,2,13
27,1,8:01.0,Turnover by A. Bradley (out of bounds lost ball),,2,13
