,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
62,1,4:00.0,Defensive rebound by T. Thompson,,30,17
63,1,3:48.0,I. Thomas makes 2-pt layup from 3 ft (assist by J. Smith),,32,17
64,1,3:47.0,,Orlando full timeout,32,17
65,1,3:47.0,,D. Augustin enters the game for E. Payton,32,17
66,1,3:47.0,,S. Mack enters the game for B. Biyombo,32,17
67,1,3:47.0,,M. Speights enters the game for J. Simmons,32,17
68,1,3:34.0,,E. Fournier makes 2-pt layup from 3 ft (assist by D. Augustin),32,19
69,1,3:20.0,T. Thompson makes 2-pt dunk from 1 ft (assist by I. Thomas),,34,19
70,1,3:08.0,,M. Speights makes 2-pt jump shot from 17 ft (assist by D. Augustin),34,21
71,1,2:55.0,D. Wade misses 3-pt jump shot from 23 ft,,34,21
72,1,2:52.0,,Defensive rebound by E. Fournier,34,21
73,1,2:39.0,,E. Fournier makes 2-pt layup from 1 ft (assist by S. Mack),34,23
74,1,2:30.0,Shooting foul by W. Iwundu (drawn by D. Wade),,34,23
75,1,2:30.0,D. Wade makes free throw 1 of 2,,35,23
76,1,2:30.0,J. Green enters the game for J. Smith,,35,23
77,1,2:30.0,K. Korver enters the game for J. Crowder,,35,23
78,1,2:30.0,D. Wade misses free throw 2 of 2,,35,23
79,1,2:28.0,,Defensive rebound by M. Speights,35,23
80,1,2:22.0,,Personal foul by J. Green (drawn by D. Augustin),35,23
81,1,2:18.0,,Turnover by M. Speights (bad pass),35,23
82,1,2:07.0,T. Thompson makes 2-pt dunk at rim (assist by I. Thomas),,37,23
83,1,1:51.0,,M. Speights makes 3-pt jump shot from 25 ft (assist by E. Fournier),37,26
84,1,1:40.0,I. Thomas makes 3-pt jump shot from 24 ft,,40,26
85,1,1:24.0,,D. Augustin makes 2-pt layup from 2 ft,40,28
86,1,1:10.0,K. Korver makes 2-pt layup from 2 ft (assist by D. Wade),,42,28
87,1,0:55.0,,M. Speights misses 3-pt jump shot from 23 ft,42,28
88,1,0:53.0,,Offensive rebound by S. Mack,42,28
89,1,0:52.0,,S. Mack makes 2-pt jump shot from 7 ft,42,30
90,1,0:41.0,Shooting foul by W. Iwundu (drawn by D. Wade),,42,30
91,1,0:41.0,D. Wade misses free throw 1 of 2,,42,30
92,1,0:41.0,Offensive rebound by Team,,42,30
93,1,0:41.0,D. Rose enters the game for I. Thomas,,42,30
94,1,0:41.0,L. James enters the game for T. Thompson,,42,30
95,1,0:41.0,D. Wade makes free throw 2 of 2,,43,30
96,1,0:32.0,,D. Augustin misses 2-pt layup from 2 ft,43,30
97,1,0:30.0,Defensive rebound by J. Green,,43,30
98,1,0:24.0,Turnover by K. Korver (bad pass),,43,30
99,1,0:00.0,,Shooting foul by J. Green (drawn by E. Fournier),43,30
100,1,0:00.0,,E. Fournier misses free throw 1 of 3,43,30
101,1,0:00.0,,Offensive rebound by Team,43,30
