,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SAN ANTONIO_ACTION,WASHINGTON_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,O. Porter makes 2-pt jump shot from 16 ft (assist by M. Morris),,2,0
1,1,11:22.0,,L. Aldridge misses 2-pt layup from 1 ft,2,0
2,1,11:18.0,Defensive rebound by O. Porter,,2,0
3,1,11:09.0,M. Morris misses 3-pt jump shot from 23 ft,,2,0
4,1,11:04.0,,Defensive rebound by L. Aldridge,2,0
5,1,10:57.0,,D. Green misses 3-pt jump shot from 25 ft,2,0
6,1,10:53.0,Defensive rebound by O. Porter,,2,0
7,1,10:38.0,T. Satoranský misses 3-pt jump shot from 22 ft,,2,0
8,1,10:34.0,,Defensive rebound by D. Green,2,0
9,1,10:29.0,,D. Murray misses 2-pt jump shot from 13 ft,2,0
10,1,10:26.0,Defensive rebound by M. Gortat,,2,0
11,1,10:18.0,Turnover by M. Gortat (bad pass; steal by L. Aldridge),,2,0
12,1,10:08.0,,L. Aldridge misses 3-pt jump shot from 25 ft,2,0
13,1,10:00.0,,Offensive rebound by D. Green,2,0
14,1,10:00.0,,D. Green misses 2-pt layup at rim,2,0
15,1,9:59.0,Defensive rebound by T. Satoranský,,2,0
16,1,9:56.0,B. Beal misses 3-pt jump shot from 25 ft,,2,0
17,1,9:52.0,,Defensive rebound by L. Aldridge,2,0
18,1,9:40.0,,K. Anderson misses 2-pt jump shot from 8 ft,2,0
19,1,9:38.0,Defensive rebound by O. Porter,,2,0
20,1,9:27.0,O. Porter misses 2-pt layup from 3 ft,,2,0
21,1,9:24.0,,Defensive rebound by D. Murray,2,0
22,1,9:22.0,,San Antonio full timeout,2,0
23,1,9:17.0,,Personal foul by M. Gortat (drawn by L. Aldridge),2,0
24,1,9:04.0,,L. Aldridge misses 2-pt hook shot from 7 ft,2,0
25,1,9:00.0,Defensive rebound by O. Porter,,2,0
26,1,8:39.0,M. Gortat misses 2-pt hook shot from 7 ft,,2,0
27,1,8:35.0,Offensive rebound by T. Satoranský,,2,0
28,1,8:33.0,B. Beal makes 2-pt jump shot from 9 ft (assist by T. Satoranský),,4,0
29,1,8:14.0,,Turnover by D. Green (bad pass; steal by O. Porter),4,0
30,1,7:59.0,B. Beal makes 2-pt jump shot from 19 ft,,6,0
31,1,7:36.0,,L. Aldridge makes 2-pt jump shot from 12 ft,6,2
32,1,7:23.0,B. Beal makes 2-pt layup at rim (assist by M. Gortat),,8,2
33,1,7:06.0,,L. Aldridge makes 2-pt jump shot from 11 ft (assist by K. Anderson),8,4
34,1,6:54.0,B. Beal makes 3-pt jump shot from 25 ft,,11,4
35,1,6:37.0,,L. Aldridge makes 2-pt jump shot from 20 ft,11,6
36,1,6:19.0,Turnover by O. Porter (bad pass; steal by P. Mills),,11,6
37,1,6:14.0,,D. Green misses 3-pt jump shot from 26 ft,11,6
38,1,6:08.0,,Offensive rebound by K. Anderson,11,6
39,1,6:08.0,,K. Anderson makes 2-pt layup at rim,11,8
40,1,6:00.0,Personal foul by P. Mills (drawn by T. Satoranský),,11,8
41,1,6:00.0,,M. Ginóbili enters the game for D. Green,11,8
42,1,5:47.0,Turnover by B. Beal (bad pass; steal by D. Murray),,11,8
43,1,5:41.0,,D. Murray makes 2-pt dunk at rim (assist by L. Aldridge),11,10
44,1,5:21.0,M. Morris makes 2-pt jump shot from 7 ft,,13,10
45,1,5:09.0,,P. Mills makes 2-pt jump shot from 16 ft (assist by L. Aldridge),13,12
46,1,4:45.0,T. Satoranský misses 2-pt jump shot from 8 ft,,13,12
47,1,4:44.0,,Defensive rebound by M. Ginóbili,13,12
48,1,4:44.0,,Personal foul by T. Satoranský (drawn by M. Ginóbili),13,12
49,1,4:44.0,,P. Gasol enters the game for K. Anderson,13,12
50,1,4:44.0,I. Mahinmi enters the game for M. Gortat,,13,12
51,1,4:44.0,K. Oubre enters the game for O. Porter,,13,12
52,1,4:25.0,,M. Ginóbili misses 2-pt layup from 2 ft (block by K. Oubre),13,12
53,1,4:24.0,Defensive rebound by M. Morris,,13,12
54,1,4:13.0,Personal foul by M. Ginóbili (drawn by M. Morris),,13,12
55,1,4:13.0,,T. Parker enters the game for D. Murray,13,12
56,1,4:05.0,B. Beal makes 2-pt jump shot from 17 ft,,15,12
57,1,3:46.0,,P. Mills misses 3-pt jump shot from 23 ft,15,12
58,1,3:42.0,,Offensive rebound by P. Mills,15,12
59,1,3:28.0,,L. Aldridge makes 2-pt hook shot from 3 ft,15,14
60,1,3:07.0,Shooting foul by P. Gasol (drawn by I. Mahinmi),,15,14
61,1,3:07.0,I. Mahinmi misses free throw 1 of 2,,15,14
62,1,3:07.0,Offensive rebound by Team,,15,14
63,1,3:07.0,,R. Gay enters the game for P. Mills,15,14
64,1,3:07.0,R. Sessions enters the game for T. Satoranský,,15,14
65,1,3:07.0,I. Mahinmi makes free throw 2 of 2,,16,14
66,1,2:50.0,,Turnover by P. Gasol (bad pass; steal by M. Morris),16,14
67,1,2:36.0,M. Morris misses 2-pt jump shot from 9 ft (block by L. Aldridge),,16,14
68,1,2:36.0,Offensive rebound by Team,,16,14
69,1,2:36.0,Washington full timeout,,16,14
70,1,2:36.0,,D. Bertāns enters the game for L. Aldridge,16,14
71,1,2:29.0,M. Morris misses 2-pt jump shot from 13 ft,,16,14
72,1,2:27.0,Offensive rebound by Team,,16,14
73,1,2:27.0,Turnover by Team (shot clock),,16,14
74,1,2:10.0,,R. Gay makes 2-pt jump shot from 8 ft,16,16
75,1,1:48.0,K. Oubre misses 2-pt layup from 4 ft (block by P. Gasol),,16,16
76,1,1:48.0,Offensive rebound by K. Oubre,,16,16
77,1,1:41.0,K. Oubre makes 2-pt layup at rim,,18,16
78,1,1:31.0,,Turnover by R. Gay (lost ball; steal by K. Oubre),18,16
79,1,1:29.0,Turnover by R. Sessions (lost ball; steal by M. Ginóbili),,18,16
80,1,1:22.0,,P. Gasol makes 2-pt layup from 4 ft (assist by R. Gay),18,18
81,1,0:57.0,I. Mahinmi misses 3-pt jump shot from 26 ft,,18,18
82,1,0:57.0,,Defensive rebound by R. Gay,18,18
83,1,0:36.0,,D. Bertāns misses 2-pt jump shot from 15 ft,18,18
84,1,0:33.0,Defensive rebound by M. Morris,,18,18
85,1,0:20.0,I. Mahinmi misses 2-pt jump shot from 9 ft,,18,18
86,1,0:17.0,,Defensive rebound by D. Bertāns,18,18
87,1,0:06.0,,Personal foul by R. Sessions (drawn by T. Parker),18,18
88,1,0:00.0,,R. Gay misses 2-pt jump shot from 10 ft,18,18
89,1,0:00.0,,Offensive rebound by Team,18,18
90,2,11:36.0,,Shooting foul by I. Mahinmi (drawn by R. Gay),18,18
91,2,11:36.0,,R. Gay makes free throw 1 of 2,18,19
92,2,11:36.0,,R. Gay makes free throw 2 of 2,18,20
93,2,11:27.0,K. Oubre misses 3-pt jump shot from 25 ft,,18,20
94,2,11:23.0,,Defensive rebound by P. Gasol,18,20
95,2,11:15.0,,Shooting foul by I. Mahinmi (drawn by P. Gasol),18,20
96,2,11:15.0,,P. Gasol misses free throw 1 of 2,18,20
97,2,11:15.0,,Offensive rebound by Team,18,20
98,2,11:15.0,,P. Gasol makes free throw 2 of 2,18,21
99,2,11:05.0,T. Satoranský misses 2-pt jump shot from 11 ft (block by P. Gasol),,18,21
100,2,11:03.0,,Defensive rebound by P. Gasol,18,21
101,2,11:03.0,,Turnover by P. Gasol (bad pass),18,21
102,2,10:48.0,R. Sessions makes 2-pt jump shot from 18 ft (assist by I. Mahinmi),,20,21
103,2,10:34.0,,D. Green makes 3-pt jump shot from 22 ft (assist by K. Anderson),20,24
104,2,10:16.0,K. Oubre makes 2-pt layup from 3 ft (assist by T. Satoranský),,22,24
105,2,10:04.0,,T. Parker makes 2-pt jump shot from 3 ft,22,26
106,2,9:52.0,O. Porter misses 2-pt jump shot from 7 ft,,22,26
107,2,9:45.0,Offensive rebound by I. Mahinmi,,22,26
108,2,9:45.0,I. Mahinmi makes 2-pt layup at rim,,24,26
109,2,9:37.0,,T. Parker misses 2-pt jump shot from 9 ft,24,26
110,2,9:37.0,Defensive rebound by O. Porter,,24,26
111,2,9:32.0,K. Oubre makes 2-pt layup from 1 ft (assist by O. Porter),,26,26
112,2,9:17.0,,D. Green makes 2-pt jump shot from 19 ft (assist by T. Parker),26,28
113,2,9:07.0,Shooting foul by T. Parker (drawn by R. Sessions),,26,28
114,2,9:07.0,R. Sessions misses free throw 1 of 2,,26,28
115,2,9:07.0,Offensive rebound by Team,,26,28
116,2,9:07.0,,D. Murray enters the game for T. Parker,26,28
117,2,9:07.0,,L. Aldridge enters the game for R. Gay,26,28
118,2,9:07.0,R. Sessions makes free throw 2 of 2,,27,28
119,2,8:52.0,,L. Aldridge makes 2-pt jump shot from 15 ft,27,30
120,2,8:39.0,O. Porter makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,30,30
121,2,8:18.0,,Shooting foul by K. Oubre (drawn by K. Anderson),30,30
122,2,8:18.0,,K. Anderson misses free throw 1 of 2,30,30
123,2,8:18.0,,Offensive rebound by Team,30,30
124,2,8:18.0,,P. Mills enters the game for P. Gasol,30,30
125,2,8:18.0,,K. Anderson makes free throw 2 of 2,30,31
126,2,8:06.0,R. Sessions misses 3-pt jump shot from 22 ft,,30,31
127,2,8:04.0,Offensive rebound by Team,,30,31
128,2,8:03.0,Turnover by K. Oubre (bad pass),,30,31
129,2,7:44.0,,P. Mills misses 3-pt jump shot from 25 ft,30,31
130,2,7:38.0,Defensive rebound by K. Oubre,,30,31
131,2,7:35.0,K. Oubre makes 2-pt dunk at rim,,32,31
132,2,7:20.0,,Turnover by K. Anderson (bad pass; steal by R. Sessions),32,31
133,2,7:11.0,K. Oubre makes 2-pt layup from 2 ft (assist by R. Sessions),,34,31
134,2,7:11.0,,San Antonio full timeout,34,31
135,2,7:11.0,M. Morris enters the game for R. Sessions,,34,31
136,2,7:11.0,B. Beal enters the game for I. Mahinmi,,34,31
137,2,7:00.0,,D. Green misses 3-pt jump shot from 26 ft,34,31
138,2,6:52.0,,Offensive rebound by K. Anderson,34,31
139,2,6:52.0,,K. Anderson makes 2-pt layup at rim,34,33
140,2,6:38.0,B. Beal misses 3-pt jump shot from 24 ft,,34,33
141,2,6:35.0,,Defensive rebound by L. Aldridge,34,33
142,2,6:25.0,,D. Green misses 2-pt layup from 4 ft (block by O. Porter),34,33
143,2,6:25.0,,Offensive rebound by Team,34,33
144,2,6:22.0,,L. Aldridge misses 2-pt jump shot from 12 ft (block by M. Morris),34,33
145,2,6:21.0,,Offensive rebound by L. Aldridge,34,33
146,2,6:17.0,,L. Aldridge misses 3-pt jump shot from 25 ft,34,33
147,2,6:12.0,,Offensive rebound by K. Anderson,34,33
148,2,6:12.0,,K. Anderson makes 2-pt layup at rim,34,35
149,2,5:59.0,Shooting foul by K. Anderson (drawn by M. Morris),,34,35
150,2,5:59.0,M. Morris misses free throw 1 of 2,,34,35
151,2,5:59.0,Offensive rebound by Team,,34,35
152,2,5:59.0,M. Morris makes free throw 2 of 2,,35,35
153,2,5:45.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by P. Mills),35,37
154,2,5:20.0,O. Porter makes 2-pt jump shot from 19 ft (assist by T. Satoranský),,37,37
155,2,5:03.0,,D. Murray makes 2-pt layup from 2 ft (assist by P. Mills),37,39
156,2,5:03.0,,Shooting foul by B. Beal (drawn by D. Murray),37,39
157,2,5:03.0,,M. Ginóbili enters the game for D. Green,37,39
158,2,5:03.0,M. Gortat enters the game for T. Satoranský,,37,39
159,2,5:03.0,,D. Murray misses free throw 1 of 1,37,39
160,2,5:03.0,Defensive rebound by M. Gortat,,37,39
161,2,4:50.0,Turnover by M. Morris (lost ball; steal by M. Ginóbili),,37,39
162,2,4:38.0,,P. Mills misses 3-pt jump shot from 26 ft,37,39
163,2,4:36.0,,Offensive rebound by L. Aldridge,37,39
164,2,4:36.0,,L. Aldridge makes 2-pt layup at rim,37,41
165,2,4:17.0,O. Porter misses 2-pt jump shot from 11 ft,,37,41
166,2,4:16.0,,Defensive rebound by P. Mills,37,41
167,2,3:59.0,,L. Aldridge misses 2-pt hook shot from 10 ft,37,41
168,2,3:56.0,Defensive rebound by Team,,37,41
169,2,3:40.0,Washington full timeout,,37,41
170,2,3:40.0,,R. Gay enters the game for K. Anderson,37,41
171,2,3:37.0,K. Oubre misses 2-pt layup from 1 ft,,37,41
172,2,3:34.0,,Defensive rebound by D. Murray,37,41
173,2,3:13.0,,L. Aldridge misses 2-pt hook shot from 7 ft,37,41
174,2,3:10.0,Defensive rebound by M. Gortat,,37,41
175,2,3:09.0,Turnover by K. Oubre (lost ball; steal by P. Mills),,37,41
176,2,3:09.0,,Personal foul by K. Oubre (drawn by P. Mills),37,41
177,2,3:09.0,,P. Mills makes free throw 1 of 2,37,42
178,2,3:09.0,,P. Mills makes free throw 2 of 2,37,43
179,2,2:51.0,Shooting foul by P. Mills (drawn by M. Gortat),,37,43
