,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHOENIX_ACTION,INDIANA_SCORE,PHOENIX_SCORE
0,1,11:33.0,,D. Bender misses 2-pt jump shot from 22 ft,0,0
1,1,11:30.0,Defensive rebound by D. Sabonis,,0,0
2,1,11:13.0,D. Sabonis makes 2-pt jump shot from 19 ft (assist by D. Collison),,2,0
3,1,10:56.0,,T. Chandler misses 2-pt layup from 2 ft,2,0
4,1,10:55.0,Defensive rebound by D. Sabonis,,2,0
5,1,10:46.0,Shooting foul by D. Booker (drawn by V. Oladipo),,2,0
6,1,10:46.0,V. Oladipo makes free throw 1 of 2,,3,0
7,1,10:46.0,V. Oladipo misses free throw 2 of 2,,3,0
8,1,10:44.0,,Defensive rebound by D. Bender,3,0
9,1,10:33.0,,Turnover by D. Booker (lost ball; steal by V. Oladipo),3,0
10,1,10:29.0,V. Oladipo makes 2-pt layup at rim,,5,0
11,1,10:22.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by T. Ulis),5,3
12,1,10:06.0,D. Collison misses 2-pt jump shot from 21 ft,,5,3
13,1,10:02.0,,Defensive rebound by D. Booker,5,3
14,1,10:00.0,,J. Jackson makes 2-pt layup from 1 ft (assist by D. Booker),5,5
15,1,10:00.0,,Shooting foul by V. Oladipo (drawn by J. Jackson),5,5
16,1,10:00.0,,J. Jackson makes free throw 1 of 1,5,6
17,1,9:38.0,V. Oladipo misses 3-pt jump shot from 25 ft,,5,6
18,1,9:33.0,Offensive rebound by D. Collison,,5,6
19,1,9:31.0,Turnover by D. Collison (bad pass; steal by T. Ulis),,5,6
20,1,9:27.0,,D. Bender misses 3-pt jump shot from 22 ft,5,6
21,1,9:22.0,,Offensive rebound by D. Bender,5,6
22,1,9:11.0,,D. Booker misses 3-pt jump shot from 27 ft,5,6
23,1,9:09.0,,Offensive rebound by T. Chandler,5,6
24,1,9:08.0,,Shooting foul by B. Bogdanović (drawn by T. Chandler),5,6
25,1,9:08.0,,T. Chandler makes free throw 1 of 2,5,7
26,1,9:08.0,,T. Chandler misses free throw 2 of 2,5,7
27,1,9:06.0,Defensive rebound by T. Young,,5,7
28,1,8:55.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,5,7
29,1,8:52.0,Offensive rebound by D. Sabonis,,5,7
30,1,8:51.0,V. Oladipo makes 3-pt jump shot from 27 ft (assist by D. Sabonis),,8,7
31,1,8:36.0,,Turnover by D. Bender (bad pass),8,7
32,1,8:23.0,T. Young misses 2-pt layup from 1 ft,,8,7
33,1,8:21.0,,Defensive rebound by T. Chandler,8,7
34,1,8:15.0,,D. Booker misses 3-pt jump shot from 26 ft,8,7
35,1,8:13.0,Defensive rebound by D. Sabonis,,8,7
36,1,8:03.0,T. Young makes 3-pt jump shot from 22 ft,,11,7
37,1,7:40.0,,D. Booker misses 3-pt jump shot from 26 ft,11,7
38,1,7:37.0,,Offensive rebound by J. Jackson,11,7
39,1,7:36.0,,J. Jackson makes 2-pt layup from 1 ft,11,9
40,1,7:25.0,D. Sabonis makes 2-pt hook shot from 2 ft,,13,9
41,1,7:11.0,,Turnover by J. Jackson (bad pass; steal by V. Oladipo),13,9
42,1,7:05.0,D. Sabonis misses 2-pt layup from 1 ft,,13,9
43,1,7:02.0,,Defensive rebound by T. Chandler,13,9
44,1,6:59.0,,J. Jackson makes 2-pt layup from 1 ft (assist by D. Booker),13,11
45,1,6:44.0,V. Oladipo makes 2-pt jump shot from 12 ft,,15,11
46,1,6:33.0,,J. Jackson misses 3-pt jump shot from 23 ft,15,11
47,1,6:31.0,,Offensive rebound by T. Chandler,15,11
48,1,6:29.0,,D. Bender misses 3-pt jump shot from 26 ft,15,11
49,1,6:27.0,Defensive rebound by V. Oladipo,,15,11
50,1,6:15.0,V. Oladipo makes 3-pt jump shot from 24 ft,,18,11
51,1,6:12.0,,Phoenix full timeout,18,11
52,1,6:12.0,,D. House enters the game for J. Jackson,18,11
53,1,6:04.0,,D. Booker misses 3-pt jump shot from 26 ft,18,11
54,1,6:01.0,Defensive rebound by T. Young,,18,11
55,1,5:47.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,18,11
56,1,5:42.0,Offensive rebound by D. Sabonis,,18,11
57,1,5:31.0,Personal foul by D. House (drawn by T. Young),,18,11
58,1,5:26.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),,21,11
59,1,5:00.0,,T. Ulis misses 3-pt jump shot from 27 ft,21,11
60,1,4:57.0,Defensive rebound by V. Oladipo,,21,11
61,1,4:48.0,D. Collison makes 2-pt jump shot from 21 ft,,23,11
62,1,4:30.0,,D. Booker misses 2-pt jump shot from 12 ft,23,11
63,1,4:29.0,,Offensive rebound by Team,23,11
64,1,4:29.0,,I. Canaan enters the game for T. Chandler,23,11
65,1,4:29.0,,A. Len enters the game for T. Ulis,23,11
66,1,4:29.0,,A. Peters enters the game for D. Bender,23,11
67,1,4:29.0,C. Joseph enters the game for B. Bogdanović,,23,11
68,1,4:17.0,,D. Booker makes 3-pt jump shot from 24 ft (assist by A. Len),23,14
69,1,4:02.0,D. Collison misses 2-pt jump shot from 19 ft,,23,14
70,1,3:59.0,,Defensive rebound by D. Booker,23,14
71,1,3:44.0,,D. Booker misses 2-pt layup from 9 ft,23,14
72,1,3:40.0,,Offensive rebound by A. Len,23,14
73,1,3:40.0,,A. Len misses 2-pt dunk at rim,23,14
74,1,3:39.0,Defensive rebound by D. Sabonis,,23,14
75,1,3:29.0,Turnover by V. Oladipo (bad pass),,23,14
76,1,3:29.0,A. Jefferson enters the game for D. Sabonis,,23,14
77,1,3:18.0,,D. House misses 3-pt jump shot from 25 ft,23,14
78,1,3:14.0,Defensive rebound by A. Jefferson,,23,14
79,1,3:04.0,C. Joseph misses 2-pt jump shot from 15 ft,,23,14
80,1,3:00.0,,Defensive rebound by I. Canaan,23,14
81,1,2:53.0,,Personal foul by T. Young (drawn by A. Len),23,14
82,1,2:53.0,Indiana full timeout,,23,14
83,1,2:53.0,L. Stephenson enters the game for V. Oladipo,,23,14
84,1,2:53.0,T. Leaf enters the game for T. Young,,23,14
85,1,2:43.0,,A. Peters misses 3-pt jump shot from 26 ft,23,14
86,1,2:41.0,Defensive rebound by L. Stephenson,,23,14
87,1,2:35.0,L. Stephenson makes 2-pt jump shot from 16 ft,,25,14
88,1,2:08.0,,I. Canaan misses 2-pt jump shot from 8 ft,25,14
89,1,2:05.0,,Offensive rebound by A. Len,25,14
90,1,1:57.0,,A. Peters misses 3-pt jump shot from 25 ft,25,14
91,1,1:55.0,Defensive rebound by L. Stephenson,,25,14
92,1,1:37.0,D. Collison makes 3-pt jump shot from 22 ft (assist by L. Stephenson),,28,14
93,1,1:23.0,,A. Len makes 2-pt layup at rim (assist by D. Booker),28,16
94,1,1:07.0,D. Collison misses 3-pt jump shot from 23 ft,,28,16
95,1,1:03.0,,Defensive rebound by A. Len,28,16
96,1,1:02.0,,Personal foul by L. Stephenson (drawn by D. Booker),28,16
97,1,1:02.0,,T. Daniels enters the game for D. Booker,28,16
98,1,0:52.0,,Turnover by I. Canaan (bad pass; steal by A. Jefferson),28,16
99,1,0:32.0,A. Jefferson misses 2-pt layup from 1 ft (block by A. Len),,28,16
100,1,0:29.0,,Defensive rebound by A. Len,28,16
101,1,0:26.0,,D. House misses 3-pt jump shot from 26 ft,28,16
102,1,0:26.0,Defensive rebound by T. Leaf,,28,16
103,1,0:02.0,A. Jefferson makes 2-pt jump shot from 6 ft (assist by L. Stephenson),,30,16
104,1,0:00.0,,I. Canaan misses 3-pt jump shot from 48 ft,30,16
105,1,0:00.0,,Offensive rebound by Team,30,16
106,2,11:48.0,L. Stephenson misses 2-pt jump shot from 13 ft,,30,16
107,2,11:45.0,,Defensive rebound by I. Canaan,30,16
108,2,11:30.0,,T. Daniels misses 2-pt layup from 7 ft,30,16
109,2,11:28.0,Defensive rebound by L. Stephenson,,30,16
110,2,11:16.0,T. Leaf misses 2-pt jump shot from 18 ft,,30,16
111,2,11:13.0,,Defensive rebound by Team,30,16
112,2,10:56.0,,T. Daniels makes 2-pt jump shot from 16 ft (assist by A. Len),30,18
113,2,10:35.0,A. Jefferson makes 2-pt jump shot from 16 ft (assist by C. Joseph),,32,18
114,2,10:29.0,,Shooting foul by A. Jefferson (drawn by D. House),32,18
115,2,10:29.0,,D. House misses free throw 1 of 2,32,18
116,2,10:29.0,,Offensive rebound by Team,32,18
117,2,10:29.0,,D. House makes free throw 2 of 2,32,19
118,2,10:13.0,L. Stephenson misses 2-pt layup at rim,,32,19
