,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:47.0,,Offensive foul by E. Okafor (drawn by D. Powell),0,0
1,1,11:47.0,,Turnover by E. Okafor (offensive foul),0,0
2,1,11:31.0,J. Barea makes 2-pt jump shot from 5 ft (assist by D. Powell),,2,0
3,1,11:09.0,,A. Davis makes 2-pt layup from 1 ft (assist by R. Rondo),2,2
4,1,10:54.0,H. Barnes makes 2-pt jump shot from 19 ft,,4,2
5,1,10:39.0,,R. Rondo makes 2-pt layup from 1 ft,4,4
6,1,10:31.0,Turnover by J. Barea (lost ball; steal by R. Rondo),,4,4
7,1,10:23.0,,R. Rondo misses 3-pt jump shot from 23 ft,4,4
8,1,10:18.0,,Offensive rebound by E. Okafor,4,4
9,1,10:12.0,,S. Hill makes 2-pt jump shot from 17 ft,4,6
10,1,9:45.0,Turnover by H. Barnes (bad pass; steal by E. Okafor),,4,6
11,1,9:40.0,,E. Moore misses 2-pt layup from 2 ft,4,6
12,1,9:36.0,Defensive rebound by D. Powell,,4,6
13,1,9:21.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,4,6
14,1,9:16.0,,Defensive rebound by R. Rondo,4,6
15,1,9:13.0,,A. Davis misses 2-pt jump shot from 14 ft,4,6
16,1,9:06.0,Defensive rebound by D. Powell,,4,6
17,1,9:00.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,4,6
18,1,8:55.0,Offensive rebound by D. Powell,,4,6
19,1,8:53.0,H. Barnes misses 3-pt jump shot from 31 ft,,4,6
20,1,8:50.0,,Defensive rebound by A. Davis,4,6
21,1,8:39.0,,S. Hill misses 3-pt jump shot from 26 ft,4,6
22,1,8:35.0,Defensive rebound by D. Finney-Smith,,4,6
23,1,8:20.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,4,6
24,1,8:15.0,Offensive rebound by D. Powell,,4,6
25,1,8:15.0,D. Powell makes 2-pt layup at rim,,6,6
26,1,8:06.0,,A. Davis makes 2-pt dunk at rim (assist by R. Rondo),6,8
27,1,7:49.0,D. Nowitzki makes 2-pt jump shot from 10 ft,,8,8
28,1,7:30.0,,A. Davis misses 3-pt jump shot from 25 ft,8,8
29,1,7:27.0,Defensive rebound by H. Barnes,,8,8
30,1,7:21.0,Turnover by H. Barnes (bad pass; steal by R. Rondo),,8,8
31,1,7:19.0,,R. Rondo makes 2-pt dunk at rim,8,10
32,1,6:58.0,D. Powell makes 3-pt jump shot from 26 ft (assist by H. Barnes),,11,10
33,1,6:49.0,,Shooting foul by D. Powell (drawn by A. Davis),11,10
34,1,6:49.0,,New Orleans full timeout,11,10
35,1,6:49.0,,N. Mirotić enters the game for S. Hill,11,10
36,1,6:49.0,,D. Miller enters the game for E. Okafor,11,10
37,1,6:49.0,Y. Ferrell enters the game for D. Powell,,11,10
38,1,6:49.0,D. McDermott enters the game for D. Nowitzki,,11,10
39,1,6:49.0,N. Noel enters the game for J. Barea,,11,10
40,1,6:49.0,,A. Davis misses free throw 1 of 2,11,10
41,1,6:49.0,,Offensive rebound by Team,11,10
42,1,6:49.0,,A. Davis makes free throw 2 of 2,11,11
43,1,6:27.0,N. Noel makes 2-pt jump shot from 8 ft (assist by Y. Ferrell),,13,11
44,1,6:12.0,,E. Moore makes 3-pt jump shot from 26 ft (assist by N. Mirotić),13,14
45,1,5:51.0,H. Barnes makes 2-pt jump shot from 19 ft,,15,14
46,1,5:43.0,,R. Rondo makes 2-pt jump shot from 3 ft,15,16
47,1,5:28.0,D. McDermott makes 2-pt layup from 1 ft (assist by Y. Ferrell),,17,16
48,1,5:13.0,,Turnover by R. Rondo (bad pass),17,16
