,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
0,1,11:40.0,,Shooting foul by A. Žižić (drawn by C. Felício),0,0
1,1,11:40.0,,C. Felício makes free throw 1 of 2,0,1
2,1,11:40.0,,C. Felício makes free throw 2 of 2,0,2
3,1,11:21.0,J. Green makes 2-pt hook shot from 1 ft,,2,2
4,1,11:01.0,,P. Zipser misses 2-pt jump shot from 21 ft,2,2
5,1,10:58.0,Defensive rebound by L. James,,2,2
6,1,10:51.0,L. James makes 2-pt layup from 1 ft,,4,2
7,1,10:45.0,,C. Felício misses 2-pt layup from 1 ft,4,2
8,1,10:42.0,Defensive rebound by J. Calderón,,4,2
9,1,10:38.0,L. James misses 2-pt layup from 1 ft,,4,2
10,1,10:35.0,,Defensive rebound by C. Felício,4,2
11,1,10:32.0,,C. Payne makes 3-pt jump shot from 26 ft (assist by C. Felício),4,5
12,1,10:15.0,J. Calderón makes 3-pt jump shot from 23 ft (assist by G. Hill),,7,5
13,1,10:01.0,,C. Felício misses 2-pt hook shot from 4 ft (block by A. Žižić),7,5
14,1,9:57.0,Defensive rebound by J. Green,,7,5
15,1,9:51.0,Def 3 sec tech foul by C. Felício,,7,5
16,1,9:51.0,J. Green makes technical free throw,,8,5
17,1,9:40.0,A. Žižić makes 2-pt layup from 1 ft (assist by L. James),,10,5
18,1,9:18.0,,C. Felício makes 2-pt jump shot from 19 ft (assist by C. Payne),10,7
19,1,9:06.0,L. James makes 2-pt layup from 1 ft,,12,7
20,1,9:06.0,Shooting foul by J. Holiday (drawn by L. James),,12,7
21,1,9:06.0,L. James misses free throw 1 of 1,,12,7
22,1,9:03.0,,Defensive rebound by P. Zipser,12,7
23,1,8:50.0,,D. Valentine misses 2-pt jump shot from 10 ft,12,7
24,1,8:48.0,Defensive rebound by J. Calderón,,12,7
25,1,8:41.0,G. Hill misses 3-pt jump shot from 22 ft,,12,7
26,1,8:36.0,,Defensive rebound by C. Felício,12,7
27,1,8:30.0,,J. Holiday makes 2-pt layup from 1 ft (assist by D. Valentine),12,9
28,1,8:30.0,,Shooting foul by G. Hill (drawn by J. Holiday),12,9
29,1,8:30.0,,J. Holiday makes free throw 1 of 1,12,10
30,1,8:16.0,L. James makes 2-pt dunk at rim (assist by J. Calderón),,14,10
31,1,8:08.0,,P. Zipser makes 3-pt jump shot from 24 ft (assist by C. Payne),14,13
32,1,7:48.0,J. Green makes 3-pt jump shot from 23 ft (assist by J. Calderón),,17,13
33,1,7:32.0,,D. Valentine makes 2-pt hook shot from 3 ft (assist by J. Holiday),17,15
34,1,7:16.0,A. Žižić makes 2-pt dunk from 1 ft (assist by L. James),,19,15
35,1,7:07.0,,J. Holiday misses 2-pt layup from 1 ft,19,15
36,1,7:05.0,,Offensive rebound by J. Holiday,19,15
37,1,7:05.0,,J. Holiday makes 2-pt layup at rim,19,17
38,1,7:05.0,Cleveland full timeout,,19,17
39,1,6:47.0,L. James makes 3-pt jump shot from 23 ft (assist by J. Calderón),,22,17
40,1,6:30.0,,C. Felício misses 2-pt layup from 1 ft,22,17
41,1,6:28.0,Defensive rebound by J. Green,,22,17
42,1,6:20.0,L. James misses 3-pt jump shot from 26 ft,,22,17
43,1,6:17.0,Offensive rebound by G. Hill,,22,17
44,1,6:09.0,J. Green misses 3-pt jump shot from 23 ft,,22,17
45,1,6:02.0,Offensive rebound by A. Žižić,,22,17
46,1,6:02.0,A. Žižić makes 2-pt layup at rim,,24,17
47,1,5:41.0,,C. Payne makes 3-pt jump shot from 24 ft (assist by C. Felício),24,20
48,1,5:27.0,Turnover by L. James (bad pass),,24,20
49,1,5:27.0,,B. Portis enters the game for P. Zipser,24,20
50,1,5:13.0,,D. Valentine makes 3-pt jump shot from 25 ft (assist by J. Holiday),24,23
51,1,4:57.0,Turnover by L. James (bad pass; steal by C. Felício),,24,23
52,1,4:53.0,,B. Portis misses 2-pt layup from 1 ft (block by L. James),24,23
53,1,4:53.0,,Offensive rebound by Team,24,23
54,1,4:53.0,L. Perrantes enters the game for A. Žižić,,24,23
55,1,4:53.0,J. Smith enters the game for J. Calderón,,24,23
56,1,4:50.0,,D. Valentine misses 2-pt jump shot from 18 ft,24,23
57,1,4:48.0,Defensive rebound by L. James,,24,23
58,1,4:45.0,J. Green makes 2-pt dunk at rim (assist by L. James),,26,23
59,1,4:26.0,,J. Holiday misses 3-pt jump shot from 25 ft,26,23
60,1,4:23.0,Defensive rebound by L. James,,26,23
61,1,4:14.0,Turnover by J. Smith (bad pass; steal by J. Holiday),,26,23
62,1,4:14.0,,Personal foul by J. Smith (drawn by D. Valentine),26,23
63,1,4:14.0,,J. Grant enters the game for C. Payne,26,23
64,1,3:59.0,,J. Holiday misses 3-pt jump shot from 25 ft,26,23
65,1,3:54.0,Defensive rebound by J. Smith,,26,23
66,1,3:46.0,Personal foul by C. Felício (drawn by J. Green),,26,23
67,1,3:46.0,,D. Nwaba enters the game for J. Holiday,26,23
68,1,3:39.0,J. Green makes 3-pt jump shot from 25 ft (assist by L. Perrantes),,29,23
69,1,3:19.0,,B. Portis makes 2-pt jump shot from 11 ft,29,25
70,1,2:55.0,J. Green makes 2-pt dunk at rim (assist by L. Perrantes),,31,25
71,1,2:51.0,,Shooting foul by L. Perrantes (drawn by J. Grant),31,25
72,1,2:51.0,,Chicago full timeout,31,25
