,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,C. Anthony misses 2-pt layup from 2 ft,0,0
1,1,11:39.0,Defensive rebound by J. Hart,,0,0
2,1,11:32.0,B. Ingram misses 2-pt jump shot from 9 ft,,0,0
3,1,11:29.0,,Defensive rebound by S. Adams,0,0
4,1,11:21.0,,S. Adams misses 2-pt layup from 1 ft,0,0
5,1,11:19.0,Defensive rebound by B. Lopez,,0,0
6,1,11:16.0,Shooting foul by T. Ferguson (drawn by J. Hart),,0,0
7,1,11:16.0,J. Hart makes free throw 1 of 2,,1,0
8,1,11:16.0,J. Hart makes free throw 2 of 2,,2,0
9,1,11:03.0,,Offensive foul by P. George (drawn by J. Randle),2,0
10,1,11:03.0,,Turnover by P. George (offensive foul),2,0
11,1,10:42.0,J. Randle misses 2-pt layup from 5 ft,,2,0
12,1,10:40.0,,Defensive rebound by R. Westbrook,2,0
13,1,10:36.0,,R. Westbrook makes 2-pt jump shot from 18 ft,2,2
14,1,10:22.0,B. Lopez misses 3-pt jump shot from 25 ft,,2,2
15,1,10:19.0,,Defensive rebound by C. Anthony,2,2
16,1,10:14.0,,C. Anthony misses 3-pt jump shot from 24 ft,2,2
17,1,10:12.0,Defensive rebound by J. Randle,,2,2
18,1,9:59.0,B. Lopez misses 2-pt jump shot from 8 ft,,2,2
19,1,9:56.0,,Defensive rebound by C. Anthony,2,2
20,1,9:51.0,,R. Westbrook misses 2-pt jump shot from 17 ft,2,2
21,1,9:48.0,Defensive rebound by J. Randle,,2,2
22,1,9:36.0,B. Ingram misses 2-pt layup at rim,,2,2
23,1,9:35.0,Offensive rebound by K. Caldwell-Pope,,2,2
24,1,9:22.0,B. Lopez makes 2-pt hook shot from 3 ft (assist by B. Ingram),,4,2
25,1,9:11.0,,Turnover by P. George (out of bounds lost ball),4,2
26,1,9:03.0,J. Randle makes 2-pt hook shot from 4 ft (assist by B. Ingram),,6,2
27,1,8:40.0,,P. George misses 3-pt jump shot from 23 ft,6,2
28,1,8:38.0,,Offensive rebound by Team,6,2
29,1,8:29.0,,R. Westbrook misses 2-pt jump shot from 10 ft,6,2
30,1,8:26.0,Defensive rebound by J. Hart,,6,2
31,1,8:17.0,J. Hart makes 3-pt jump shot from 23 ft (assist by B. Lopez),,9,2
32,1,8:02.0,,P. George makes 2-pt jump shot from 15 ft (assist by R. Westbrook),9,4
33,1,7:55.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,9,4
34,1,7:53.0,,Defensive rebound by P. George,9,4
35,1,7:49.0,,R. Westbrook misses 2-pt layup from 1 ft,9,4
36,1,7:49.0,Defensive rebound by J. Hart,,9,4
37,1,7:35.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by J. Randle),,12,4
38,1,7:33.0,,Oklahoma City full timeout,12,4
39,1,7:23.0,,Turnover by P. George (bad pass),12,4
40,1,7:05.0,J. Randle misses 2-pt jump shot from 8 ft,,12,4
41,1,7:02.0,,Defensive rebound by C. Anthony,12,4
42,1,6:54.0,,Personal foul by B. Ingram (drawn by T. Ferguson),12,4
43,1,6:54.0,,Á. Abrines enters the game for T. Ferguson,12,4
44,1,6:49.0,,Á. Abrines misses 3-pt jump shot from 24 ft,12,4
45,1,6:46.0,Defensive rebound by J. Randle,,12,4
46,1,6:41.0,B. Lopez misses 3-pt jump shot from 27 ft,,12,4
47,1,6:37.0,,Defensive rebound by C. Anthony,12,4
48,1,6:32.0,,R. Westbrook makes 2-pt jump shot from 14 ft,12,6
49,1,6:14.0,Turnover by B. Lopez (lost ball; steal by S. Adams),,12,6
50,1,6:10.0,,P. George makes 2-pt layup at rim,12,8
51,1,5:49.0,Turnover by B. Ingram (out of bounds lost ball),,12,8
52,1,5:31.0,,C. Anthony makes 2-pt jump shot from 11 ft (assist by P. George),12,10
53,1,5:21.0,J. Randle makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,14,10
54,1,5:05.0,,P. George misses 2-pt jump shot from 14 ft,14,10
55,1,5:02.0,Defensive rebound by K. Caldwell-Pope,,14,10
56,1,4:55.0,Turnover by J. Hart (bad pass; steal by R. Westbrook),,14,10
57,1,4:52.0,,Personal take foul by K. Caldwell-Pope (drawn by R. Westbrook),14,10
58,1,4:40.0,,C. Anthony misses 2-pt layup at rim,14,10
59,1,4:36.0,Defensive rebound by B. Ingram,,14,10
60,1,4:23.0,Shooting foul by P. George (drawn by J. Randle),,14,10
61,1,4:23.0,J. Randle makes free throw 1 of 2,,15,10
62,1,4:23.0,J. Randle misses free throw 2 of 2,,15,10
63,1,4:21.0,,Defensive rebound by Á. Abrines,15,10
64,1,4:16.0,,R. Westbrook makes 2-pt layup at rim,15,12
65,1,4:02.0,B. Ingram makes 2-pt dunk at rim,,17,12
66,1,3:51.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),17,14
67,1,3:42.0,K. Caldwell-Pope misses 2-pt layup from 2 ft (block by Á. Abrines),,17,14
68,1,3:42.0,Offensive rebound by Team,,17,14
69,1,3:42.0,LA Lakers full timeout,,17,14
70,1,3:42.0,,J. Huestis enters the game for P. George,17,14
71,1,3:31.0,J. Randle misses 2-pt hook shot from 2 ft (block by C. Anthony),,17,14
72,1,3:28.0,Offensive rebound by J. Randle,,17,14
73,1,3:22.0,J. Randle makes 3-pt jump shot from 22 ft (assist by B. Lopez),,20,14
74,1,3:11.0,,R. Westbrook makes 2-pt dunk at rim,20,16
75,1,2:49.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by B. Lopez),,22,16
76,1,2:38.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),22,18
77,1,2:28.0,B. Lopez misses 2-pt jump shot from 7 ft,,22,18
