,QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
0,1,11:42.0,J. Valančiūnas makes 2-pt jump shot from 10 ft,,2,0
1,1,11:19.0,,A. Gordon makes 2-pt jump shot from 14 ft (assist by E. Fournier),2,2
2,1,11:00.0,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),,4,2
3,1,10:38.0,,E. Fournier misses 2-pt jump shot from 10 ft,4,2
4,1,10:34.0,Defensive rebound by O. Anunoby,,4,2
5,1,10:23.0,D. DeRozan misses 2-pt jump shot from 15 ft,,4,2
6,1,10:20.0,,Defensive rebound by D. Augustin,4,2
7,1,10:15.0,,E. Fournier misses 3-pt jump shot from 25 ft,4,2
8,1,10:10.0,Defensive rebound by D. DeRozan,,4,2
9,1,9:49.0,Turnover by S. Ibaka (lost ball; steal by A. Gordon),,4,2
10,1,9:44.0,,D. Augustin makes 2-pt layup from 1 ft (assist by N. Vučević),4,4
11,1,9:27.0,D. DeRozan makes 2-pt jump shot from 7 ft (assist by K. Lowry),,6,4
12,1,9:19.0,,D. Augustin makes 3-pt jump shot from 25 ft,6,7
13,1,9:03.0,Turnover by O. Anunoby (out of bounds lost ball),,6,7
14,1,8:46.0,,N. Vučević makes 2-pt dunk at rim (assist by D. Augustin),6,9
15,1,8:35.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by K. Lowry),,9,9
16,1,8:10.0,,Shooting foul by J. Valančiūnas (drawn by A. Gordon),9,9
17,1,8:10.0,,A. Gordon misses free throw 1 of 2,9,9
18,1,8:10.0,,Offensive rebound by Team,9,9
19,1,8:10.0,,A. Gordon misses free throw 2 of 2,9,9
20,1,8:08.0,Defensive rebound by J. Valančiūnas,,9,9
21,1,7:52.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,12,9
22,1,7:37.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by D. Augustin),12,11
23,1,7:24.0,K. Lowry makes 3-pt jump shot from 24 ft,,15,11
24,1,7:12.0,,Personal foul by D. DeRozan (drawn by A. Gordon),15,11
25,1,7:12.0,,Orlando full timeout,15,11
26,1,7:01.0,,A. Gordon makes 2-pt dunk at rim,15,13
27,1,6:39.0,J. Valančiūnas misses 2-pt layup from 3 ft,,15,13
28,1,6:37.0,,Defensive rebound by A. Gordon,15,13
29,1,6:32.0,,N. Vučević makes 2-pt jump shot from 15 ft (assist by A. Gordon),15,15
30,1,6:18.0,Offensive foul by J. Valančiūnas (drawn by D. Augustin),,15,15
31,1,6:18.0,Turnover by J. Valančiūnas (offensive foul),,15,15
32,1,6:18.0,J. Poeltl enters the game for J. Valančiūnas,,15,15
33,1,6:06.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by J. Simmons),15,17
34,1,5:57.0,Shooting foul by N. Vučević (drawn by D. DeRozan),,15,17
35,1,5:57.0,D. DeRozan makes free throw 1 of 2,,16,17
36,1,5:57.0,D. DeRozan makes free throw 2 of 2,,17,17
37,1,5:45.0,,J. Simmons makes 2-pt layup from 1 ft,17,19
38,1,5:34.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Poeltl),,20,19
39,1,5:20.0,,A. Gordon makes 3-pt jump shot from 27 ft (assist by J. Simmons),20,22
40,1,5:05.0,J. Poeltl makes 2-pt layup from 2 ft (assist by D. DeRozan),,22,22
41,1,4:49.0,,E. Fournier misses 2-pt jump shot from 21 ft,22,22
42,1,4:46.0,Defensive rebound by K. Lowry,,22,22
43,1,4:28.0,J. Poeltl makes 2-pt layup from 2 ft (assist by O. Anunoby),,24,22
44,1,4:28.0,Shooting foul by J. Simmons (drawn by J. Poeltl),,24,22
45,1,4:28.0,,W. Iwundu enters the game for J. Simmons,24,22
46,1,4:28.0,J. Poeltl makes free throw 1 of 1,,25,22
47,1,4:09.0,,A. Gordon misses 3-pt jump shot from 25 ft,25,22
48,1,4:05.0,Defensive rebound by S. Ibaka,,25,22
49,1,4:03.0,K. Lowry makes 3-pt jump shot from 25 ft,,28,22
50,1,4:03.0,Shooting foul by E. Fournier (drawn by K. Lowry),,28,22
51,1,4:03.0,K. Lowry misses free throw 1 of 1,,28,22
52,1,4:00.0,,Defensive rebound by A. Gordon,28,22
53,1,3:46.0,,D. Augustin misses 2-pt jump shot from 5 ft,28,22
54,1,3:44.0,Defensive rebound by D. DeRozan,,28,22
55,1,3:37.0,D. DeRozan makes 2-pt hook shot from 9 ft,,30,22
56,1,3:29.0,,Orlando full timeout,30,22
57,1,3:29.0,,S. Mack enters the game for N. Vučević,30,22
58,1,3:29.0,,B. Biyombo enters the game for D. Augustin,30,22
59,1,3:29.0,P. Siakam enters the game for O. Anunoby,,30,22
60,1,3:29.0,C. Miles enters the game for S. Ibaka,,30,22
61,1,3:12.0,,A. Gordon makes 2-pt jump shot from 15 ft,30,24
62,1,2:51.0,P. Siakam makes 2-pt layup from 3 ft,,32,24
63,1,2:37.0,,S. Mack makes 2-pt jump shot from 9 ft (assist by B. Biyombo),32,26
64,1,2:23.0,D. DeRozan misses 2-pt jump shot from 1 ft,,32,26
65,1,2:23.0,Offensive rebound by Team,,32,26
66,1,2:23.0,F. VanVleet enters the game for K. Lowry,,32,26
67,1,2:19.0,D. DeRozan misses 3-pt jump shot from 25 ft,,32,26
68,1,2:19.0,,Defensive rebound by B. Biyombo,32,26
69,1,1:57.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by A. Gordon),32,29
70,1,1:43.0,J. Poeltl makes 2-pt dunk from 1 ft (assist by F. VanVleet),,34,29
71,1,1:35.0,,Turnover by S. Mack (bad pass; steal by P. Siakam),34,29
72,1,1:31.0,P. Siakam makes 2-pt dunk from 1 ft (assist by C. Miles),,36,29
73,1,1:11.0,,S. Mack makes 2-pt layup from 1 ft (assist by B. Biyombo),36,31
74,1,0:54.0,C. Miles makes 3-pt jump shot from 23 ft (assist by J. Poeltl),,39,31
75,1,0:46.0,,Personal foul by P. Siakam (drawn by A. Gordon),39,31
76,1,0:46.0,,M. Hezonja enters the game for A. Gordon,39,31
77,1,0:38.0,,E. Fournier makes 3-pt jump shot from 25 ft,39,34
78,1,0:34.0,Personal foul by W. Iwundu (drawn by D. DeRozan),,39,34
79,1,0:31.0,C. Miles makes 3-pt jump shot from 25 ft (assist by J. Poeltl),,42,34
80,1,0:14.0,,E. Fournier makes 3-pt jump shot from 25 ft,42,37
81,1,0:01.0,C. Miles misses 3-pt jump shot from 30 ft,,42,37
82,1,0:01.0,,Defensive rebound by B. Biyombo,42,37
83,2,11:34.0,,S. Mack misses 2-pt jump shot from 21 ft,42,37
