,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
0,1,11:43.0,,K. Towns misses 2-pt jump shot from 15 ft,0,0
1,1,11:41.0,Defensive rebound by T. Ulis,,0,0
2,1,11:26.0,Turnover by T. Chandler (bad pass; steal by A. Wiggins),,0,0
3,1,11:22.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Teague),0,2
4,1,11:07.0,M. Chriss misses 2-pt jump shot from 23 ft,,0,2
5,1,11:04.0,,Defensive rebound by K. Towns,0,2
6,1,10:55.0,,Shooting foul by T. Chandler (drawn by K. Towns),0,2
7,1,10:55.0,,K. Towns makes free throw 1 of 2,0,3
8,1,10:55.0,,K. Towns makes free throw 2 of 2,0,4
9,1,10:42.0,Turnover by T. Ulis (bad pass; steal by A. Wiggins),,0,4
10,1,10:37.0,,K. Towns misses 3-pt jump shot from 25 ft,0,4
11,1,10:34.0,Defensive rebound by J. Jackson,,0,4
12,1,10:21.0,J. Jackson makes 2-pt jump shot from 14 ft,,2,4
13,1,10:04.0,,J. Butler misses 2-pt jump shot from 6 ft,2,4
14,1,10:02.0,,Offensive rebound by K. Towns,2,4
15,1,9:57.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by T. Gibson),2,7
16,1,9:42.0,M. Chriss misses 3-pt jump shot from 24 ft,,2,7
17,1,9:38.0,Offensive rebound by T. Chandler,,2,7
18,1,9:36.0,T. Ulis makes 2-pt jump shot from 11 ft (assist by M. Chriss),,4,7
19,1,9:10.0,,T. Gibson makes 2-pt jump shot from 7 ft (assist by K. Towns),4,9
20,1,8:51.0,Turnover by T. Ulis (bad pass; steal by A. Wiggins),,4,9
21,1,8:45.0,,Turnover by A. Wiggins (bad pass; steal by T. Warren),4,9
22,1,8:26.0,Shooting foul by T. Gibson (drawn by T. Chandler),,4,9
23,1,8:26.0,T. Chandler makes free throw 1 of 2,,5,9
24,1,8:26.0,T. Chandler makes free throw 2 of 2,,6,9
25,1,8:20.0,,Shooting foul by T. Warren (drawn by A. Wiggins),6,9
26,1,8:20.0,,A. Wiggins makes free throw 1 of 2,6,10
27,1,8:20.0,,A. Wiggins makes free throw 2 of 2,6,11
28,1,8:08.0,Turnover by T. Chandler (bad pass; steal by J. Butler),,6,11
29,1,7:57.0,,T. Gibson makes 2-pt jump shot from 5 ft (assist by J. Butler),6,13
30,1,7:52.0,Turnover by T. Chandler (bad pass; steal by K. Towns),,6,13
31,1,7:49.0,,J. Teague misses 3-pt jump shot from 25 ft,6,13
32,1,7:48.0,,Offensive rebound by T. Gibson,6,13
33,1,7:48.0,,T. Gibson misses 2-pt dunk at rim,6,13
34,1,7:48.0,,Offensive rebound by K. Towns,6,13
35,1,7:47.0,,K. Towns makes 2-pt dunk at rim,6,15
36,1,7:45.0,Phoenix full timeout,,6,15
37,1,7:31.0,Offensive foul by M. Chriss (drawn by J. Teague),,6,15
38,1,7:31.0,Turnover by M. Chriss (offensive foul),,6,15
39,1,7:07.0,,A. Wiggins misses 3-pt jump shot from 25 ft,6,15
40,1,7:06.0,,Offensive rebound by Team,6,15
41,1,7:06.0,,Turnover by Team (shot clock),6,15
42,1,6:52.0,Turnover by T. Ulis (lost ball; steal by J. Teague),,6,15
43,1,6:46.0,,J. Butler makes 2-pt layup at rim (assist by A. Wiggins),6,17
44,1,6:32.0,Turnover by T. Ulis (lost ball; steal by J. Butler),,6,17
45,1,6:28.0,,J. Butler makes 2-pt layup from 1 ft,6,19
46,1,6:12.0,J. Jackson misses 2-pt layup from 2 ft,,6,19
47,1,6:09.0,,Defensive rebound by K. Towns,6,19
48,1,5:58.0,,J. Teague misses 3-pt jump shot from 23 ft,6,19
49,1,5:56.0,Defensive rebound by T. Chandler,,6,19
50,1,5:51.0,T. Warren makes 2-pt layup from 2 ft (assist by T. Ulis),,8,19
51,1,5:26.0,,K. Towns misses 2-pt jump shot from 7 ft,8,19
52,1,5:23.0,Defensive rebound by M. Chriss,,8,19
53,1,5:17.0,T. Ulis misses 2-pt jump shot from 18 ft,,8,19
54,1,5:15.0,Offensive rebound by Team,,8,19
55,1,5:15.0,T. Daniels enters the game for T. Ulis,,8,19
56,1,5:15.0,I. Canaan enters the game for J. Jackson,,8,19
57,1,5:12.0,T. Warren misses 2-pt jump shot from 9 ft,,8,19
58,1,5:09.0,,Defensive rebound by K. Towns,8,19
59,1,5:05.0,,Shooting foul by M. Chriss (drawn by A. Wiggins),8,19
60,1,5:05.0,,A. Wiggins misses free throw 1 of 2,8,19
61,1,5:05.0,,Offensive rebound by Team,8,19
62,1,5:05.0,,G. Dieng enters the game for K. Towns,8,19
63,1,5:05.0,D. Bender enters the game for M. Chriss,,8,19
64,1,5:05.0,,A. Wiggins misses free throw 2 of 2,8,19
65,1,5:01.0,Defensive rebound by T. Warren,,8,19
66,1,4:55.0,T. Daniels makes 3-pt jump shot from 24 ft (assist by I. Canaan),,11,19
67,1,4:29.0,,J. Teague makes 2-pt jump shot from 21 ft,11,21
68,1,4:14.0,D. Bender misses 3-pt jump shot from 24 ft,,11,21
69,1,4:12.0,,Defensive rebound by T. Gibson,11,21
70,1,4:03.0,,G. Dieng makes 2-pt jump shot from 19 ft (assist by J. Teague),11,23
71,1,3:38.0,T. Warren makes 2-pt jump shot from 8 ft,,13,23
72,1,3:20.0,,A. Wiggins misses 2-pt jump shot from 15 ft,13,23
73,1,3:17.0,Defensive rebound by I. Canaan,,13,23
74,1,3:11.0,I. Canaan makes 2-pt jump shot from 9 ft (assist by T. Warren),,15,23
75,1,2:47.0,,J. Butler misses 2-pt jump shot from 12 ft,15,23
76,1,2:45.0,Defensive rebound by I. Canaan,,15,23
77,1,2:39.0,Turnover by T. Warren (bad pass),,15,23
78,1,2:39.0,,Minnesota full timeout,15,23
79,1,2:39.0,,T. Jones enters the game for J. Teague,15,23
80,1,2:39.0,,J. Crawford enters the game for J. Butler,15,23
81,1,2:39.0,A. Len enters the game for T. Chandler,,15,23
82,1,2:27.0,,A. Wiggins misses 2-pt jump shot from 19 ft,15,23
83,1,2:23.0,Defensive rebound by A. Len,,15,23
84,1,2:04.0,T. Warren makes 2-pt layup from 2 ft,,17,23
85,1,1:49.0,,T. Gibson misses 2-pt jump shot from 21 ft,17,23
86,1,1:46.0,Defensive rebound by I. Canaan,,17,23
87,1,1:32.0,D. Bender makes 3-pt jump shot from 24 ft (assist by A. Len),,20,23
88,1,1:10.0,,A. Wiggins misses 3-pt jump shot from 26 ft,20,23
89,1,1:08.0,,Offensive rebound by G. Dieng,20,23
90,1,1:07.0,,G. Dieng misses 2-pt layup at rim (block by D. Bender),20,23
91,1,1:07.0,,Offensive rebound by Team,20,23
92,1,0:59.0,,A. Wiggins makes 2-pt jump shot from 20 ft,20,25
93,1,0:35.0,D. Bender misses 2-pt hook shot from 5 ft,,20,25
94,1,0:33.0,,Defensive rebound by G. Dieng,20,25
95,1,0:28.0,,J. Crawford misses 3-pt jump shot from 25 ft,20,25
96,1,0:26.0,Defensive rebound by T. Warren,,20,25
97,1,0:04.0,A. Len makes 2-pt dunk from 2 ft (assist by I. Canaan),,22,25
98,1,0:01.0,,A. Wiggins misses 2-pt layup from 1 ft,22,25
99,1,0:00.0,Defensive rebound by D. Bender,,22,25
100,2,11:48.0,Turnover by I. Canaan (traveling),,22,25
101,2,11:26.0,,J. Crawford misses 2-pt jump shot from 20 ft,22,25
102,2,11:23.0,Defensive rebound by A. Len,,22,25
103,2,11:14.0,Turnover by T. Daniels (lost ball; steal by M. Georges-Hunt),,22,25
104,2,11:14.0,,Personal foul by A. Len (drawn by M. Georges-Hunt),22,25
105,2,11:03.0,,G. Dieng misses 3-pt jump shot from 22 ft,22,25
106,2,11:01.0,,Offensive rebound by K. Towns,22,25
107,2,10:58.0,,J. Crawford makes 3-pt jump shot from 24 ft (assist by K. Towns),22,28
108,2,10:39.0,Turnover by A. Len (out of bounds lost ball),,22,28
109,2,10:29.0,,G. Dieng misses 2-pt jump shot from 20 ft,22,28
110,2,10:26.0,Defensive rebound by A. Len,,22,28
111,2,10:17.0,Turnover by D. Bender (bad pass; steal by G. Dieng),,22,28
112,2,10:04.0,,J. Crawford misses 3-pt jump shot from 26 ft,22,28
113,2,10:00.0,Defensive rebound by A. Len,,22,28
114,2,9:49.0,D. Bender makes 3-pt jump shot from 24 ft (assist by I. Canaan),,25,28
115,2,9:27.0,,K. Towns misses 2-pt jump shot from 8 ft,25,28
116,2,9:27.0,,Offensive rebound by Team,25,28
117,2,9:26.0,,Personal foul by D. House (drawn by J. Crawford),25,28
118,2,9:26.0,,J. Crawford makes free throw 1 of 1,25,29
119,2,9:22.0,,Turnover by K. Towns (lost ball; steal by D. Bender),25,29
120,2,9:13.0,I. Canaan misses 2-pt layup from 2 ft (block by G. Dieng),,25,29
121,2,9:10.0,Offensive rebound by A. Len,,25,29
122,2,9:09.0,Turnover by A. Len (lost ball; steal by T. Jones),,25,29
123,2,9:06.0,,M. Georges-Hunt makes 2-pt dunk from 1 ft (assist by J. Crawford),25,31
124,2,8:51.0,D. Bender makes 2-pt jump shot from 6 ft,,27,31
125,2,8:38.0,,Shooting foul by D. Bender (drawn by M. Georges-Hunt),27,31
126,2,8:38.0,,M. Georges-Hunt misses free throw 1 of 2,27,31
127,2,8:38.0,,Offensive rebound by Team,27,31
128,2,8:38.0,,M. Georges-Hunt misses free throw 2 of 2,27,31
129,2,8:36.0,,Offensive rebound by Team,27,31
130,2,8:27.0,,M. Georges-Hunt misses 3-pt jump shot from 24 ft,27,31
131,2,8:26.0,Defensive rebound by A. Len,,27,31
132,2,8:21.0,Shooting foul by J. Crawford (drawn by D. House),,27,31
133,2,8:21.0,D. House makes free throw 1 of 2,,28,31
134,2,8:21.0,,J. Butler enters the game for M. Georges-Hunt,28,31
135,2,8:21.0,D. House makes free throw 2 of 2,,29,31
136,2,8:08.0,J. Jackson enters the game for D. House,,29,31
137,2,7:57.0,,J. Butler makes 2-pt layup at rim,29,33
138,2,7:47.0,Offensive foul by A. Len (drawn by T. Jones),,29,33
139,2,7:47.0,Turnover by A. Len (offensive foul),,29,33
140,2,7:47.0,,T. Gibson enters the game for G. Dieng,29,33
141,2,7:47.0,T. Chandler enters the game for A. Len,,29,33
142,2,7:36.0,,K. Towns misses 3-pt jump shot from 25 ft,29,33
143,2,7:31.0,Defensive rebound by J. Jackson,,29,33
144,2,7:28.0,Turnover by J. Jackson (lost ball; steal by T. Jones),,29,33
145,2,7:25.0,,T. Jones makes 2-pt layup from 1 ft,29,35
146,2,7:24.0,Phoenix full timeout,,29,35
147,2,7:24.0,,J. Teague enters the game for T. Jones,29,35
148,2,7:12.0,T. Daniels misses 3-pt jump shot from 24 ft,,29,35
149,2,7:10.0,,Defensive rebound by T. Gibson,29,35
150,2,6:56.0,,K. Towns misses 2-pt jump shot from 8 ft,29,35
151,2,6:52.0,Defensive rebound by T. Chandler,,29,35
152,2,6:41.0,Turnover by I. Canaan (traveling),,29,35
153,2,6:41.0,T. Warren enters the game for T. Daniels,,29,35
154,2,6:25.0,,T. Gibson misses 2-pt jump shot from 5 ft,29,35
155,2,6:22.0,Defensive rebound by T. Chandler,,29,35
156,2,6:16.0,Shooting foul by J. Teague (drawn by J. Jackson),,29,35
157,2,6:16.0,J. Jackson makes free throw 1 of 2,,30,35
158,2,6:16.0,,A. Wiggins enters the game for J. Crawford,30,35
159,2,6:16.0,T. Ulis enters the game for I. Canaan,,30,35
160,2,6:16.0,M. Chriss enters the game for D. Bender,,30,35
161,2,6:16.0,J. Jackson makes free throw 2 of 2,,31,35
162,2,5:59.0,,J. Butler misses 3-pt jump shot from 23 ft,31,35
163,2,5:54.0,Defensive rebound by M. Chriss,,31,35
164,2,5:52.0,J. Jackson makes 2-pt layup from 1 ft (assist by M. Chriss),,33,35
165,2,5:52.0,Shooting foul by J. Butler (drawn by J. Jackson),,33,35
166,2,5:52.0,J. Jackson misses free throw 1 of 1,,33,35
167,2,5:50.0,,Defensive rebound by T. Gibson,33,35
168,2,5:36.0,,T. Gibson makes 2-pt jump shot from 17 ft (assist by J. Butler),33,37
169,2,5:26.0,Turnover by T. Ulis (bad pass),,33,37
170,2,5:11.0,,J. Teague makes 2-pt jump shot from 19 ft,33,39
171,2,4:55.0,T. Warren misses 2-pt jump shot from 10 ft,,33,39
172,2,4:53.0,,Defensive rebound by K. Towns,33,39
173,2,4:42.0,,A. Wiggins misses 3-pt jump shot from 23 ft,33,39
174,2,4:40.0,Defensive rebound by T. Ulis,,33,39
175,2,4:35.0,T. Warren misses 2-pt jump shot from 10 ft,,33,39
176,2,4:31.0,,Defensive rebound by K. Towns,33,39
177,2,4:23.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),33,42
178,2,4:21.0,Phoenix full timeout,,33,42
179,2,4:09.0,J. Jackson misses 3-pt jump shot from 25 ft,,33,42
180,2,4:08.0,,Defensive rebound by Team,33,42
181,2,3:53.0,,J. Butler misses 2-pt jump shot from 12 ft,33,42
182,2,3:50.0,Defensive rebound by T. Warren,,33,42
183,2,3:48.0,T. Ulis misses 3-pt jump shot from 25 ft,,33,42
184,2,3:48.0,Offensive rebound by J. Jackson,,33,42
185,2,3:45.0,J. Jackson makes 2-pt layup from 1 ft,,35,42
186,2,3:23.0,,Shooting foul by T. Chandler (drawn by K. Towns),35,42
187,2,3:23.0,,K. Towns makes free throw 1 of 2,35,43
188,2,3:23.0,,K. Towns makes free throw 2 of 2,35,44
189,2,2:59.0,T. Ulis misses 2-pt jump shot from 19 ft (block by J. Teague),,35,44
190,2,2:59.0,Offensive rebound by Team,,35,44
191,2,2:59.0,Turnover by Team (shot clock),,35,44
192,2,2:40.0,,T. Gibson misses 2-pt layup from 1 ft,35,44
193,2,2:36.0,,Offensive rebound by T. Gibson,35,44
194,2,2:36.0,,T. Gibson makes 2-pt layup at rim,35,46
195,2,2:17.0,M. Chriss misses 2-pt jump shot from 11 ft,,35,46
196,2,2:15.0,,Defensive rebound by K. Towns,35,46
197,2,2:11.0,,A. Wiggins makes 2-pt layup at rim (assist by K. Towns),35,48
198,2,1:49.0,J. Jackson misses 2-pt jump shot from 11 ft,,35,48
199,2,1:47.0,,Defensive rebound by Team,35,48
200,2,1:47.0,Loose ball foul by J. Jackson (drawn by T. Gibson),,35,48
201,2,1:47.0,,T. Gibson makes free throw 1 of 2,35,49
202,2,1:47.0,J. Dudley enters the game for M. Chriss,,35,49
203,2,1:47.0,,T. Gibson makes free throw 2 of 2,35,50
204,2,1:32.0,Shooting foul by K. Towns (drawn by T. Warren),,35,50
205,2,1:32.0,T. Warren makes free throw 1 of 2,,36,50
206,2,1:32.0,T. Warren makes free throw 2 of 2,,37,50
207,2,1:26.0,Offensive charge foul by A. Wiggins (drawn by T. Ulis),,37,50
