,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHARLOTTE_ACTION,PHILADELPHIA_SCORE,CHARLOTTE_SCORE
0,1,11:50.0,Turnover by B. Simmons (out of bounds lost ball),,0,0
1,1,11:37.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by N. Batum),0,2
2,1,11:26.0,A. Johnson misses 2-pt jump shot from 21 ft,,0,2
3,1,11:26.0,,Defensive rebound by D. Howard,0,2
4,1,11:14.0,,N. Batum misses 2-pt jump shot from 10 ft,0,2
5,1,11:11.0,Defensive rebound by R. Covington,,0,2
6,1,11:06.0,J. Redick misses 2-pt jump shot from 12 ft,,0,2
7,1,11:02.0,,Defensive rebound by M. Williams,0,2
8,1,10:55.0,,M. Kidd-Gilchrist misses 2-pt hook shot from 5 ft,0,2
9,1,10:53.0,Defensive rebound by B. Simmons,,0,2
10,1,10:41.0,B. Simmons misses 2-pt jump shot from 13 ft,,0,2
11,1,10:38.0,,Defensive rebound by M. Kidd-Gilchrist,0,2
12,1,10:29.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),0,5
13,1,10:05.0,B. Simmons makes 2-pt layup from 2 ft,,2,5
14,1,9:46.0,,Turnover by K. Walker (bad pass; steal by R. Covington),2,5
15,1,9:41.0,J. Redick makes 3-pt jump shot from 24 ft (assist by R. Covington),,5,5
16,1,9:21.0,,Turnover by N. Batum (bad pass; steal by R. Covington),5,5
17,1,9:17.0,Shooting block foul by M. Kidd-Gilchrist (drawn by A. Johnson),,5,5
18,1,9:17.0,A. Johnson makes free throw 1 of 2,,6,5
19,1,9:17.0,A. Johnson makes free throw 2 of 2,,7,5
20,1,9:00.0,,Personal foul by A. Johnson (drawn by D. Howard),7,5
21,1,8:55.0,,D. Howard misses 2-pt hook shot from 3 ft,7,5
22,1,8:53.0,Defensive rebound by R. Covington,,7,5
23,1,8:49.0,Shooting foul by D. Howard (drawn by R. Covington),,7,5
24,1,8:49.0,R. Covington makes free throw 1 of 2,,8,5
25,1,8:49.0,R. Covington makes free throw 2 of 2,,9,5
