,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW YORK_ACTION,LA CLIPPERS_SCORE,NEW YORK_SCORE
0,1,11:38.0,,J. Jack makes 3-pt jump shot from 22 ft (assist by C. Lee),0,3
1,1,11:16.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by P. Beverley),,3,3
2,1,11:02.0,,J. Jack makes 2-pt jump shot from 8 ft,3,5
3,1,10:53.0,Turnover by P. Beverley (step out of bounds),,3,5
4,1,10:46.0,,Turnover by T. Hardaway (bad pass; steal by W. Johnson),3,5
5,1,10:42.0,B. Griffin makes 2-pt dunk from 1 ft (assist by W. Johnson),,5,5
6,1,10:18.0,,Shooting foul by P. Beverley (drawn by K. Porziņģis),5,5
7,1,10:18.0,,K. Porziņģis makes free throw 1 of 2,5,6
8,1,10:18.0,,K. Porziņģis makes free throw 2 of 2,5,7
9,1,9:59.0,B. Griffin makes 3-pt jump shot from 24 ft,,8,7
10,1,9:47.0,,Turnover by K. Porziņģis (lost ball; steal by B. Griffin),8,7
11,1,9:42.0,Personal foul by K. Porziņģis (drawn by P. Beverley),,8,7
12,1,9:36.0,Shooting foul by E. Freedom (drawn by B. Griffin),,8,7
13,1,9:36.0,B. Griffin makes free throw 1 of 2,,9,7
14,1,9:36.0,B. Griffin misses free throw 2 of 2,,9,7
15,1,9:33.0,,Defensive rebound by T. Hardaway,9,7
16,1,9:25.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by C. Lee),9,10
17,1,9:05.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by B. Griffin),,12,10
18,1,8:55.0,,K. Porziņģis misses 3-pt jump shot from 27 ft,12,10
19,1,8:54.0,Defensive rebound by D. Jordan,,12,10
20,1,8:47.0,W. Johnson makes 3-pt jump shot from 25 ft (assist by B. Griffin),,15,10
21,1,8:27.0,,Turnover by E. Freedom (lost ball; steal by D. Jordan),15,10
22,1,8:02.0,P. Beverley misses 3-pt jump shot from 25 ft,,15,10
23,1,8:01.0,,Defensive rebound by C. Lee,15,10
24,1,7:54.0,,J. Jack misses 3-pt jump shot from 24 ft,15,10
25,1,7:53.0,Defensive rebound by W. Johnson,,15,10
26,1,7:32.0,W. Johnson misses 2-pt jump shot from 12 ft,,15,10
27,1,7:31.0,,Defensive rebound by E. Freedom,15,10
28,1,7:21.0,,K. Porziņģis makes 2-pt jump shot from 14 ft,15,12
29,1,7:03.0,B. Griffin misses 2-pt jump shot from 8 ft,,15,12
30,1,7:02.0,,Defensive rebound by E. Freedom,15,12
31,1,6:57.0,,New York full timeout,15,12
32,1,6:57.0,,Personal foul by A. Rivers (drawn by T. Hardaway),15,12
33,1,6:57.0,,C. Lee makes free throw 1 of 1,15,13
34,1,6:55.0,,K. Porziņģis misses 3-pt jump shot from 28 ft,15,13
35,1,6:52.0,Defensive rebound by W. Johnson,,15,13
36,1,6:42.0,B. Griffin misses 2-pt dunk from 1 ft (block by K. Porziņģis),,15,13
37,1,6:41.0,Offensive rebound by D. Jordan,,15,13
38,1,6:33.0,P. Beverley misses 3-pt jump shot from 27 ft,,15,13
39,1,6:32.0,,Defensive rebound by Team,15,13
40,1,6:14.0,,Turnover by K. Porziņģis (lost ball; steal by W. Johnson),15,13
41,1,6:10.0,Turnover by P. Beverley (bad pass),,15,13
42,1,5:52.0,,Personal foul by A. Rivers (drawn by J. Jack),15,13
43,1,5:52.0,L. Williams enters the game for P. Beverley,,15,13
44,1,5:52.0,S. Thornwell enters the game for A. Rivers,,15,13
45,1,5:44.0,,K. Porziņģis misses 2-pt jump shot from 15 ft,15,13
46,1,5:43.0,Defensive rebound by B. Griffin,,15,13
47,1,5:31.0,Turnover by L. Williams (bad pass; steal by K. Porziņģis),,15,13
48,1,5:18.0,,T. Hardaway misses 3-pt jump shot from 23 ft,15,13
49,1,5:17.0,Defensive rebound by L. Williams,,15,13
50,1,5:08.0,Turnover by B. Griffin (bad pass),,15,13
51,1,4:53.0,,C. Lee makes 2-pt layup at rim (assist by J. Jack),15,15
52,1,4:43.0,LA Clippers full timeout,,15,15
53,1,4:43.0,,D. McDermott enters the game for T. Hardaway,15,15
54,1,4:35.0,B. Griffin misses 3-pt jump shot from 24 ft,,15,15
55,1,4:34.0,,Defensive rebound by J. Jack,15,15
56,1,4:25.0,,K. Porziņģis misses 2-pt jump shot from 14 ft,15,15
57,1,4:24.0,Defensive rebound by W. Johnson,,15,15
58,1,4:07.0,Turnover by B. Griffin (turnover),,15,15
59,1,3:49.0,,Shooting foul by B. Griffin (drawn by K. Porziņģis),15,15
60,1,3:49.0,,K. Porziņģis makes free throw 1 of 2,15,16
61,1,3:49.0,,F. Ntilikina enters the game for J. Jack,15,16
62,1,3:49.0,J. Evans enters the game for W. Johnson,,15,16
63,1,3:49.0,,K. Porziņģis makes free throw 2 of 2,15,17
64,1,3:31.0,Turnover by L. Williams (bad pass; steal by E. Freedom),,15,17
65,1,3:26.0,Offensive charge foul by F. Ntilikina (drawn by B. Griffin),,15,17
66,1,3:26.0,,Turnover by F. Ntilikina (offensive foul),15,17
67,1,3:26.0,,K. O'Quinn enters the game for E. Freedom,15,17
68,1,3:02.0,Turnover by Team (shot clock),,15,17
69,1,2:55.0,,Personal foul by S. Thornwell (drawn by D. McDermott),15,17
70,1,2:55.0,,D. McDermott misses free throw 1 of 2,15,17
71,1,2:55.0,,Offensive rebound by Team,15,17
72,1,2:55.0,,L. Thomas enters the game for K. Porziņģis,15,17
73,1,2:55.0,,D. McDermott makes free throw 2 of 2,15,18
74,1,2:39.0,J. Evans misses 2-pt jump shot from 10 ft,,15,18
75,1,2:38.0,,Defensive rebound by K. O'Quinn,15,18
76,1,2:28.0,,K. O'Quinn misses 2-pt jump shot from 13 ft,15,18
77,1,2:27.0,Defensive rebound by B. Griffin,,15,18
78,1,2:20.0,B. Griffin misses 2-pt jump shot from 19 ft,,15,18
79,1,2:19.0,,Defensive rebound by C. Lee,15,18
80,1,2:01.0,,K. O'Quinn misses 2-pt jump shot from 15 ft,15,18
81,1,1:58.0,Defensive rebound by Team,,15,18
82,1,1:58.0,S. Dekker enters the game for B. Griffin,,15,18
83,1,1:58.0,W. Reed enters the game for D. Jordan,,15,18
84,1,1:46.0,Shooting foul by L. Thomas (drawn by W. Reed),,15,18
85,1,1:46.0,W. Reed makes free throw 1 of 2,,16,18
86,1,1:46.0,W. Reed misses free throw 2 of 2,,16,18
87,1,1:44.0,,Defensive rebound by K. O'Quinn,16,18
88,1,1:36.0,,Offensive foul by D. McDermott (drawn by J. Evans),16,18
89,1,1:36.0,,Turnover by D. McDermott (offensive foul),16,18
90,1,1:14.0,J. Evans misses 2-pt jump shot from 3 ft,,16,18
91,1,1:13.0,Offensive rebound by W. Reed,,16,18
92,1,1:01.0,J. Evans makes 2-pt jump shot from 22 ft (assist by W. Reed),,18,18
93,1,0:55.0,,Turnover by F. Ntilikina (traveling),18,18
94,1,0:49.0,L. Williams misses 2-pt jump shot from 20 ft,,18,18
95,1,0:45.0,,Defensive rebound by D. McDermott,18,18
96,1,0:24.0,,Turnover by C. Lee (bad pass; steal by S. Dekker),18,18
97,1,0:19.0,S. Dekker makes 2-pt dunk at rim,,20,18
98,1,0:05.0,,Shooting foul by S. Thornwell (drawn by C. Lee),20,18
99,1,0:05.0,,C. Lee makes free throw 1 of 2,20,19
100,1,0:05.0,,C. Lee makes free throw 2 of 2,20,20
101,1,0:01.0,Turnover by L. Williams (out of bounds lost ball),,20,20
102,1,0:00.0,,F. Ntilikina misses 3-pt jump shot from 47 ft,20,20
103,1,0:00.0,,Offensive rebound by Team,20,20
104,2,11:49.0,Offensive foul by W. Reed (drawn by T. Hardaway),,20,20
105,2,11:49.0,Turnover by W. Reed (offensive foul),,20,20
106,2,11:39.0,,D. McDermott misses 2-pt jump shot from 19 ft,20,20
107,2,11:38.0,,Offensive rebound by T. Hardaway,20,20
108,2,11:33.0,,T. Hardaway makes 2-pt jump shot from 19 ft,20,22
109,2,11:22.0,L. Williams makes 3-pt jump shot from 26 ft (assist by A. Rivers),,23,22
110,2,11:08.0,,K. O'Quinn makes 2-pt jump shot from 19 ft (assist by F. Ntilikina),23,24
111,2,10:57.0,W. Reed makes 2-pt layup from 1 ft,,25,24
112,2,10:57.0,Shooting foul by K. O'Quinn (drawn by W. Reed),,25,24
