,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,UTAH_ACTION,LA LAKERS_SCORE,UTAH_SCORE
0,1,11:46.0,Personal foul by R. Rubio (drawn by B. Lopez),,0,0
1,1,11:38.0,B. Ingram misses 2-pt jump shot from 15 ft,,0,0
2,1,11:33.0,,Defensive rebound by D. Favors,0,0
3,1,11:29.0,,R. Hood misses 2-pt layup from 2 ft (block by B. Lopez),0,0
4,1,11:29.0,,Offensive rebound by Team,0,0
5,1,11:20.0,,D. Favors makes 2-pt jump shot from 17 ft (assist by R. Hood),0,2
6,1,11:03.0,B. Lopez makes 2-pt jump shot from 8 ft,,2,2
7,1,10:48.0,,R. Hood misses 3-pt jump shot from 24 ft,2,2
8,1,10:45.0,Defensive rebound by L. Ball,,2,2
9,1,10:35.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,2,2
10,1,10:32.0,,Defensive rebound by J. Ingles,2,2
11,1,10:25.0,,J. Ingles misses 2-pt jump shot from 5 ft (block by B. Ingram),2,2
12,1,10:25.0,,Offensive rebound by Team,2,2
13,1,10:12.0,,R. Gobert misses 2-pt jump shot from 11 ft,2,2
14,1,10:09.0,,Offensive rebound by D. Favors,2,2
15,1,10:07.0,,R. Hood misses 3-pt jump shot from 25 ft,2,2
16,1,10:07.0,Defensive rebound by B. Ingram,,2,2
17,1,9:55.0,B. Ingram misses 2-pt layup from 3 ft,,2,2
18,1,9:53.0,,Defensive rebound by R. Gobert,2,2
19,1,9:49.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),2,5
20,1,9:30.0,K. Caldwell-Pope makes 2-pt hook shot from 5 ft (assist by L. Ball),,4,5
21,1,9:15.0,,R. Rubio makes 2-pt layup from 2 ft,4,7
22,1,8:51.0,L. Ball misses 2-pt layup from 2 ft,,4,7
23,1,8:46.0,Offensive rebound by B. Lopez,,4,7
24,1,8:46.0,B. Lopez misses 2-pt layup at rim,,4,7
25,1,8:45.0,,Defensive rebound by R. Hood,4,7
26,1,8:42.0,,R. Hood makes 3-pt jump shot from 24 ft,4,10
27,1,8:35.0,Turnover by L. Ball (bad pass; steal by J. Ingles),,4,10
28,1,8:23.0,,Turnover by R. Rubio (bad pass; steal by K. Caldwell-Pope),4,10
29,1,8:17.0,Def 3 sec tech foul by J. Ingles,,4,10
30,1,8:17.0,K. Caldwell-Pope makes technical free throw,,5,10
31,1,8:13.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,5,10
32,1,8:10.0,,Defensive rebound by R. Gobert,5,10
33,1,8:01.0,,J. Ingles misses 3-pt jump shot from 23 ft,5,10
34,1,7:58.0,Defensive rebound by B. Lopez,,5,10
35,1,7:50.0,K. Caldwell-Pope misses 2-pt jump shot from 11 ft (block by R. Gobert),,5,10
36,1,7:47.0,,Defensive rebound by R. Rubio,5,10
37,1,7:40.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),5,12
38,1,7:19.0,B. Ingram makes 2-pt dunk from 1 ft,,7,12
39,1,6:59.0,,D. Favors makes 2-pt layup from 1 ft (assist by R. Hood),7,14
40,1,6:52.0,LA Lakers full timeout,,7,14
41,1,6:52.0,,D. Mitchell enters the game for R. Rubio,7,14
42,1,6:46.0,B. Lopez misses 3-pt jump shot from 25 ft,,7,14
43,1,6:43.0,,Defensive rebound by R. Hood,7,14
44,1,6:31.0,,R. Hood misses 3-pt jump shot from 22 ft,7,14
45,1,6:28.0,Defensive rebound by L. Nance,,7,14
46,1,6:14.0,,Violation by R. Hood (kicked ball),7,14
47,1,6:08.0,L. Ball misses 3-pt jump shot from 28 ft,,7,14
48,1,6:05.0,,Defensive rebound by D. Favors,7,14
49,1,5:52.0,,Personal foul by B. Ingram (drawn by R. Gobert),7,14
50,1,5:52.0,,J. Johnson enters the game for D. Favors,7,14
51,1,5:37.0,,Turnover by Team (shot clock),7,14
52,1,5:22.0,Turnover by K. Caldwell-Pope (traveling),,7,14
53,1,5:08.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by J. Johnson),7,17
54,1,4:55.0,Turnover by B. Ingram (lost ball; steal by D. Mitchell),,7,17
55,1,4:52.0,,A. Burks enters the game for R. Hood,7,17
56,1,4:52.0,K. Kuzma enters the game for K. Caldwell-Pope,,7,17
57,1,4:52.0,J. Clarkson enters the game for L. Nance,,7,17
58,1,4:46.0,,D. Mitchell misses 2-pt layup from 2 ft,7,17
59,1,4:44.0,Defensive rebound by J. Clarkson,,7,17
60,1,4:39.0,Offensive foul by B. Lopez (drawn by J. Johnson),,7,17
61,1,4:39.0,Turnover by B. Lopez (offensive foul),,7,17
62,1,4:23.0,,J. Johnson misses 3-pt jump shot from 25 ft,7,17
63,1,4:20.0,,Offensive rebound by J. Ingles,7,17
64,1,4:03.0,,Shooting foul by B. Ingram (drawn by A. Burks),7,17
65,1,4:03.0,,A. Burks makes free throw 1 of 2,7,18
66,1,4:03.0,,T. Sefolosha enters the game for J. Ingles,7,18
67,1,4:03.0,J. Randle enters the game for L. Ball,,7,18
68,1,4:03.0,J. Hart enters the game for B. Ingram,,7,18
69,1,4:03.0,L. Ball enters the game for B. Lopez,,7,18
70,1,4:03.0,,A. Burks makes free throw 2 of 2,7,19
71,1,3:44.0,K. Kuzma misses 3-pt jump shot from 24 ft,,7,19
72,1,3:41.0,,Defensive rebound by T. Sefolosha,7,19
73,1,3:29.0,,D. Mitchell makes 2-pt jump shot from 13 ft,7,21
74,1,3:02.0,J. Clarkson misses 3-pt jump shot from 25 ft (block by R. Gobert),,7,21
75,1,2:55.0,,Defensive rebound by T. Sefolosha,7,21
76,1,2:54.0,,D. Mitchell misses 2-pt layup from 4 ft,7,21
77,1,2:48.0,Defensive rebound by J. Randle,,7,21
78,1,2:44.0,K. Kuzma makes 2-pt jump shot from 13 ft,,9,21
79,1,2:25.0,,T. Sefolosha makes 2-pt layup from 1 ft (assist by J. Johnson),9,23
80,1,2:11.0,L. Ball makes 3-pt jump shot from 22 ft (assist by K. Kuzma),,12,23
81,1,1:55.0,,Turnover by D. Mitchell (lost ball; steal by L. Ball),12,23
82,1,1:55.0,Personal foul by D. Mitchell (drawn by J. Randle),,12,23
83,1,1:55.0,,Utah full timeout,12,23
84,1,1:55.0,,E. Udoh enters the game for A. Burks,12,23
85,1,1:55.0,,R. Rubio enters the game for R. Gobert,12,23
86,1,1:44.0,L. Ball misses 2-pt layup from 2 ft,,12,23
87,1,1:41.0,,Defensive rebound by R. Rubio,12,23
88,1,1:24.0,,J. Johnson misses 3-pt jump shot from 24 ft,12,23
89,1,1:22.0,Defensive rebound by J. Clarkson,,12,23
90,1,1:14.0,J. Clarkson misses 2-pt hook shot from 11 ft,,12,23
91,1,1:12.0,Offensive rebound by J. Clarkson,,12,23
92,1,1:11.0,J. Clarkson misses 2-pt layup from 2 ft,,12,23
93,1,1:11.0,Offensive rebound by K. Kuzma,,12,23
94,1,1:05.0,K. Kuzma misses 2-pt layup at rim,,12,23
95,1,1:04.0,,Defensive rebound by E. Udoh,12,23
96,1,0:53.0,,R. Rubio makes 2-pt jump shot from 20 ft,12,25
97,1,0:41.0,J. Clarkson makes 2-pt jump shot from 8 ft,,14,25
98,1,0:30.0,,R. Rubio makes 3-pt jump shot from 24 ft (assist by J. Johnson),14,28
99,1,0:11.0,J. Clarkson makes 2-pt layup from 1 ft,,16,28
100,1,0:03.0,,Personal foul by J. Randle (drawn by R. Rubio),16,28
101,1,0:03.0,T. Ennis enters the game for L. Ball,,16,28
102,1,0:01.0,,D. Mitchell makes 3-pt jump shot from 25 ft,16,31
103,2,11:47.0,,Personal foul by J. Randle (drawn by R. Rubio),16,31
104,2,11:36.0,,Turnover by J. Johnson (out of bounds lost ball),16,31
105,2,11:12.0,K. Kuzma misses 2-pt layup from 2 ft,,16,31
106,2,11:10.0,,Defensive rebound by T. Sefolosha,16,31
