,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHICAGO_ACTION,OKLAHOMA CITY_SCORE,CHICAGO_SCORE
0,1,11:48.0,P. George makes 3-pt jump shot from 25 ft (assist by S. Adams),,3,0
1,1,11:28.0,,Turnover by J. Holiday (bad pass; steal by S. Adams),3,0
2,1,11:22.0,Turnover by P. George (bad pass),,3,0
3,1,11:02.0,,P. Zipser misses 2-pt jump shot from 17 ft,3,0
4,1,10:58.0,,Offensive rebound by P. Zipser,3,0
5,1,10:56.0,,Turnover by P. Zipser (bad pass; steal by P. George),3,0
6,1,10:54.0,R. Westbrook makes 2-pt jump shot from 12 ft,,5,0
7,1,10:37.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by J. Grant),5,3
8,1,10:19.0,P. George misses 2-pt jump shot from 8 ft,,5,3
9,1,10:14.0,,Defensive rebound by J. Grant,5,3
10,1,10:06.0,,J. Holiday misses 3-pt jump shot from 22 ft,5,3
11,1,10:02.0,Defensive rebound by C. Anthony,,5,3
12,1,9:57.0,C. Anthony makes 2-pt jump shot from 21 ft,,7,3
13,1,9:35.0,,J. Grant misses 3-pt jump shot from 24 ft,7,3
14,1,9:31.0,Defensive rebound by R. Westbrook,,7,3
15,1,9:18.0,P. George makes 3-pt jump shot from 23 ft (assist by A. Roberson),,10,3
16,1,8:59.0,,R. Lopez misses 2-pt jump shot from 15 ft,10,3
17,1,8:56.0,Defensive rebound by R. Westbrook,,10,3
18,1,8:53.0,S. Adams makes 2-pt hook shot from 6 ft (assist by R. Westbrook),,12,3
19,1,8:53.0,,Chicago full timeout,12,3
20,1,8:39.0,,Turnover by R. Lopez (bad pass; steal by R. Westbrook),12,3
21,1,8:23.0,C. Anthony misses 2-pt jump shot from 12 ft,,12,3
22,1,8:20.0,Offensive rebound by A. Roberson,,12,3
23,1,8:18.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,15,3
24,1,8:06.0,,Personal foul by C. Anthony (drawn by J. Holiday),15,3
25,1,8:00.0,,P. Zipser makes 3-pt jump shot from 23 ft (assist by J. Grant),15,6
26,1,7:48.0,P. George misses 2-pt layup from 2 ft,,15,6
27,1,7:47.0,Offensive rebound by S. Adams,,15,6
28,1,7:47.0,S. Adams misses 2-pt layup at rim,,15,6
29,1,7:43.0,Offensive rebound by P. George,,15,6
30,1,7:33.0,Turnover by Team (shot clock),,15,6
