,QUARTER,TIME_REMAINING,INDIANA_ACTION,PORTLAND_ACTION,INDIANA_SCORE,PORTLAND_SCORE
0,1,11:42.0,,C. McCollum misses 3-pt jump shot from 28 ft,0,0
1,1,11:39.0,Defensive rebound by B. Bogdanović,,0,0
2,1,11:23.0,D. Sabonis misses 2-pt layup from 3 ft,,0,0
3,1,11:21.0,,Defensive rebound by D. Lillard,0,0
4,1,11:16.0,,D. Lillard misses 3-pt jump shot from 25 ft,0,0
5,1,11:12.0,Defensive rebound by V. Oladipo,,0,0
6,1,11:04.0,D. Collison makes 2-pt jump shot from 19 ft,,2,0
7,1,10:38.0,,J. Nurkić makes 2-pt hook shot from 8 ft (assist by E. Turner),2,2
8,1,10:27.0,V. Oladipo misses 2-pt jump shot from 19 ft,,2,2
9,1,10:24.0,,Defensive rebound by C. McCollum,2,2
10,1,10:16.0,,A. Aminu makes 2-pt dunk at rim,2,4
11,1,10:01.0,Shooting foul by E. Turner (drawn by B. Bogdanović),,2,4
12,1,10:01.0,B. Bogdanović misses free throw 1 of 2,,2,4
13,1,10:01.0,Offensive rebound by Team,,2,4
14,1,10:01.0,B. Bogdanović makes free throw 2 of 2,,3,4
15,1,9:41.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by D. Lillard),3,7
16,1,9:26.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,6,7
17,1,9:15.0,,J. Nurkić makes 2-pt hook shot from 5 ft (assist by D. Lillard),6,9
18,1,8:48.0,V. Oladipo misses 2-pt jump shot from 22 ft,,6,9
19,1,8:45.0,,Defensive rebound by J. Nurkić,6,9
20,1,8:33.0,,E. Turner makes 2-pt jump shot from 11 ft,6,11
21,1,8:19.0,V. Oladipo misses 2-pt jump shot from 13 ft,,6,11
22,1,8:16.0,,Offensive rebound by Team,6,11
23,1,8:01.0,,Shooting foul by T. Young (drawn by A. Aminu),6,11
24,1,8:01.0,,A. Aminu makes free throw 1 of 2,6,12
25,1,8:01.0,,A. Aminu makes free throw 2 of 2,6,13
26,1,7:51.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,6,13
27,1,7:48.0,,Defensive rebound by C. McCollum,6,13
28,1,7:45.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by C. McCollum),6,15
29,1,7:44.0,Indiana full timeout,,6,15
30,1,7:33.0,V. Oladipo makes 2-pt jump shot from 17 ft,,8,15
31,1,7:15.0,,Personal foul by B. Bogdanović (drawn by J. Nurkić),8,15
32,1,7:09.0,,D. Lillard misses 3-pt jump shot from 25 ft,8,15
33,1,7:05.0,Defensive rebound by T. Young,,8,15
34,1,6:57.0,D. Sabonis misses 2-pt layup from 2 ft,,8,15
35,1,6:55.0,,Defensive rebound by J. Nurkić,8,15
36,1,6:51.0,,A. Aminu misses 3-pt jump shot from 23 ft,8,15
37,1,6:51.0,Defensive rebound by D. Sabonis,,8,15
38,1,6:36.0,T. Young makes 2-pt layup from 1 ft,,10,15
39,1,6:21.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),10,18
40,1,6:01.0,D. Sabonis misses 2-pt layup from 3 ft (block by A. Aminu),,10,18
41,1,5:59.0,,Defensive rebound by J. Nurkić,10,18
42,1,5:54.0,,A. Aminu makes 2-pt jump shot from 5 ft (assist by D. Lillard),10,20
43,1,5:38.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,10,20
44,1,5:38.0,,Defensive rebound by J. Nurkić,10,20
45,1,5:27.0,,D. Lillard misses 3-pt jump shot from 22 ft,10,20
46,1,5:27.0,Defensive rebound by D. Sabonis,,10,20
47,1,5:21.0,V. Oladipo makes 2-pt layup from 1 ft,,12,20
48,1,5:02.0,,C. McCollum misses 2-pt layup from 2 ft (block by V. Oladipo),12,20
49,1,5:02.0,,Offensive rebound by Team,12,20
50,1,5:02.0,,P. Connaughton enters the game for E. Turner,12,20
51,1,5:02.0,C. Joseph enters the game for B. Bogdanović,,12,20
52,1,5:00.0,,J. Nurkić makes 2-pt jump shot from 17 ft (assist by P. Connaughton),12,22
53,1,4:39.0,V. Oladipo misses 3-pt jump shot from 26 ft,,12,22
54,1,4:36.0,Offensive rebound by T. Young,,12,22
55,1,4:35.0,T. Young makes 2-pt layup at rim,,14,22
56,1,4:19.0,,C. McCollum misses 2-pt jump shot from 9 ft (block by D. Sabonis),14,22
57,1,4:16.0,Defensive rebound by D. Sabonis,,14,22
58,1,4:09.0,D. Sabonis makes 2-pt jump shot from 18 ft (assist by D. Collison),,16,22
59,1,4:06.0,,Portland full timeout,16,22
60,1,4:06.0,,E. Davis enters the game for C. McCollum,16,22
61,1,4:06.0,,S. Napier enters the game for A. Aminu,16,22
62,1,4:06.0,,Z. Collins enters the game for J. Nurkić,16,22
63,1,3:48.0,,P. Connaughton misses 2-pt jump shot from 16 ft,16,22
64,1,3:48.0,,Offensive rebound by Team,16,22
65,1,3:48.0,Loose ball foul by D. Sabonis (drawn by Z. Collins),,16,22
66,1,3:48.0,A. Jefferson enters the game for D. Sabonis,,16,22
