,QUARTER,TIME_REMAINING,INDIANA_ACTION,MILWAUKEE_ACTION,INDIANA_SCORE,MILWAUKEE_SCORE
0,1,11:37.0,Violation by M. Turner (kicked ball),,0,0
1,1,11:27.0,,K. Middleton misses 2-pt jump shot from 17 ft,0,0
2,1,11:23.0,Defensive rebound by T. Young,,0,0
3,1,11:09.0,M. Turner makes 2-pt jump shot from 19 ft (assist by V. Oladipo),,2,0
4,1,10:58.0,,J. Henson makes 2-pt hook shot from 1 ft (assist by E. Bledsoe),2,2
5,1,10:41.0,T. Young misses 2-pt jump shot from 17 ft,,2,2
6,1,10:39.0,,Defensive rebound by E. Bledsoe,2,2
7,1,10:27.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),2,4
8,1,10:13.0,B. Bogdanović misses 2-pt layup from 5 ft,,2,4
9,1,10:10.0,,Defensive rebound by E. Bledsoe,2,4
10,1,10:01.0,,E. Bledsoe misses 2-pt jump shot from 19 ft,2,4
11,1,9:58.0,Defensive rebound by V. Oladipo,,2,4
12,1,9:39.0,C. Joseph makes 2-pt jump shot from 16 ft,,4,4
13,1,9:11.0,,E. Bledsoe misses 2-pt jump shot from 9 ft,4,4
14,1,9:09.0,,Offensive rebound by G. Antetokounmpo,4,4
15,1,9:08.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,4,6
16,1,8:54.0,Turnover by V. Oladipo (lost ball; steal by E. Bledsoe),,4,6
17,1,8:46.0,,J. Terry misses 3-pt jump shot from 22 ft,4,6
18,1,8:44.0,Defensive rebound by V. Oladipo,,4,6
19,1,8:42.0,Personal foul by E. Bledsoe (drawn by V. Oladipo),,4,6
20,1,8:36.0,Turnover by B. Bogdanović (bad pass; steal by K. Middleton),,4,6
21,1,8:21.0,,J. Henson misses 2-pt layup at rim,4,6
22,1,8:20.0,,Offensive rebound by J. Henson,4,6
23,1,8:16.0,,J. Henson misses 2-pt hook shot from 3 ft,4,6
24,1,8:16.0,Defensive rebound by C. Joseph,,4,6
25,1,8:12.0,T. Young misses 2-pt layup from 3 ft (block by J. Terry),,4,6
26,1,8:09.0,,Defensive rebound by E. Bledsoe,4,6
27,1,7:55.0,,K. Middleton makes 2-pt jump shot from 14 ft (assist by E. Bledsoe),4,8
28,1,7:36.0,Personal foul by K. Middleton (drawn by B. Bogdanović),,4,8
29,1,7:24.0,V. Oladipo makes 2-pt jump shot from 18 ft (assist by C. Joseph),,6,8
30,1,7:07.0,,Turnover by E. Bledsoe (lost ball; steal by C. Joseph),6,8
31,1,6:50.0,B. Bogdanović misses 2-pt hook shot from 5 ft,,6,8
32,1,6:46.0,Offensive rebound by T. Young,,6,8
33,1,6:46.0,T. Young misses 2-pt layup at rim,,6,8
34,1,6:46.0,Offensive rebound by M. Turner,,6,8
35,1,6:41.0,Turnover by M. Turner (bad pass; steal by J. Henson),,6,8
36,1,6:27.0,,Turnover by G. Antetokounmpo (lost ball; steal by C. Joseph),6,8
37,1,6:16.0,T. Young makes 2-pt dunk at rim (assist by V. Oladipo),,8,8
38,1,6:14.0,Technical foul by T. Young,,8,8
39,1,6:14.0,,Milwaukee full timeout,8,8
40,1,6:14.0,,K. Middleton makes technical free throw,8,9
41,1,5:59.0,,E. Bledsoe misses 2-pt jump shot from 14 ft,8,9
42,1,5:57.0,,Offensive rebound by J. Henson,8,9
43,1,5:54.0,,K. Middleton misses 3-pt jump shot from 27 ft,8,9
44,1,5:50.0,Defensive rebound by B. Bogdanović,,8,9
45,1,5:39.0,V. Oladipo misses 2-pt jump shot from 18 ft,,8,9
46,1,5:35.0,,Defensive rebound by J. Henson,8,9
47,1,5:24.0,,K. Middleton misses 3-pt jump shot from 22 ft,8,9
48,1,5:21.0,Defensive rebound by V. Oladipo,,8,9
49,1,5:07.0,C. Joseph misses 3-pt jump shot from 28 ft,,8,9
50,1,5:04.0,,Defensive rebound by K. Middleton,8,9
51,1,4:58.0,,J. Parker enters the game for G. Antetokounmpo,8,9
52,1,4:52.0,,J. Parker misses 2-pt jump shot from 2 ft,8,9
53,1,4:50.0,Defensive rebound by B. Bogdanović,,8,9
54,1,4:48.0,,T. Zeller enters the game for J. Henson,8,9
55,1,4:48.0,D. Sabonis enters the game for T. Young,,8,9
56,1,4:30.0,V. Oladipo misses 2-pt jump shot from 14 ft,,8,9
57,1,4:28.0,,Defensive rebound by J. Parker,8,9
58,1,4:24.0,,J. Parker misses 2-pt layup from 1 ft,8,9
59,1,4:21.0,Defensive rebound by V. Oladipo,,8,9
60,1,4:14.0,V. Oladipo misses 2-pt jump shot from 18 ft,,8,9
61,1,4:08.0,Offensive rebound by D. Sabonis,,8,9
62,1,4:07.0,D. Sabonis misses 2-pt layup from 2 ft,,8,9
63,1,4:05.0,,Defensive rebound by T. Zeller,8,9
64,1,3:55.0,,K. Middleton makes 2-pt jump shot from 13 ft,8,11
65,1,3:39.0,Turnover by M. Turner (traveling),,8,11
66,1,3:39.0,,S. Brown enters the game for J. Terry,8,11
67,1,3:39.0,G. Robinson enters the game for C. Joseph,,8,11
68,1,3:39.0,J. Young enters the game for B. Bogdanović,,8,11
69,1,3:24.0,,J. Parker misses 2-pt layup from 3 ft,8,11
70,1,3:23.0,,Offensive rebound by J. Parker,8,11
71,1,3:22.0,,Shooting foul by G. Robinson (drawn by K. Middleton),8,11
72,1,3:22.0,,K. Middleton makes free throw 1 of 2,8,12
73,1,3:22.0,L. Stephenson enters the game for V. Oladipo,,8,12
74,1,3:22.0,,K. Middleton misses free throw 2 of 2,8,12
