,QUARTER,TIME_REMAINING,CHICAGO_ACTION,HOUSTON_ACTION,CHICAGO_SCORE,HOUSTON_SCORE
0,1,11:39.0,,N. Hilário misses 2-pt layup from 1 ft,0,0
1,1,11:37.0,Defensive rebound by D. Nwaba,,0,0
2,1,11:25.0,Def 3 sec tech foul by N. Hilário,,0,0
3,1,11:25.0,L. Markkanen misses technical free throw,,0,0
4,1,11:25.0,Offensive rebound by Team,,0,0
5,1,11:16.0,C. Payne misses 3-pt jump shot from 25 ft,,0,0
6,1,11:14.0,Offensive rebound by D. Nwaba,,0,0
7,1,11:07.0,D. Nwaba misses 2-pt jump shot from 4 ft,,0,0
8,1,11:04.0,Offensive rebound by C. Felício,,0,0
9,1,10:54.0,C. Payne misses 2-pt jump shot from 3 ft,,0,0
10,1,10:51.0,Offensive rebound by C. Payne,,0,0
11,1,10:50.0,C. Payne makes 2-pt jump shot from 4 ft,,2,0
12,1,10:37.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),2,3
13,1,10:12.0,Turnover by L. Markkanen (lost ball; steal by T. Ariza),,2,3
14,1,9:56.0,,C. Paul makes 3-pt jump shot from 25 ft,2,6
15,1,9:45.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by C. Payne),,5,6
16,1,9:26.0,,P. Tucker misses 3-pt jump shot from 23 ft,5,6
17,1,9:23.0,,Offensive rebound by N. Hilário,5,6
18,1,9:22.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by N. Hilário),5,9
19,1,8:57.0,Turnover by C. Felício (lost ball; steal by N. Hilário),,5,9
20,1,8:52.0,,P. Tucker makes 2-pt layup from 1 ft (assist by C. Paul),5,11
21,1,8:39.0,Turnover by L. Markkanen (bad pass; steal by T. Ariza),,5,11
22,1,8:35.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by T. Ariza),5,14
23,1,8:34.0,Chicago full timeout,,5,14
24,1,8:18.0,L. Markkanen makes 2-pt jump shot from 17 ft,,7,14
25,1,7:53.0,,T. Ariza misses 3-pt jump shot from 23 ft,7,14
26,1,7:50.0,Defensive rebound by C. Payne,,7,14
27,1,7:33.0,L. Markkanen makes 2-pt layup from 1 ft,,9,14
28,1,7:23.0,,E. Gordon misses 3-pt jump shot from 23 ft,9,14
29,1,7:19.0,Defensive rebound by C. Payne,,9,14
30,1,6:58.0,C. Felício misses 2-pt hook shot from 10 ft,,9,14
31,1,6:55.0,,Defensive rebound by T. Ariza,9,14
32,1,6:47.0,,N. Hilário misses 2-pt jump shot from 18 ft,9,14
33,1,6:43.0,Defensive rebound by C. Payne,,9,14
34,1,6:32.0,L. Markkanen makes 3-pt jump shot from 25 ft,,12,14
35,1,6:21.0,,G. Green enters the game for C. Paul,12,14
36,1,6:21.0,,R. Anderson enters the game for N. Hilário,12,14
37,1,6:15.0,,Def 3 sec tech foul by L. Markkanen,12,14
38,1,6:15.0,,T. Ariza makes technical free throw,12,15
39,1,6:07.0,,Turnover by R. Anderson (bad pass; steal by D. Nwaba),12,15
40,1,5:52.0,C. Payne misses 3-pt jump shot from 23 ft,,12,15
41,1,5:50.0,,Defensive rebound by P. Tucker,12,15
42,1,5:50.0,,Personal foul by C. Felício (drawn by P. Tucker),12,15
43,1,5:39.0,,E. Gordon makes 2-pt layup at rim,12,17
44,1,5:27.0,Turnover by C. Felício (lost ball; steal by P. Tucker),,12,17
45,1,5:24.0,,P. Tucker misses 2-pt layup from 2 ft (block by L. Markkanen),12,17
46,1,5:24.0,,Offensive rebound by Team,12,17
47,1,5:24.0,,J. Johnson enters the game for P. Tucker,12,17
48,1,5:24.0,B. Portis enters the game for C. Felício,,12,17
49,1,5:19.0,,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Johnson),12,20
50,1,4:57.0,L. Markkanen makes 2-pt jump shot from 13 ft,,14,20
51,1,4:40.0,,E. Gordon makes 2-pt layup from 1 ft,14,22
52,1,4:23.0,L. Markkanen misses 2-pt jump shot from 11 ft,,14,22
53,1,4:21.0,,Defensive rebound by R. Anderson,14,22
54,1,4:08.0,,T. Ariza misses 3-pt jump shot from 22 ft,14,22
55,1,4:04.0,Defensive rebound by B. Portis,,14,22
56,1,3:59.0,D. Nwaba misses 2-pt layup from 1 ft,,14,22
57,1,3:56.0,,Defensive rebound by G. Green,14,22
58,1,3:51.0,,E. Gordon makes 3-pt jump shot from 30 ft (assist by G. Green),14,25
59,1,3:34.0,L. Markkanen makes 2-pt jump shot from 14 ft,,16,25
60,1,3:23.0,,G. Green misses 2-pt jump shot from 9 ft,16,25
61,1,3:21.0,Defensive rebound by L. Markkanen,,16,25
62,1,3:18.0,J. Holiday misses 3-pt jump shot from 24 ft,,16,25
63,1,3:08.0,Offensive rebound by B. Portis,,16,25
64,1,3:08.0,B. Portis misses 2-pt layup at rim,,16,25
65,1,3:08.0,,Defensive rebound by R. Anderson,16,25
66,1,2:59.0,,Def 3 sec tech foul by D. Nwaba,16,25
67,1,2:59.0,,Houston full timeout,16,25
68,1,2:59.0,,C. Paul enters the game for E. Gordon,16,25
69,1,2:59.0,J. Grant enters the game for D. Nwaba,,16,25
70,1,2:59.0,D. Valentine enters the game for C. Payne,,16,25
71,1,2:59.0,N. Vonleh enters the game for L. Markkanen,,16,25
72,1,2:59.0,,T. Ariza makes technical free throw,16,26
73,1,2:48.0,,C. Paul makes 3-pt jump shot from 26 ft,16,29
74,1,2:26.0,B. Portis makes 2-pt jump shot from 18 ft,,18,29
75,1,2:07.0,,G. Green misses 3-pt jump shot from 25 ft,18,29
76,1,2:04.0,Defensive rebound by N. Vonleh,,18,29
77,1,1:59.0,J. Grant misses 3-pt jump shot from 24 ft,,18,29
78,1,1:56.0,,Defensive rebound by C. Paul,18,29
79,1,1:50.0,,T. Ariza misses 3-pt jump shot from 25 ft,18,29
80,1,1:47.0,Defensive rebound by D. Valentine,,18,29
81,1,1:38.0,B. Portis makes 2-pt jump shot from 3 ft,,20,29
82,1,1:15.0,,T. Ariza makes 2-pt layup from 1 ft (assist by C. Paul),20,31
83,1,0:49.0,D. Valentine makes 3-pt jump shot from 23 ft (assist by J. Grant),,23,31
84,1,0:34.0,,C. Paul misses 2-pt jump shot from 19 ft,23,31
85,1,0:32.0,Defensive rebound by J. Holiday,,23,31
86,1,0:32.0,Turnover by J. Holiday (bad pass),,23,31
87,1,0:11.0,,J. Johnson misses 2-pt jump shot from 11 ft,23,31
88,1,0:09.0,Defensive rebound by J. Grant,,23,31
89,1,0:01.0,J. Grant misses 2-pt jump shot from 17 ft,,23,31
90,1,0:00.0,,Defensive rebound by T. Ariza,23,31
91,2,11:48.0,S. Kilpatrick makes 2-pt layup from 1 ft (assist by B. Portis),,25,31
92,2,11:30.0,,R. Anderson makes 3-pt jump shot from 26 ft (assist by C. Paul),25,34
93,2,11:15.0,Turnover by N. Vonleh (bad pass; steal by P. Tucker),,25,34
94,2,11:08.0,,R. Anderson misses 3-pt jump shot from 28 ft,25,34
95,2,11:05.0,Defensive rebound by B. Portis,,25,34
96,2,10:57.0,S. Kilpatrick misses 3-pt jump shot from 24 ft,,25,34
97,2,10:51.0,Offensive rebound by N. Vonleh,,25,34
98,2,10:51.0,N. Vonleh makes 2-pt dunk at rim,,27,34
99,2,10:30.0,,C. Paul misses 3-pt jump shot from 26 ft,27,34
100,2,10:30.0,,Offensive rebound by Team,27,34
101,2,10:30.0,Loose ball foul by J. Grant (drawn by R. Anderson),,27,34
102,2,10:19.0,,G. Green makes 2-pt jump shot from 14 ft,27,36
103,2,10:09.0,J. Grant misses 2-pt jump shot from 9 ft,,27,36
104,2,10:05.0,,Defensive rebound by J. Johnson,27,36
105,2,9:52.0,,P. Tucker misses 3-pt jump shot from 23 ft,27,36
106,2,9:48.0,Defensive rebound by J. Grant,,27,36
107,2,9:43.0,S. Kilpatrick misses 3-pt jump shot from 23 ft,,27,36
108,2,9:41.0,,Defensive rebound by Team,27,36
109,2,9:19.0,,C. Paul makes 2-pt jump shot from 16 ft,27,38
110,2,9:02.0,Turnover by D. Valentine (bad pass; steal by C. Paul),,27,38
111,2,8:56.0,,C. Paul misses 3-pt jump shot from 24 ft,27,38
112,2,8:53.0,Defensive rebound by B. Portis,,27,38
113,2,8:46.0,D. Valentine makes 3-pt jump shot from 27 ft,,30,38
114,2,8:28.0,,G. Green misses 3-pt jump shot from 25 ft,30,38
115,2,8:27.0,,Offensive rebound by Team,30,38
116,2,8:27.0,Loose ball foul by J. Grant (drawn by P. Tucker),,30,38
117,2,8:22.0,,J. Johnson misses 3-pt jump shot from 23 ft,30,38
118,2,8:18.0,Defensive rebound by N. Vonleh,,30,38
119,2,8:10.0,B. Portis misses 2-pt jump shot from 12 ft,,30,38
120,2,8:07.0,,Defensive rebound by G. Green,30,38
121,2,8:01.0,,Shooting foul by D. Valentine (drawn by G. Green),30,38
122,2,8:01.0,,G. Green makes free throw 1 of 2,30,39
123,2,8:01.0,,N. Hilário enters the game for R. Anderson,30,39
124,2,8:01.0,C. Payne enters the game for J. Grant,,30,39
125,2,8:01.0,,G. Green makes free throw 2 of 2,30,40
126,2,7:54.0,D. Valentine misses 3-pt jump shot from 25 ft,,30,40
127,2,7:52.0,,Defensive rebound by P. Tucker,30,40
128,2,7:45.0,,Turnover by C. Paul (bad pass; steal by C. Payne),30,40
129,2,7:41.0,N. Vonleh makes 2-pt layup from 1 ft,,32,40
130,2,7:33.0,,J. Johnson misses 2-pt jump shot from 7 ft,32,40
131,2,7:33.0,,Offensive rebound by Team,32,40
132,2,7:31.0,L. Markkanen enters the game for B. Portis,,32,40
133,2,7:14.0,,C. Paul misses 3-pt jump shot from 25 ft,32,40
134,2,7:11.0,Defensive rebound by L. Markkanen,,32,40
135,2,7:07.0,L. Markkanen misses 3-pt jump shot from 26 ft,,32,40
136,2,7:04.0,,Defensive rebound by P. Tucker,32,40
137,2,7:01.0,,Shooting foul by C. Payne (drawn by J. Johnson),32,40
138,2,7:01.0,,J. Johnson makes free throw 1 of 2,32,41
139,2,7:01.0,,E. Gordon enters the game for C. Paul,32,41
140,2,7:01.0,,J. Johnson makes free throw 2 of 2,32,42
141,2,6:37.0,D. Valentine misses 2-pt jump shot from 14 ft,,32,42
142,2,6:33.0,,Defensive rebound by E. Gordon,32,42
143,2,6:24.0,,N. Hilário misses 2-pt hook shot from 6 ft,32,42
144,2,6:23.0,Defensive rebound by Team,,32,42
145,2,6:23.0,,Houston full timeout,32,42
146,2,6:23.0,,T. Ariza enters the game for G. Green,32,42
147,2,6:23.0,D. Nwaba enters the game for D. Valentine,,32,42
148,2,6:16.0,C. Payne misses 3-pt jump shot from 24 ft,,32,42
149,2,6:13.0,,Defensive rebound by T. Ariza,32,42
150,2,5:57.0,,E. Gordon misses 3-pt jump shot from 28 ft,32,42
151,2,5:53.0,,Offensive rebound by P. Tucker,32,42
152,2,5:49.0,J. Holiday enters the game for S. Kilpatrick,,32,42
153,2,5:44.0,,E. Gordon misses 2-pt layup from 1 ft,32,42
154,2,5:43.0,,Offensive rebound by N. Hilário,32,42
155,2,5:30.0,,N. Hilário makes 2-pt layup from 2 ft (assist by P. Tucker),32,44
156,2,5:05.0,L. Markkanen misses 2-pt jump shot from 17 ft (block by T. Ariza),,32,44
157,2,5:02.0,,Defensive rebound by P. Tucker,32,44
158,2,4:53.0,,E. Gordon makes 2-pt layup from 1 ft (assist by T. Ariza),32,46
159,2,4:42.0,N. Vonleh misses 2-pt layup at rim,,32,46
160,2,4:42.0,,Defensive rebound by P. Tucker,32,46
161,2,4:34.0,,Personal foul by L. Markkanen (drawn by N. Hilário),32,46
162,2,4:34.0,,N. Hilário makes free throw 1 of 2,32,47
163,2,4:34.0,,C. Paul enters the game for J. Johnson,32,47
164,2,4:34.0,C. Felício enters the game for N. Vonleh,,32,47
165,2,4:34.0,,N. Hilário makes free throw 2 of 2,32,48
166,2,4:11.0,L. Markkanen misses 3-pt jump shot from 24 ft,,32,48
167,2,4:07.0,,Defensive rebound by T. Ariza,32,48
168,2,3:59.0,,E. Gordon makes 3-pt jump shot from 27 ft,32,51
169,2,3:58.0,Chicago full timeout,,32,51
170,2,3:58.0,,R. Anderson enters the game for P. Tucker,32,51
171,2,3:58.0,B. Portis enters the game for L. Markkanen,,32,51
172,2,3:41.0,Turnover by D. Nwaba (lost ball; steal by N. Hilário),,32,51
173,2,3:31.0,,R. Anderson misses 2-pt layup from 5 ft,32,51
174,2,3:25.0,Defensive rebound by C. Felício,,32,51
175,2,3:24.0,Turnover by C. Payne (bad pass; steal by C. Paul),,32,51
176,2,3:21.0,,R. Anderson misses 3-pt jump shot from 24 ft,32,51
177,2,3:18.0,Defensive rebound by C. Payne,,32,51
178,2,3:12.0,J. Holiday makes 3-pt jump shot from 25 ft,,35,51
179,2,2:54.0,,C. Paul misses 3-pt jump shot from 25 ft,35,51
180,2,2:50.0,,Offensive rebound by N. Hilário,35,51
181,2,2:45.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by N. Hilário),35,54
182,2,2:29.0,Turnover by D. Nwaba (traveling),,35,54
183,2,2:29.0,D. Valentine enters the game for D. Nwaba,,35,54
184,2,2:18.0,,Turnover by C. Paul (bad pass),35,54
185,2,2:08.0,J. Holiday misses 3-pt jump shot from 24 ft,,35,54
186,2,2:05.0,,Defensive rebound by C. Paul,35,54
187,2,1:57.0,,R. Anderson misses 3-pt jump shot from 26 ft,35,54
188,2,1:53.0,Defensive rebound by D. Valentine,,35,54
189,2,1:47.0,J. Holiday misses 3-pt jump shot from 25 ft,,35,54
190,2,1:45.0,Offensive rebound by C. Payne,,35,54
191,2,1:39.0,B. Portis misses 2-pt jump shot from 12 ft,,35,54
192,2,1:36.0,,Defensive rebound by N. Hilário,35,54
193,2,1:25.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),35,57
194,2,1:13.0,J. Holiday makes 2-pt jump shot from 8 ft (assist by C. Payne),,37,57
195,2,1:13.0,Shooting foul by E. Gordon (drawn by J. Holiday),,37,57
196,2,1:13.0,J. Holiday misses free throw 1 of 1,,37,57
197,2,1:13.0,,Defensive rebound by T. Ariza,37,57
198,2,1:03.0,,T. Ariza misses 3-pt jump shot from 24 ft,37,57
199,2,0:59.0,Defensive rebound by C. Felício,,37,57
200,2,0:46.0,D. Valentine makes 2-pt layup from 2 ft (assist by C. Payne),,39,57
201,2,0:35.0,,T. Ariza misses 3-pt jump shot from 25 ft,39,57
202,2,0:32.0,,Offensive rebound by R. Anderson,39,57
203,2,0:30.0,,E. Gordon misses 3-pt jump shot from 24 ft,39,57
204,2,0:27.0,Defensive rebound by C. Payne,,39,57
205,2,0:08.0,J. Holiday misses 3-pt jump shot from 24 ft,,39,57
206,2,0:05.0,,Defensive rebound by C. Paul,39,57
207,2,0:01.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),39,60
208,3,11:46.0,L. Markkanen misses 3-pt jump shot from 25 ft,,39,60
209,3,11:41.0,,Defensive rebound by N. Hilário,39,60
210,3,11:30.0,,N. Hilário makes 2-pt dunk at rim (assist by C. Paul),39,62
211,3,11:08.0,J. Holiday misses 3-pt jump shot from 25 ft,,39,62
212,3,11:06.0,,Defensive rebound by P. Tucker,39,62
213,3,10:57.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by C. Paul),39,65
214,3,10:44.0,Turnover by L. Markkanen (bad pass; steal by T. Ariza),,39,65
215,3,10:39.0,,E. Gordon misses 3-pt jump shot from 25 ft,39,65
216,3,10:36.0,Defensive rebound by L. Markkanen,,39,65
217,3,10:19.0,B. Portis makes 2-pt hook shot from 12 ft,,41,65
218,3,9:56.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by N. Hilário),41,68
219,3,9:36.0,J. Holiday misses 2-pt jump shot from 12 ft,,41,68
220,3,9:33.0,,Defensive rebound by N. Hilário,41,68
221,3,9:25.0,,Turnover by C. Paul (bad pass; steal by B. Portis),41,68
222,3,9:19.0,Turnover by L. Markkanen (bad pass; steal by N. Hilário),,41,68
223,3,9:14.0,,Shooting foul by J. Holiday (drawn by E. Gordon),41,68
224,3,9:14.0,,E. Gordon makes free throw 1 of 2,41,69
225,3,9:14.0,,E. Gordon misses free throw 2 of 2,41,69
226,3,9:14.0,Defensive rebound by L. Markkanen,,41,69
227,3,9:00.0,L. Markkanen misses 3-pt jump shot from 25 ft,,41,69
228,3,8:56.0,,Defensive rebound by T. Ariza,41,69
229,3,8:50.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by C. Paul),41,72
230,3,8:49.0,Chicago full timeout,,41,72
231,3,8:35.0,D. Nwaba misses 2-pt layup at rim (block by P. Tucker),,41,72
232,3,8:30.0,Offensive rebound by D. Nwaba,,41,72
233,3,8:25.0,Turnover by Team (shot clock),,41,72
234,3,7:59.0,,P. Tucker makes 2-pt layup from 1 ft (assist by C. Paul),41,74
235,3,7:49.0,Turnover by D. Nwaba (step out of bounds),,41,74
236,3,7:42.0,,T. Ariza misses 3-pt jump shot from 23 ft,41,74
237,3,7:39.0,Defensive rebound by C. Payne,,41,74
238,3,7:37.0,Turnover by C. Payne (lost ball; steal by C. Paul),,41,74
239,3,7:36.0,,Shooting foul by D. Nwaba (drawn by T. Ariza),41,74
