,QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
0,1,11:45.0,H. Whiteside makes 2-pt layup from 2 ft,,2,0
1,1,11:27.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by J. Harden),2,3
2,1,11:10.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Johnson),,4,3
3,1,10:57.0,,J. Harden makes 2-pt hook shot from 8 ft (assist by C. Paul),4,5
4,1,10:34.0,J. Johnson makes 2-pt layup from 1 ft (assist by H. Whiteside),,6,5
5,1,10:18.0,,Turnover by J. Harden (bad pass; steal by H. Whiteside),6,5
6,1,10:17.0,D. Jones makes 2-pt layup from 2 ft (assist by W. Ellington),,8,5
7,1,10:17.0,Shooting foul by J. Harden (drawn by D. Jones),,8,5
8,1,10:17.0,D. Jones misses free throw 1 of 1,,8,5
9,1,10:14.0,,Defensive rebound by T. Ariza,8,5
10,1,10:00.0,,C. Capela misses 2-pt layup from 7 ft,8,5
11,1,9:57.0,,Offensive rebound by C. Capela,8,5
12,1,9:56.0,,C. Capela misses 2-pt layup from 2 ft (block by D. Jones),8,5
13,1,9:56.0,Defensive rebound by W. Ellington,,8,5
14,1,9:39.0,H. Whiteside makes 2-pt jump shot from 19 ft (assist by J. Richardson),,10,5
15,1,9:17.0,,Turnover by J. Harden (bad pass; steal by H. Whiteside),10,5
16,1,8:59.0,H. Whiteside makes 2-pt layup from 2 ft (assist by W. Ellington),,12,5
17,1,8:37.0,,C. Capela makes 2-pt hook shot from 3 ft (assist by R. Anderson),12,7
18,1,8:21.0,W. Ellington misses 3-pt jump shot from 24 ft,,12,7
19,1,8:19.0,,Defensive rebound by Team,12,7
20,1,8:19.0,Loose ball foul by J. Richardson (drawn by C. Capela),,12,7
21,1,8:03.0,,Turnover by C. Paul (bad pass; steal by H. Whiteside),12,7
22,1,7:59.0,Turnover by J. Johnson (bad pass; steal by T. Ariza),,12,7
23,1,7:55.0,,Turnover by T. Ariza (out of bounds lost ball),12,7
24,1,7:42.0,H. Whiteside makes 2-pt jump shot from 3 ft,,14,7
25,1,7:33.0,,Shooting foul by D. Jones (drawn by J. Harden),14,7
26,1,7:33.0,,J. Harden makes free throw 1 of 3,14,8
27,1,7:33.0,,J. Harden misses free throw 2 of 3,14,8
28,1,7:33.0,,Offensive rebound by Team,14,8
29,1,7:33.0,,J. Harden makes free throw 3 of 3,14,9
30,1,7:16.0,D. Jones makes 2-pt dunk from 1 ft (assist by H. Whiteside),,16,9
31,1,7:04.0,,T. Ariza makes 3-pt jump shot from 27 ft (assist by C. Capela),16,12
32,1,6:49.0,H. Whiteside makes 2-pt hook shot from 9 ft,,18,12
33,1,6:40.0,,C. Capela misses 2-pt layup from 2 ft,18,12
34,1,6:38.0,Defensive rebound by D. Jones,,18,12
35,1,6:31.0,Personal foul by C. Paul (drawn by H. Whiteside),,18,12
36,1,6:31.0,,Houston full timeout,18,12
37,1,6:31.0,,N. Hilário enters the game for R. Anderson,18,12
38,1,6:31.0,,E. Gordon enters the game for C. Capela,18,12
39,1,6:31.0,,P. Tucker enters the game for C. Paul,18,12
40,1,6:27.0,W. Ellington makes 3-pt jump shot from 25 ft,,21,12
41,1,6:03.0,,J. Harden misses 2-pt jump shot from 13 ft,21,12
42,1,6:00.0,Defensive rebound by H. Whiteside,,21,12
43,1,5:49.0,D. Jones misses 3-pt jump shot from 25 ft,,21,12
44,1,5:47.0,,Defensive rebound by T. Ariza,21,12
45,1,5:41.0,,E. Gordon misses 3-pt jump shot from 26 ft,21,12
46,1,5:37.0,Defensive rebound by H. Whiteside,,21,12
47,1,5:25.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by J. Johnson),,24,12
