,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHARLOTTE_ACTION,BOSTON_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,A. Baynes misses 2-pt jump shot from 11 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Howard,0,0
2,1,11:30.0,,Turnover by D. Howard (step out of bounds),0,0
3,1,11:12.0,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),,3,0
4,1,10:54.0,,K. Walker misses 3-pt jump shot from 25 ft,3,0
5,1,10:49.0,Defensive rebound by A. Baynes,,3,0
6,1,10:42.0,A. Baynes makes 2-pt jump shot from 11 ft (assist by K. Irving),,5,0
7,1,10:18.0,,D. Howard misses 2-pt jump shot from 17 ft,5,0
8,1,10:15.0,Defensive rebound by A. Horford,,5,0
9,1,9:59.0,M. Smart misses 2-pt jump shot from 2 ft,,5,0
10,1,9:57.0,,Defensive rebound by N. Batum,5,0
11,1,9:55.0,,Shooting foul by J. Tatum (drawn by M. Kidd-Gilchrist),5,0
12,1,9:55.0,,M. Kidd-Gilchrist makes free throw 1 of 2,5,1
13,1,9:55.0,,M. Kidd-Gilchrist misses free throw 2 of 2,5,1
14,1,9:52.0,Defensive rebound by A. Horford,,5,1
15,1,9:43.0,K. Irving misses 2-pt jump shot from 11 ft,,5,1
16,1,9:41.0,Offensive rebound by Team,,5,1
17,1,9:34.0,M. Smart misses 3-pt jump shot from 25 ft,,5,1
18,1,9:32.0,Offensive rebound by K. Irving,,5,1
19,1,9:25.0,Turnover by A. Baynes (offensive goaltending),,5,1
20,1,9:06.0,,M. Kidd-Gilchrist misses 2-pt layup from 3 ft (block by J. Tatum),5,1
21,1,9:06.0,Defensive rebound by Team,,5,1
22,1,8:55.0,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),,8,1
23,1,8:54.0,,Charlotte full timeout,8,1
24,1,8:42.0,,K. Walker makes 2-pt jump shot from 19 ft (assist by D. Howard),8,3
25,1,8:27.0,J. Tatum misses 2-pt jump shot from 20 ft,,8,3
26,1,8:23.0,,Defensive rebound by N. Batum,8,3
27,1,8:12.0,,D. Howard misses 2-pt hook shot from 7 ft,8,3
28,1,8:09.0,,Offensive rebound by M. Kidd-Gilchrist,8,3
29,1,8:02.0,,N. Batum misses 2-pt jump shot from 15 ft,8,3
30,1,7:58.0,Defensive rebound by M. Smart,,8,3
31,1,7:51.0,M. Smart misses 2-pt jump shot from 16 ft,,8,3
32,1,7:49.0,,Defensive rebound by D. Howard,8,3
33,1,7:44.0,,K. Walker makes 3-pt jump shot from 25 ft,8,6
34,1,7:21.0,K. Irving makes 2-pt jump shot from 6 ft,,10,6
35,1,7:08.0,,M. Williams misses 3-pt jump shot from 26 ft,10,6
36,1,7:04.0,Defensive rebound by A. Baynes,,10,6
37,1,7:01.0,K. Irving makes 3-pt jump shot from 27 ft,,13,6
38,1,6:46.0,,Offensive foul by N. Batum (drawn by M. Smart),13,6
39,1,6:46.0,,Turnover by N. Batum (offensive foul),13,6
40,1,6:36.0,K. Irving makes 2-pt jump shot from 15 ft,,15,6
41,1,6:19.0,,N. Batum misses 2-pt jump shot from 17 ft,15,6
42,1,6:16.0,Defensive rebound by A. Horford,,15,6
43,1,6:05.0,K. Irving misses 3-pt jump shot from 30 ft,,15,6
44,1,6:00.0,Offensive rebound by A. Baynes,,15,6
45,1,5:59.0,A. Baynes misses 2-pt layup from 3 ft,,15,6
46,1,5:55.0,,Defensive rebound by D. Howard,15,6
47,1,5:52.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 13 ft,15,6
48,1,5:52.0,Defensive rebound by A. Baynes,,15,6
49,1,5:46.0,Shooting foul by D. Howard (drawn by J. Tatum),,15,6
50,1,5:46.0,J. Tatum makes free throw 1 of 2,,16,6
51,1,5:46.0,G. Yabusele enters the game for A. Horford,,16,6
52,1,5:46.0,T. Rozier enters the game for M. Smart,,16,6
53,1,5:46.0,J. Tatum makes free throw 2 of 2,,17,6
54,1,5:31.0,,Turnover by K. Walker (lost ball; steal by T. Rozier),17,6
55,1,5:25.0,T. Rozier makes 2-pt layup at rim,,19,6
56,1,5:17.0,,D. Howard misses 2-pt layup from 3 ft,19,6
57,1,5:17.0,,Offensive rebound by M. Williams,19,6
58,1,5:12.0,,M. Williams makes 2-pt layup at rim,19,8
59,1,5:02.0,Offensive foul by G. Yabusele (drawn by M. Kidd-Gilchrist),,19,8
60,1,5:02.0,Turnover by G. Yabusele (offensive foul),,19,8
61,1,5:02.0,,F. Kaminsky enters the game for M. Williams,19,8
62,1,4:52.0,,N. Batum makes 2-pt jump shot from 19 ft (assist by D. Howard),19,10
63,1,4:34.0,G. Yabusele makes 3-pt jump shot from 26 ft (assist by K. Irving),,22,10
64,1,4:21.0,,K. Walker misses 2-pt layup from 1 ft,22,10
65,1,4:19.0,Defensive rebound by A. Baynes,,22,10
66,1,4:14.0,K. Irving misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),,22,10
67,1,4:10.0,,Defensive rebound by D. Howard,22,10
68,1,4:10.0,,Turnover by K. Walker (turnover),22,10
69,1,3:48.0,Turnover by T. Rozier (lost ball; steal by D. Howard),,22,10
70,1,3:29.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,22,10
71,1,3:27.0,,Offensive rebound by D. Howard,22,10
72,1,3:25.0,,F. Kaminsky misses 3-pt jump shot from 23 ft,22,10
73,1,3:24.0,,Offensive rebound by Team,22,10
74,1,3:24.0,,Turnover by Team (shot clock),22,10
75,1,3:24.0,,T. Graham enters the game for M. Kidd-Gilchrist,22,10
76,1,3:24.0,,M. Carter-Williams enters the game for K. Walker,22,10
77,1,3:13.0,K. Irving misses 2-pt jump shot from 15 ft,,22,10
78,1,3:10.0,,Defensive rebound by D. Howard,22,10
79,1,3:01.0,,Turnover by D. Howard (step out of bounds),22,10
80,1,3:01.0,Boston full timeout,,22,10
81,1,3:01.0,,J. Lamb enters the game for N. Batum,22,10
82,1,3:01.0,,J. O'Bryant enters the game for D. Howard,22,10
83,1,2:42.0,T. Rozier misses 3-pt jump shot from 24 ft,,22,10
84,1,2:39.0,,Defensive rebound by T. Graham,22,10
85,1,2:31.0,,M. Carter-Williams misses 2-pt layup at rim,22,10
86,1,2:28.0,Defensive rebound by G. Yabusele,,22,10
87,1,2:21.0,J. Tatum makes 2-pt layup at rim,,24,10
88,1,2:04.0,,Shooting foul by G. Yabusele (drawn by F. Kaminsky),24,10
89,1,2:04.0,,F. Kaminsky makes free throw 1 of 2,24,11
90,1,2:04.0,D. Theis enters the game for A. Baynes,,24,11
91,1,2:04.0,,F. Kaminsky makes free throw 2 of 2,24,12
92,1,1:45.0,J. Tatum makes 2-pt layup from 2 ft (assist by G. Yabusele),,26,12
93,1,1:30.0,,J. O'Bryant makes 2-pt jump shot from 21 ft (assist by M. Carter-Williams),26,14
94,1,1:07.0,Turnover by D. Theis (turnover),,26,14
95,1,1:07.0,S. Larkin enters the game for K. Irving,,26,14
96,1,0:50.0,,T. Graham misses 2-pt jump shot from 16 ft,26,14
97,1,0:45.0,,Offensive rebound by M. Carter-Williams,26,14
98,1,0:45.0,,M. Carter-Williams misses 2-pt layup at rim,26,14
99,1,0:45.0,,Offensive rebound by M. Carter-Williams,26,14
100,1,0:44.0,,M. Carter-Williams misses 2-pt layup at rim,26,14
101,1,0:36.0,Defensive rebound by G. Yabusele,,26,14
102,1,0:26.0,J. Tatum makes 2-pt jump shot from 11 ft,,28,14
103,1,0:03.0,,J. O'Bryant misses 2-pt jump shot from 8 ft,28,14
104,1,0:03.0,,Offensive rebound by F. Kaminsky,28,14
105,1,0:00.0,,F. Kaminsky makes 2-pt layup at rim,28,16
106,2,11:43.0,,J. Lamb makes 2-pt layup from 1 ft (assist by M. Carter-Williams),28,18
107,2,11:33.0,Personal foul by T. Graham (drawn by M. Smart),,28,18
108,2,11:24.0,Turnover by D. Theis (bad pass; steal by T. Graham),,28,18
109,2,11:16.0,,M. Carter-Williams misses 2-pt jump shot from 4 ft,28,18
110,2,11:12.0,,Offensive rebound by J. O'Bryant,28,18
111,2,11:08.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,28,18
112,2,11:08.0,Defensive rebound by T. Rozier,,28,18
113,2,11:00.0,T. Rozier misses 3-pt jump shot from 25 ft,,28,18
