,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ATLANTA_ACTION,PORTLAND_SCORE,ATLANTA_SCORE
0,1,11:44.0,,T. Prince misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,Defensive rebound by Team,,0,0
2,1,11:29.0,Turnover by A. Aminu (bad pass; steal by M. Plumlee),,0,0
3,1,11:25.0,,D. Schröder misses 2-pt layup at rim (block by S. Napier),0,0
4,1,11:25.0,Defensive rebound by Team,,0,0
5,1,11:09.0,A. Aminu makes 2-pt layup from 1 ft (assist by S. Napier),,2,0
6,1,10:52.0,,E. İlyasova makes 3-pt jump shot from 22 ft (assist by T. Prince),2,3
7,1,10:37.0,E. Turner makes 2-pt jump shot from 13 ft (assist by J. Nurkić),,4,3
8,1,10:16.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by T. Prince),4,5
9,1,10:00.0,Turnover by J. Nurkić (out of bounds lost ball),,4,5
10,1,9:49.0,,D. Schröder makes 2-pt jump shot from 18 ft,4,7
11,1,9:37.0,S. Napier misses 2-pt jump shot from 3 ft,,4,7
12,1,9:33.0,,Defensive rebound by M. Plumlee,4,7
13,1,9:31.0,,D. Schröder misses 3-pt jump shot from 25 ft,4,7
14,1,9:26.0,Defensive rebound by E. Turner,,4,7
15,1,9:19.0,J. Nurkić misses 2-pt jump shot from 18 ft,,4,7
16,1,9:19.0,,Defensive rebound by M. Plumlee,4,7
17,1,9:07.0,,Turnover by K. Bazemore (lost ball; steal by C. McCollum),4,7
18,1,8:55.0,C. McCollum misses 2-pt layup from 1 ft,,4,7
19,1,8:51.0,Offensive rebound by J. Nurkić,,4,7
20,1,8:49.0,J. Nurkić misses 2-pt layup from 1 ft,,4,7
21,1,8:49.0,,Defensive rebound by E. İlyasova,4,7
22,1,8:48.0,,Turnover by T. Prince (bad pass),4,7
23,1,8:32.0,E. Turner misses 2-pt jump shot from 16 ft,,4,7
24,1,8:30.0,Offensive rebound by A. Aminu,,4,7
25,1,8:30.0,Shooting foul by E. İlyasova (drawn by A. Aminu),,4,7
26,1,8:30.0,A. Aminu makes free throw 1 of 2,,5,7
27,1,8:30.0,A. Aminu misses free throw 2 of 2,,5,7
28,1,8:27.0,,Defensive rebound by E. İlyasova,5,7
29,1,8:18.0,,Turnover by M. Plumlee (bad pass; steal by S. Napier),5,7
30,1,8:04.0,J. Nurkić misses 2-pt jump shot from 20 ft,,5,7
31,1,8:00.0,,Defensive rebound by T. Prince,5,7
32,1,7:55.0,,D. Schröder misses 2-pt layup from 3 ft (block by S. Napier),5,7
33,1,7:55.0,,Offensive rebound by Team,5,7
34,1,7:49.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by D. Schröder),5,10
35,1,7:31.0,C. McCollum misses 2-pt jump shot from 12 ft,,5,10
36,1,7:28.0,,Defensive rebound by K. Bazemore,5,10
37,1,7:20.0,,K. Bazemore misses 2-pt jump shot from 16 ft,5,10
38,1,7:14.0,,Offensive rebound by E. İlyasova,5,10
39,1,7:14.0,,E. İlyasova makes 2-pt layup at rim,5,12
40,1,7:03.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by E. Turner),,8,12
41,1,6:41.0,,E. İlyasova makes 2-pt jump shot from 12 ft (assist by T. Prince),8,14
42,1,6:31.0,C. McCollum makes 2-pt jump shot from 19 ft,,10,14
43,1,6:18.0,,Shooting foul by J. Nurkić (drawn by M. Plumlee),10,14
44,1,6:18.0,,Atlanta full timeout,10,14
45,1,6:18.0,,M. Plumlee misses free throw 1 of 2,10,14
46,1,6:18.0,,Offensive rebound by Team,10,14
47,1,6:18.0,,M. Plumlee misses free throw 2 of 2,10,14
48,1,6:16.0,Defensive rebound by A. Aminu,,10,14
49,1,6:06.0,C. McCollum misses 3-pt jump shot from 25 ft,,10,14
50,1,6:00.0,Offensive rebound by J. Nurkić,,10,14
51,1,6:00.0,J. Nurkić makes 2-pt layup at rim,,12,14
52,1,5:46.0,,E. İlyasova misses 3-pt jump shot from 25 ft,12,14
53,1,5:43.0,Defensive rebound by J. Nurkić,,12,14
54,1,5:33.0,Turnover by A. Aminu (bad pass; steal by D. Schröder),,12,14
55,1,5:29.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by D. Schröder),12,17
56,1,5:15.0,J. Nurkić misses 2-pt jump shot from 20 ft,,12,17
57,1,5:14.0,,Defensive rebound by Team,12,17
58,1,5:14.0,Loose ball foul by A. Aminu (drawn by E. İlyasova),,12,17
59,1,5:14.0,,J. Collins enters the game for M. Plumlee,12,17
60,1,5:14.0,P. Connaughton enters the game for S. Napier,,12,17
61,1,5:01.0,,J. Collins misses 2-pt layup at rim (block by J. Nurkić),12,17
62,1,4:57.0,Defensive rebound by E. Turner,,12,17
63,1,4:52.0,A. Aminu misses 3-pt jump shot from 25 ft,,12,17
64,1,4:49.0,Offensive rebound by J. Nurkić,,12,17
65,1,4:49.0,J. Nurkić makes 2-pt layup from 1 ft,,14,17
66,1,4:49.0,Shooting foul by J. Collins (drawn by J. Nurkić),,14,17
67,1,4:49.0,,M. Belinelli enters the game for K. Bazemore,14,17
68,1,4:49.0,J. Nurkić makes free throw 1 of 1,,15,17
69,1,4:39.0,,D. Schröder misses 2-pt jump shot from 11 ft,15,17
70,1,4:31.0,Defensive rebound by A. Aminu,,15,17
71,1,4:29.0,A. Aminu makes 2-pt layup from 2 ft,,17,17
72,1,4:14.0,,Turnover by T. Prince (lost ball; steal by P. Connaughton),17,17
73,1,4:06.0,C. McCollum makes 2-pt layup from 2 ft,,19,17
74,1,3:51.0,,D. Schröder misses 3-pt jump shot from 25 ft,19,17
75,1,3:51.0,Defensive rebound by E. Turner,,19,17
76,1,3:33.0,J. Nurkić misses 2-pt jump shot from 11 ft,,19,17
77,1,3:31.0,,Defensive rebound by T. Prince,19,17
78,1,3:23.0,,Shooting foul by P. Connaughton (drawn by E. İlyasova),19,17
79,1,3:23.0,,E. İlyasova misses free throw 1 of 2,19,17
80,1,3:23.0,,Offensive rebound by Team,19,17
81,1,3:23.0,,M. Delaney enters the game for T. Prince,19,17
82,1,3:23.0,,I. Taylor enters the game for D. Schröder,19,17
83,1,3:23.0,Z. Collins enters the game for A. Aminu,,19,17
84,1,3:23.0,E. Davis enters the game for J. Nurkić,,19,17
85,1,3:23.0,,E. İlyasova makes free throw 2 of 2,19,18
86,1,3:04.0,,Offensive charge foul by E. Davis (drawn by J. Collins),19,18
87,1,3:04.0,Turnover by E. Davis (offensive foul),,19,18
88,1,3:04.0,,T. Cavanaugh enters the game for E. İlyasova,19,18
89,1,2:55.0,,Turnover by J. Collins (traveling),19,18
90,1,2:55.0,Portland full timeout,,19,18
91,1,2:55.0,M. Harkless enters the game for E. Turner,,19,18
92,1,2:32.0,Personal foul by M. Belinelli (drawn by Z. Collins),,19,18
93,1,2:32.0,S. Napier enters the game for C. McCollum,,19,18
94,1,2:25.0,S. Napier makes 2-pt jump shot from 19 ft (assist by P. Connaughton),,21,18
95,1,2:05.0,,T. Cavanaugh misses 3-pt jump shot from 22 ft,21,18
96,1,2:02.0,,Offensive rebound by J. Collins,21,18
97,1,1:57.0,,Turnover by I. Taylor (bad pass; steal by M. Harkless),21,18
98,1,1:50.0,Z. Collins misses 3-pt jump shot from 25 ft,,21,18
99,1,1:45.0,,Defensive rebound by M. Belinelli,21,18
100,1,1:42.0,,M. Delaney misses 3-pt jump shot from 25 ft,21,18
101,1,1:42.0,,Offensive rebound by J. Collins,21,18
102,1,1:26.0,,M. Belinelli makes 2-pt jump shot from 15 ft,21,20
103,1,1:00.0,E. Davis makes 2-pt layup from 4 ft,,23,20
104,1,0:45.0,,I. Taylor makes 2-pt jump shot from 22 ft (assist by M. Delaney),23,22
105,1,0:33.0,Personal foul by I. Taylor (drawn by S. Napier),,23,22
106,1,0:29.0,S. Napier misses 2-pt jump shot from 20 ft,,23,22
107,1,0:26.0,,Defensive rebound by J. Collins,23,22
108,1,0:09.0,,Personal foul by P. Connaughton (drawn by T. Cavanaugh),23,22
109,1,0:06.0,,M. Belinelli misses 3-pt jump shot from 25 ft,23,22
110,1,0:00.0,,Offensive rebound by T. Cavanaugh,23,22
111,1,0:00.0,,T. Cavanaugh makes 2-pt jump shot from 21 ft,23,24
112,2,11:42.0,S. Napier makes 3-pt jump shot from 25 ft,,26,24
