,QUARTER,TIME_REMAINING,DETROIT_ACTION,ORLANDO_ACTION,DETROIT_SCORE,ORLANDO_SCORE
0,1,11:46.0,Turnover by R. Bullock (bad pass),,0,0
1,1,11:35.0,,N. Vučević makes 2-pt jump shot from 21 ft (assist by E. Fournier),0,2
2,1,11:17.0,Turnover by B. Griffin (bad pass),,0,2
3,1,11:04.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by D. Augustin),0,5
4,1,10:45.0,Turnover by B. Griffin (bad pass; steal by A. Gordon),,0,5
5,1,10:30.0,,A. Gordon makes 2-pt jump shot from 12 ft,0,7
6,1,10:20.0,,Offensive charge foul by I. Smith (drawn by D. Augustin),0,7
7,1,10:20.0,Turnover by I. Smith (offensive foul),,0,7
8,1,10:01.0,,J. Simmons makes 2-pt layup from 1 ft,0,9
9,1,9:54.0,Detroit full timeout,,0,9
10,1,9:45.0,B. Griffin misses 2-pt jump shot from 16 ft (block by A. Gordon),,0,9
11,1,9:41.0,,Defensive rebound by J. Simmons,0,9
12,1,9:39.0,,J. Simmons misses 2-pt jump shot from 2 ft,0,9
13,1,9:36.0,Defensive rebound by B. Griffin,,0,9
14,1,9:31.0,Personal foul by E. Fournier (drawn by R. Bullock),,0,9
15,1,9:24.0,R. Bullock misses 3-pt jump shot from 25 ft,,0,9
16,1,9:20.0,,Defensive rebound by A. Gordon,0,9
17,1,9:19.0,Offensive charge foul by A. Gordon (drawn by B. Griffin),,0,9
18,1,9:19.0,,Turnover by A. Gordon (offensive foul),0,9
19,1,9:07.0,I. Smith makes 2-pt jump shot from 19 ft,,2,9
20,1,8:44.0,,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),2,11
21,1,8:33.0,R. Bullock misses 3-pt jump shot from 25 ft,,2,11
22,1,8:30.0,,Defensive rebound by A. Gordon,2,11
23,1,8:27.0,,A. Gordon misses 3-pt jump shot from 26 ft,2,11
24,1,8:23.0,Defensive rebound by A. Drummond,,2,11
25,1,8:15.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by R. Bullock),,5,11
26,1,8:00.0,,E. Fournier makes 2-pt jump shot from 11 ft (assist by D. Augustin),5,13
27,1,7:41.0,J. Ennis makes 3-pt jump shot from 24 ft (assist by B. Griffin),,8,13
28,1,7:29.0,,N. Vučević misses 3-pt jump shot from 26 ft,8,13
29,1,7:27.0,Defensive rebound by A. Drummond,,8,13
30,1,7:25.0,Turnover by A. Drummond (lost ball; steal by A. Gordon),,8,13
31,1,7:18.0,,A. Gordon misses 3-pt jump shot from 23 ft,8,13
32,1,7:15.0,Defensive rebound by B. Griffin,,8,13
33,1,7:15.0,I. Smith makes 2-pt jump shot from 17 ft,,10,13
34,1,7:15.0,,Orlando full timeout,10,13
35,1,6:51.0,,D. Augustin misses 2-pt layup from 1 ft,10,13
36,1,6:51.0,Defensive rebound by A. Drummond,,10,13
37,1,6:39.0,R. Bullock makes 2-pt layup at rim (assist by B. Griffin),,12,13
38,1,6:19.0,,Shooting foul by B. Griffin (drawn by A. Gordon),12,13
39,1,6:19.0,,A. Gordon makes free throw 1 of 3,12,14
40,1,6:19.0,,A. Gordon misses free throw 2 of 3,12,14
41,1,6:19.0,,Offensive rebound by Team,12,14
42,1,6:19.0,,A. Gordon makes free throw 3 of 3,12,15
43,1,6:10.0,Personal foul by E. Fournier (drawn by J. Ennis),,12,15
44,1,6:10.0,,M. Hezonja enters the game for E. Fournier,12,15
45,1,6:02.0,B. Griffin misses 2-pt jump shot from 15 ft,,12,15
46,1,5:58.0,,Defensive rebound by D. Augustin,12,15
47,1,5:49.0,,D. Augustin makes 2-pt jump shot from 21 ft (assist by J. Simmons),12,17
48,1,5:25.0,B. Griffin makes 2-pt jump shot from 7 ft,,14,17
49,1,5:07.0,,N. Vučević misses 2-pt jump shot from 16 ft,14,17
50,1,5:04.0,Defensive rebound by J. Ennis,,14,17
51,1,4:58.0,I. Smith misses 2-pt jump shot from 6 ft,,14,17
52,1,4:56.0,,Defensive rebound by N. Vučević,14,17
53,1,4:50.0,,A. Gordon makes 2-pt layup from 2 ft (assist by D. Augustin),14,19
54,1,4:50.0,,Shooting foul by J. Ennis (drawn by A. Gordon),14,19
55,1,4:50.0,,A. Gordon makes free throw 1 of 1,14,20
56,1,4:33.0,B. Griffin makes 2-pt hook shot from 7 ft,,16,20
57,1,4:20.0,,A. Gordon makes 3-pt jump shot from 27 ft (assist by N. Vučević),16,23
58,1,4:05.0,J. Ennis makes 2-pt layup from 1 ft (assist by B. Griffin),,18,23
59,1,3:50.0,,A. Gordon misses 2-pt jump shot from 16 ft,18,23
60,1,3:48.0,Defensive rebound by A. Drummond,,18,23
61,1,3:41.0,I. Smith misses 3-pt jump shot from 25 ft,,18,23
62,1,3:38.0,,Defensive rebound by D. Augustin,18,23
63,1,3:30.0,,N. Vučević makes 2-pt layup from 1 ft (assist by D. Augustin),18,25
64,1,3:09.0,Personal foul by A. Gordon (drawn by B. Griffin),,18,25
65,1,3:09.0,S. Johnson enters the game for I. Smith,,18,25
66,1,3:09.0,D. Buycks enters the game for B. Griffin,,18,25
67,1,3:09.0,A. Tolliver enters the game for J. Ennis,,18,25
68,1,3:09.0,Technical foul by B. Griffin,,18,25
69,1,3:09.0,,D. Augustin makes technical free throw,18,26
70,1,3:09.0,,J. Isaac enters the game for A. Gordon,18,26
71,1,2:56.0,R. Bullock misses 2-pt jump shot from 15 ft,,18,26
72,1,2:56.0,Offensive rebound by R. Bullock,,18,26
73,1,2:56.0,Shooting foul by J. Isaac (drawn by R. Bullock),,18,26
74,1,2:56.0,R. Bullock misses free throw 1 of 2,,18,26
