,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MINNESOTA_ACTION,BROOKLYN_SCORE,MINNESOTA_SCORE
0,1,11:45.0,,Turnover by A. Wiggins (bad pass),0,0
1,1,11:21.0,A. Crabbe makes 2-pt layup from 1 ft,,2,0
2,1,11:06.0,,J. Butler misses 2-pt jump shot from 5 ft,2,0
3,1,11:03.0,,Offensive rebound by J. Butler,2,0
4,1,11:02.0,,T. Gibson makes 2-pt jump shot from 22 ft (assist by J. Butler),2,2
5,1,10:41.0,S. Dinwiddie makes 2-pt jump shot from 15 ft,,4,2
6,1,10:18.0,,J. Teague misses 2-pt jump shot from 10 ft (block by T. Zeller),4,2
7,1,10:15.0,,Offensive rebound by J. Teague,4,2
8,1,10:14.0,,J. Butler makes 2-pt layup from 1 ft (assist by J. Teague),4,4
9,1,10:14.0,,Shooting foul by T. Zeller (drawn by J. Butler),4,4
10,1,10:14.0,,J. Butler misses free throw 1 of 1,4,4
11,1,10:12.0,Defensive rebound by Q. Acy,,4,4
12,1,10:00.0,D. Carroll misses 2-pt layup from 4 ft (block by A. Wiggins),,4,4
13,1,9:57.0,,Defensive rebound by J. Butler,4,4
14,1,9:42.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Butler),4,6
15,1,9:19.0,Q. Acy makes 3-pt jump shot from 22 ft (assist by D. Carroll),,7,6
16,1,9:10.0,,J. Teague misses 3-pt jump shot from 25 ft,7,6
17,1,9:08.0,,Offensive rebound by Team,7,6
18,1,8:56.0,,A. Wiggins misses 2-pt jump shot from 8 ft,7,6
19,1,8:53.0,Defensive rebound by D. Carroll,,7,6
20,1,8:53.0,Turnover by D. Carroll (lost ball; steal by J. Teague),,7,6
21,1,8:52.0,,Personal foul by D. Carroll (drawn by J. Teague),7,6
22,1,8:39.0,,Shooting foul by T. Zeller (drawn by J. Teague),7,6
23,1,8:39.0,,J. Teague makes free throw 1 of 2,7,7
24,1,8:39.0,,J. Teague makes free throw 2 of 2,7,8
25,1,8:30.0,Shooting foul by A. Wiggins (drawn by T. Zeller),,7,8
26,1,8:30.0,T. Zeller misses free throw 1 of 2,,7,8
27,1,8:30.0,Offensive rebound by Team,,7,8
28,1,8:30.0,T. Zeller makes free throw 2 of 2,,8,8
29,1,8:20.0,,Shooting foul by A. Crabbe (drawn by A. Wiggins),8,8
30,1,8:20.0,,A. Wiggins makes free throw 1 of 2,8,9
31,1,8:20.0,,A. Wiggins makes free throw 2 of 2,8,10
32,1,8:10.0,Turnover by S. Dinwiddie (bad pass),,8,10
33,1,7:58.0,,Shooting foul by T. Zeller (drawn by J. Butler),8,10
34,1,7:58.0,,J. Butler misses free throw 1 of 2,8,10
35,1,7:58.0,,Offensive rebound by Team,8,10
36,1,7:58.0,J. Allen enters the game for T. Zeller,,8,10
37,1,7:58.0,,J. Butler makes free throw 2 of 2,8,11
38,1,7:45.0,A. Crabbe misses 2-pt jump shot from 8 ft,,8,11
39,1,7:43.0,,Defensive rebound by J. Butler,8,11
40,1,7:32.0,,J. Butler misses 2-pt layup from 2 ft,8,11
41,1,7:28.0,Defensive rebound by S. Dinwiddie,,8,11
42,1,7:20.0,Turnover by S. Dinwiddie (bad pass; steal by J. Butler),,8,11
43,1,6:57.0,,K. Towns misses 2-pt layup from 2 ft,8,11
44,1,6:55.0,Defensive rebound by Q. Acy,,8,11
45,1,6:46.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,8,11
46,1,6:44.0,,Defensive rebound by T. Gibson,8,11
47,1,6:33.0,,A. Wiggins misses 3-pt jump shot from 23 ft,8,11
48,1,6:30.0,Defensive rebound by Q. Acy,,8,11
49,1,6:10.0,Turnover by Q. Acy (bad pass; steal by K. Towns),,8,11
50,1,5:56.0,,T. Gibson makes 2-pt jump shot from 18 ft (assist by J. Teague),8,13
