,QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
0,1,11:45.0,K. Bazemore makes 3-pt jump shot from 22 ft (assist by T. Prince),,3,0
1,1,11:25.0,,Turnover by D. DeRozan (lost ball; steal by K. Bazemore),3,0
2,1,11:22.0,J. Collins makes 2-pt dunk from 2 ft (assist by K. Bazemore),,5,0
3,1,11:01.0,,M. Miller misses 3-pt jump shot from 24 ft,5,0
4,1,10:59.0,,Offensive rebound by S. Ibaka,5,0
5,1,10:53.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft,5,2
6,1,10:36.0,J. Collins misses 3-pt jump shot from 23 ft,,5,2
7,1,10:34.0,,Defensive rebound by S. Ibaka,5,2
8,1,10:17.0,,Shooting foul by J. Collins (drawn by M. Miller),5,2
9,1,10:17.0,,M. Miller makes free throw 1 of 2,5,3
10,1,10:17.0,,M. Miller makes free throw 2 of 2,5,4
11,1,9:59.0,Turnover by D. Schröder (step out of bounds),,5,4
12,1,9:44.0,,J. Valančiūnas misses 3-pt jump shot from 24 ft,5,4
13,1,9:42.0,Defensive rebound by T. Prince,,5,4
14,1,9:34.0,Personal foul by D. DeRozan (drawn by D. Schröder),,5,4
15,1,9:27.0,J. Collins makes 2-pt layup from 1 ft (assist by K. Bazemore),,7,4
16,1,9:11.0,,Turnover by J. Valančiūnas (lost ball; steal by T. Prince),7,4
17,1,9:08.0,T. Prince makes 2-pt dunk from 2 ft,,9,4
18,1,8:55.0,,Turnover by D. DeRozan (traveling),9,4
19,1,8:44.0,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Collins),,11,4
20,1,8:44.0,,Toronto full timeout,11,4
21,1,8:24.0,,S. Ibaka misses 3-pt jump shot from 25 ft,11,4
22,1,8:21.0,Defensive rebound by Team,,11,4
23,1,8:12.0,Turnover by D. Schröder (bad pass),,11,4
24,1,8:03.0,,Shooting foul by D. Dedmon (drawn by D. DeRozan),11,4
25,1,8:03.0,,D. DeRozan misses free throw 1 of 2,11,4
