,QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
0,1,11:32.0,R. Rubio misses 3-pt jump shot from 26 ft,,0,0
1,1,11:29.0,,Defensive rebound by W. Cauley-Stein,0,0
2,1,11:13.0,,Z. Randolph misses 2-pt jump shot from 15 ft,0,0
3,1,11:07.0,Defensive rebound by R. Rubio,,0,0
4,1,10:47.0,D. Favors misses 2-pt jump shot from 16 ft,,0,0
5,1,10:43.0,,Defensive rebound by G. Hill,0,0
6,1,10:39.0,,Personal foul by J. Jerebko (drawn by W. Cauley-Stein),0,0
7,1,10:27.0,,D. Fox makes 2-pt jump shot from 14 ft,0,2
8,1,10:13.0,Turnover by R. Rubio (lost ball; steal by Z. Randolph),,0,2
9,1,10:11.0,,Personal foul by J. Ingles (drawn by Z. Randolph),0,2
10,1,9:55.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,0,2
11,1,9:51.0,,Offensive rebound by W. Cauley-Stein,0,2
12,1,9:48.0,,Personal foul by J. Ingles (drawn by G. Hill),0,2
13,1,9:42.0,,Turnover by D. Fox (lost ball; steal by R. Rubio),0,2
14,1,9:38.0,D. Mitchell makes 2-pt layup at rim (assist by R. Rubio),,2,2
15,1,9:19.0,,Turnover by Z. Randolph (lost ball; steal by D. Mitchell),2,2
16,1,9:16.0,Turnover by D. Mitchell (bad pass; steal by G. Hill),,2,2
17,1,8:59.0,,G. Hill makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),2,4
18,1,8:47.0,D. Favors makes 2-pt dunk at rim (assist by R. Rubio),,4,4
19,1,8:35.0,,Z. Randolph makes 3-pt jump shot from 25 ft (assist by D. Fox),4,7
20,1,8:18.0,J. Jerebko misses 3-pt jump shot from 24 ft,,4,7
21,1,8:13.0,Offensive rebound by D. Favors,,4,7
22,1,8:12.0,J. Ingles misses 3-pt jump shot from 24 ft,,4,7
23,1,8:08.0,,Defensive rebound by W. Cauley-Stein,4,7
24,1,8:00.0,,Z. Randolph misses 3-pt jump shot from 26 ft,4,7
25,1,8:00.0,Defensive rebound by J. Ingles,,4,7
26,1,7:48.0,Personal foul by B. Bogdanović (drawn by R. Rubio),,4,7
27,1,7:48.0,J. Johnson enters the game for J. Jerebko,,4,7
28,1,7:33.0,D. Mitchell misses 3-pt jump shot from 24 ft,,4,7
29,1,7:29.0,,Defensive rebound by Z. Randolph,4,7
30,1,7:19.0,,W. Cauley-Stein makes 2-pt jump shot from 11 ft,4,9
31,1,7:09.0,D. Mitchell misses 3-pt jump shot from 25 ft,,4,9
32,1,7:06.0,,Defensive rebound by G. Hill,4,9
33,1,7:00.0,,G. Hill misses 2-pt jump shot from 15 ft,4,9
34,1,6:55.0,Defensive rebound by D. Favors,,4,9
35,1,6:48.0,J. Johnson makes 2-pt jump shot from 6 ft (assist by R. Rubio),,6,9
36,1,6:25.0,,Z. Randolph misses 2-pt jump shot from 6 ft,6,9
37,1,6:22.0,Defensive rebound by D. Favors,,6,9
38,1,6:10.0,J. Ingles misses 3-pt jump shot from 25 ft,,6,9
39,1,6:08.0,,Defensive rebound by Z. Randolph,6,9
40,1,6:04.0,,Shooting foul by R. Rubio (drawn by D. Fox),6,9
41,1,6:04.0,,Sacramento full timeout,6,9
42,1,6:04.0,R. Hood enters the game for J. Ingles,,6,9
