,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
0,1,11:45.0,R. Hollis-Jefferson makes 2-pt layup from 3 ft,,2,0
1,1,11:20.0,,M. Hezonja misses 3-pt jump shot from 26 ft,2,0
2,1,11:16.0,Defensive rebound by A. Crabbe,,2,0
3,1,11:14.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by D. Russell),,5,0
4,1,10:51.0,,N. Vučević misses 2-pt jump shot from 20 ft,5,0
5,1,10:48.0,Defensive rebound by D. Russell,,5,0
6,1,10:46.0,Shooting foul by R. Purvis (drawn by R. Hollis-Jefferson),,5,0
7,1,10:46.0,R. Hollis-Jefferson makes free throw 1 of 2,,6,0
8,1,10:46.0,R. Hollis-Jefferson misses free throw 2 of 2,,6,0
9,1,10:46.0,,Defensive rebound by N. Vučević,6,0
10,1,10:34.0,,D. Augustin misses 2-pt layup from 7 ft,6,0
11,1,10:30.0,Defensive rebound by D. Carroll,,6,0
12,1,10:23.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,8,0
13,1,10:23.0,,Orlando full timeout,8,0
14,1,10:07.0,,A. Gordon makes 3-pt jump shot from 25 ft,8,3
15,1,9:49.0,Shooting foul by A. Gordon (drawn by D. Russell),,8,3
16,1,9:49.0,D. Russell makes free throw 1 of 2,,9,3
17,1,9:49.0,D. Russell makes free throw 2 of 2,,10,3
18,1,9:40.0,,D. Augustin misses 3-pt jump shot from 25 ft,10,3
19,1,9:37.0,Defensive rebound by D. Carroll,,10,3
20,1,9:26.0,J. Allen misses 2-pt layup from 4 ft,,10,3
21,1,9:25.0,Offensive rebound by J. Allen,,10,3
22,1,9:22.0,A. Crabbe misses 3-pt jump shot from 25 ft,,10,3
23,1,9:18.0,,Defensive rebound by M. Hezonja,10,3
24,1,9:13.0,,N. Vučević makes 2-pt layup from 3 ft (assist by M. Hezonja),10,5
25,1,8:56.0,A. Crabbe misses 2-pt layup from 5 ft,,10,5
26,1,8:54.0,,Defensive rebound by M. Hezonja,10,5
27,1,8:41.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by D. Augustin),10,8
28,1,8:26.0,D. Russell makes 3-pt jump shot from 27 ft (assist by D. Carroll),,13,8
29,1,8:02.0,,A. Gordon misses 3-pt jump shot from 26 ft,13,8
30,1,8:01.0,Defensive rebound by D. Carroll,,13,8
31,1,7:53.0,D. Russell misses 3-pt jump shot from 26 ft,,13,8
32,1,7:50.0,,Defensive rebound by M. Hezonja,13,8
33,1,7:43.0,,A. Gordon makes 2-pt dunk at rim (assist by N. Vučević),13,10
34,1,7:25.0,D. Russell makes 2-pt jump shot from 1 ft,,15,10
35,1,7:10.0,,N. Vučević makes 2-pt hook shot from 5 ft,15,12
36,1,6:54.0,D. Carroll makes 2-pt layup from 3 ft (assist by D. Russell),,17,12
37,1,6:40.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by M. Hezonja),17,14
38,1,6:40.0,Brooklyn full timeout,,17,14
39,1,6:26.0,A. Crabbe makes 2-pt jump shot from 21 ft (assist by R. Hollis-Jefferson),,19,14
40,1,6:10.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by A. Gordon),19,16
41,1,5:54.0,D. Carroll makes 2-pt layup from 3 ft,,21,16
42,1,5:36.0,,M. Hezonja misses 2-pt jump shot from 7 ft,21,16
43,1,5:33.0,Defensive rebound by J. Allen,,21,16
44,1,5:29.0,Shooting foul by R. Purvis (drawn by J. Allen),,21,16
45,1,5:29.0,J. Allen misses free throw 1 of 2,,21,16
46,1,5:29.0,Offensive rebound by Team,,21,16
47,1,5:29.0,,J. Artis enters the game for M. Hezonja,21,16
48,1,5:29.0,,S. Mack enters the game for R. Purvis,21,16
49,1,5:29.0,S. Dinwiddie enters the game for D. Carroll,,21,16
50,1,5:29.0,J. Allen makes free throw 2 of 2,,22,16
51,1,5:19.0,,N. Vučević makes 2-pt jump shot from 14 ft (assist by D. Augustin),22,18
52,1,4:56.0,R. Hollis-Jefferson misses 2-pt jump shot from 11 ft,,22,18
53,1,4:55.0,Offensive rebound by J. Allen,,22,18
54,1,4:53.0,R. Hollis-Jefferson misses 2-pt jump shot from 12 ft,,22,18
55,1,4:51.0,,Defensive rebound by S. Mack,22,18
56,1,4:41.0,,Turnover by N. Vučević (bad pass; steal by R. Hollis-Jefferson),22,18
57,1,4:37.0,Turnover by R. Hollis-Jefferson (bad pass),,22,18
58,1,4:37.0,D. Cunningham enters the game for D. Russell,,22,18
59,1,4:37.0,C. LeVert enters the game for J. Allen,,22,18
60,1,4:37.0,J. Harris enters the game for A. Crabbe,,22,18
61,1,4:26.0,,N. Vučević makes 2-pt layup from 5 ft (assist by S. Mack),22,20
62,1,4:05.0,R. Hollis-Jefferson misses 2-pt jump shot from 7 ft,,22,20
63,1,4:03.0,Offensive rebound by R. Hollis-Jefferson,,22,20
64,1,4:03.0,Shooting foul by N. Vučević (drawn by R. Hollis-Jefferson),,22,20
65,1,4:03.0,R. Hollis-Jefferson makes free throw 1 of 2,,23,20
66,1,4:03.0,R. Hollis-Jefferson makes free throw 2 of 2,,24,20
67,1,3:55.0,,S. Mack makes 3-pt jump shot from 26 ft,24,23
68,1,3:33.0,J. Harris makes 2-pt jump shot from 5 ft,,26,23
69,1,3:19.0,,N. Vučević misses 2-pt hook shot from 6 ft,26,23
