,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,Shooting foul by R. Covington (drawn by R. Hollis-Jefferson),,0,0
1,1,11:41.0,R. Hollis-Jefferson makes free throw 1 of 2,,1,0
2,1,11:41.0,R. Hollis-Jefferson makes free throw 2 of 2,,2,0
3,1,11:34.0,,B. Simmons makes 2-pt layup from 4 ft,2,2
4,1,11:22.0,J. Harris misses 3-pt jump shot from 25 ft,,2,2
5,1,11:19.0,,Defensive rebound by D. Šarić,2,2
6,1,11:08.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),2,4
7,1,10:48.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,2,4
8,1,10:42.0,Offensive rebound by J. Allen,,2,4
9,1,10:38.0,D. Carroll misses 2-pt layup from 2 ft,,2,4
10,1,10:36.0,,Defensive rebound by J. Embiid,2,4
11,1,10:35.0,,Personal foul by J. Harris (drawn by J. Redick),2,4
12,1,10:27.0,,J. Embiid misses 2-pt jump shot from 21 ft,2,4
13,1,10:24.0,Defensive rebound by D. Carroll,,2,4
14,1,10:11.0,J. Harris misses 2-pt layup from 3 ft,,2,4
15,1,10:08.0,Offensive rebound by D. Russell,,2,4
16,1,10:05.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,5,4
17,1,9:53.0,,B. Simmons makes 2-pt layup from 6 ft,5,6
18,1,9:27.0,Shooting foul by J. Redick (drawn by R. Hollis-Jefferson),,5,6
19,1,9:27.0,R. Hollis-Jefferson misses free throw 1 of 2,,5,6
20,1,9:27.0,Offensive rebound by Team,,5,6
21,1,9:27.0,R. Hollis-Jefferson makes free throw 2 of 2,,6,6
22,1,9:13.0,,D. Šarić makes 2-pt layup from 1 ft (assist by B. Simmons),6,8
23,1,9:00.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),,8,8
24,1,8:51.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),8,11
25,1,8:43.0,Turnover by J. Allen (lost ball; steal by J. Redick),,8,11
26,1,8:37.0,,B. Simmons makes 2-pt layup from 2 ft,8,13
27,1,8:25.0,Personal foul by B. Simmons (drawn by D. Russell),,8,13
28,1,8:09.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,8,13
29,1,8:08.0,,Defensive rebound by Team,8,13
30,1,8:08.0,,M. Belinelli enters the game for J. Redick,8,13
31,1,7:59.0,,Personal foul by J. Allen (drawn by J. Embiid),8,13
32,1,7:44.0,,J. Embiid misses 2-pt jump shot from 14 ft,8,13
33,1,7:42.0,Defensive rebound by D. Russell,,8,13
34,1,7:29.0,D. Russell misses 2-pt jump shot from 8 ft,,8,13
35,1,7:26.0,Offensive rebound by J. Allen,,8,13
36,1,7:24.0,D. Russell makes 3-pt jump shot from 23 ft (assist by J. Harris),,11,13
37,1,7:08.0,,B. Simmons misses 2-pt hook shot from 6 ft,11,13
38,1,7:02.0,Defensive rebound by R. Hollis-Jefferson,,11,13
39,1,6:55.0,Personal foul by R. Covington (drawn by J. Allen),,11,13
40,1,6:55.0,,Philadelphia full timeout,11,13
41,1,6:55.0,,R. Holmes enters the game for J. Embiid,11,13
42,1,6:55.0,,J. Anderson enters the game for R. Covington,11,13
43,1,6:44.0,J. Harris misses 3-pt jump shot from 25 ft,,11,13
44,1,6:38.0,Offensive rebound by J. Allen,,11,13
45,1,6:33.0,Turnover by J. Harris (bad pass; steal by D. Šarić),,11,13
46,1,6:24.0,,R. Holmes misses 2-pt jump shot from 12 ft,11,13
47,1,6:21.0,Defensive rebound by R. Hollis-Jefferson,,11,13
48,1,6:16.0,R. Hollis-Jefferson misses 2-pt layup from 5 ft (block by M. Belinelli),,11,13
49,1,6:16.0,Offensive rebound by Team,,11,13
50,1,6:06.0,D. Carroll makes 2-pt layup from 3 ft (assist by D. Russell),,13,13
51,1,5:50.0,,J. Anderson misses 2-pt layup from 6 ft (block by D. Russell),13,13
52,1,5:50.0,,Offensive rebound by Team,13,13
53,1,5:50.0,S. Dinwiddie enters the game for J. Harris,,13,13
54,1,5:50.0,D. Cunningham enters the game for J. Allen,,13,13
55,1,5:41.0,,Offensive foul by B. Simmons (drawn by D. Carroll),13,13
56,1,5:41.0,,Turnover by B. Simmons (offensive foul),13,13
57,1,5:31.0,D. Russell makes 3-pt jump shot from 25 ft (assist by D. Cunningham),,16,13
58,1,5:29.0,,Philadelphia full timeout,16,13
59,1,5:16.0,,Turnover by M. Belinelli (bad pass; steal by D. Russell),16,13
60,1,5:03.0,D. Cunningham misses 3-pt jump shot from 23 ft,,16,13
61,1,4:58.0,,Defensive rebound by D. Šarić,16,13
62,1,4:54.0,,Personal foul by S. Dinwiddie (drawn by B. Simmons),16,13
63,1,4:54.0,C. LeVert enters the game for D. Carroll,,16,13
64,1,4:54.0,Q. Acy enters the game for R. Hollis-Jefferson,,16,13
65,1,4:44.0,,D. Šarić misses 3-pt jump shot from 25 ft,16,13
66,1,4:42.0,Defensive rebound by D. Russell,,16,13
