,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CLEVELAND_ACTION,SAN ANTONIO_SCORE,CLEVELAND_SCORE
0,1,11:40.0,D. Murray misses 2-pt jump shot from 17 ft,,0,0
1,1,11:39.0,,Defensive rebound by T. Thompson,0,0
2,1,11:23.0,,C. Osman makes 2-pt layup from 1 ft (assist by L. James),0,2
3,1,11:06.0,L. Aldridge misses 2-pt jump shot from 16 ft,,0,2
4,1,11:06.0,,Defensive rebound by L. James,0,2
5,1,10:59.0,,G. Hill misses 2-pt layup from 1 ft (block by D. Murray),0,2
6,1,10:59.0,Defensive rebound by K. Anderson,,0,2
7,1,10:47.0,P. Mills makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,3,2
8,1,10:20.0,,L. James misses 2-pt jump shot from 13 ft,3,2
9,1,10:20.0,,Offensive rebound by T. Thompson,3,2
10,1,10:13.0,,T. Thompson makes 2-pt layup at rim,3,4
11,1,10:02.0,P. Mills misses 3-pt jump shot from 26 ft,,3,4
12,1,10:02.0,,Defensive rebound by T. Thompson,3,4
13,1,9:46.0,,L. James makes 3-pt jump shot from 25 ft,3,7
14,1,9:33.0,L. Aldridge makes 2-pt layup from 1 ft (assist by K. Anderson),,5,7
15,1,9:11.0,,C. Osman misses 2-pt jump shot from 15 ft,5,7
16,1,9:08.0,Defensive rebound by K. Anderson,,5,7
17,1,9:07.0,K. Anderson misses 2-pt layup from 5 ft (block by G. Hill),,5,7
18,1,9:06.0,Offensive rebound by K. Anderson,,5,7
19,1,9:05.0,K. Anderson makes 2-pt layup at rim,,7,7
20,1,8:35.0,,G. Hill misses 3-pt jump shot from 23 ft,7,7
21,1,8:33.0,,Offensive rebound by T. Thompson,7,7
22,1,8:30.0,,J. Smith misses 3-pt jump shot from 25 ft (block by K. Anderson),7,7
23,1,8:25.0,Defensive rebound by P. Mills,,7,7
24,1,8:18.0,P. Mills makes 2-pt jump shot from 16 ft (assist by L. Aldridge),,9,7
25,1,8:03.0,,Personal foul by P. Mills (drawn by J. Smith),9,7
26,1,8:01.0,,Turnover by L. James (bad pass; steal by D. Murray),9,7
27,1,8:00.0,Personal foul by C. Osman (drawn by D. Murray),,9,7
28,1,7:36.0,P. Gasol makes 2-pt jump shot from 17 ft (assist by K. Anderson),,11,7
29,1,7:17.0,,T. Thompson makes 2-pt dunk from 1 ft (assist by L. James),11,9
30,1,7:11.0,San Antonio full timeout,,11,9
31,1,6:50.0,L. Aldridge misses 2-pt jump shot from 11 ft,,11,9
32,1,6:47.0,,Defensive rebound by T. Thompson,11,9
33,1,6:36.0,,L. James misses 3-pt jump shot from 25 ft,11,9
34,1,6:33.0,Defensive rebound by L. Aldridge,,11,9
35,1,6:26.0,D. Murray misses 2-pt jump shot from 15 ft,,11,9
36,1,6:23.0,,Defensive rebound by T. Thompson,11,9
37,1,6:08.0,,T. Thompson makes 2-pt jump shot from 4 ft (assist by L. James),11,11
38,1,5:48.0,K. Anderson makes 2-pt jump shot from 6 ft,,13,11
39,1,5:34.0,,G. Hill misses 2-pt jump shot from 17 ft,13,11
40,1,5:32.0,,Offensive rebound by T. Thompson,13,11
41,1,5:30.0,,J. Smith misses 3-pt jump shot from 25 ft,13,11
42,1,5:27.0,Defensive rebound by L. Aldridge,,13,11
43,1,5:21.0,Shooting foul by C. Osman (drawn by K. Anderson),,13,11
44,1,5:21.0,K. Anderson misses free throw 1 of 2,,13,11
45,1,5:21.0,Offensive rebound by Team,,13,11
46,1,5:21.0,,R. Hood enters the game for C. Osman,13,11
47,1,5:21.0,R. Gay enters the game for P. Gasol,,13,11
48,1,5:21.0,T. Parker enters the game for D. Murray,,13,11
49,1,5:21.0,K. Anderson makes free throw 2 of 2,,14,11
50,1,5:00.0,,T. Thompson misses 2-pt jump shot from 6 ft,14,11
51,1,4:57.0,Defensive rebound by R. Gay,,14,11
52,1,4:53.0,R. Gay misses 3-pt jump shot from 25 ft,,14,11
53,1,4:51.0,,Defensive rebound by T. Thompson,14,11
54,1,4:33.0,,Shooting foul by K. Anderson (drawn by R. Hood),14,11
55,1,4:33.0,,R. Hood makes free throw 1 of 2,14,12
56,1,4:33.0,,J. Clarkson enters the game for J. Smith,14,12
57,1,4:33.0,D. Green enters the game for K. Anderson,,14,12
58,1,4:33.0,,R. Hood makes free throw 2 of 2,14,13
59,1,4:16.0,L. Aldridge misses 2-pt jump shot from 11 ft,,14,13
60,1,4:13.0,,Defensive rebound by L. James,14,13
61,1,4:06.0,,L. James makes 2-pt jump shot from 8 ft,14,15
62,1,3:56.0,P. Mills misses 3-pt jump shot from 26 ft,,14,15
63,1,3:53.0,,Defensive rebound by L. James,14,15
64,1,3:32.0,,J. Clarkson misses 3-pt jump shot from 25 ft,14,15
65,1,3:30.0,Defensive rebound by D. Green,,14,15
66,1,3:21.0,D. Green makes 3-pt jump shot from 25 ft (assist by R. Gay),,17,15
67,1,3:06.0,,G. Hill misses 2-pt jump shot from 6 ft,17,15
68,1,3:05.0,,Offensive rebound by T. Thompson,17,15
69,1,3:05.0,,T. Thompson misses 2-pt layup at rim,17,15
70,1,3:05.0,Defensive rebound by Team,,17,15
71,1,3:05.0,,J. Green enters the game for L. James,17,15
72,1,3:05.0,B. Forbes enters the game for P. Mills,,17,15
73,1,2:51.0,Shooting foul by T. Thompson (drawn by L. Aldridge),,17,15
74,1,2:51.0,,Cleveland full timeout,17,15
75,1,2:51.0,,L. Nance enters the game for G. Hill,17,15
76,1,2:51.0,,K. Korver enters the game for T. Thompson,17,15
77,1,2:51.0,L. Aldridge makes free throw 1 of 2,,18,15
78,1,2:51.0,L. Aldridge makes free throw 2 of 2,,19,15
79,1,2:32.0,,Turnover by J. Green (bad pass; steal by T. Parker),19,15
80,1,2:27.0,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),,22,15
81,1,2:05.0,,R. Hood misses 2-pt jump shot from 15 ft,22,15
82,1,2:03.0,,Offensive rebound by R. Hood,22,15
83,1,2:00.0,,K. Korver misses 3-pt jump shot from 33 ft,22,15
84,1,1:57.0,Defensive rebound by R. Gay,,22,15
85,1,1:49.0,R. Gay misses 2-pt jump shot from 11 ft,,22,15
86,1,1:44.0,,Defensive rebound by L. Nance,22,15
87,1,1:43.0,,Shooting foul by L. Aldridge (drawn by L. Nance),22,15
88,1,1:43.0,,L. Nance makes free throw 1 of 2,22,16
89,1,1:43.0,J. Lauvergne enters the game for L. Aldridge,,22,16
90,1,1:43.0,,L. Nance makes free throw 2 of 2,22,17
91,1,1:18.0,D. Green misses 3-pt jump shot from 31 ft,,22,17
92,1,1:15.0,,Defensive rebound by J. Green,22,17
93,1,1:05.0,,J. Green misses 3-pt jump shot from 27 ft,22,17
94,1,1:03.0,Defensive rebound by J. Lauvergne,,22,17
95,1,0:51.0,J. Lauvergne misses 2-pt layup from 1 ft,,22,17
96,1,0:49.0,,Defensive rebound by J. Green,22,17
97,1,0:41.0,,J. Clarkson misses 3-pt jump shot from 24 ft,22,17
98,1,0:38.0,Defensive rebound by J. Lauvergne,,22,17
99,1,0:30.0,Turnover by T. Parker (bad pass; steal by R. Hood),,22,17
100,1,0:28.0,,R. Hood makes 2-pt layup from 1 ft,22,19
101,1,0:07.0,Turnover by T. Parker (bad pass; steal by J. Green),,22,19
102,1,0:04.0,,Shooting foul by R. Gay (drawn by J. Green),22,19
103,1,0:04.0,,J. Green misses free throw 1 of 2,22,19
104,1,0:04.0,,Offensive rebound by Team,22,19
105,1,0:04.0,P. Mills enters the game for T. Parker,,22,19
106,1,0:04.0,,J. Green makes free throw 2 of 2,22,20
107,1,0:03.0,Personal foul by K. Korver (drawn by P. Mills),,22,20
108,1,0:00.0,B. Forbes makes 3-pt jump shot from 29 ft,,25,20
109,2,11:42.0,,J. Clarkson misses 2-pt layup from 2 ft (block by D. Green),25,20
110,2,11:42.0,Defensive rebound by Team,,25,20
111,2,11:31.0,Turnover by D. Green (bad pass; steal by L. Nance),,25,20
112,2,11:26.0,,J. Green makes 2-pt layup at rim (assist by L. Nance),25,22
113,2,11:26.0,San Antonio full timeout,,25,22
114,2,11:05.0,D. Green misses 2-pt jump shot from 8 ft,,25,22
115,2,11:02.0,Offensive rebound by D. Murray,,25,22
116,2,11:00.0,D. Green misses 3-pt jump shot from 26 ft,,25,22
117,2,11:00.0,Offensive rebound by J. Lauvergne,,25,22
118,2,10:56.0,P. Mills misses 3-pt jump shot from 25 ft,,25,22
