,QUARTER,TIME_REMAINING,CHICAGO_ACTION,OKLAHOMA CITY_ACTION,CHICAGO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,Q. Pondexter misses 3-pt jump shot from 22 ft,,0,0
1,1,11:38.0,,Defensive rebound by R. Westbrook,0,0
2,1,11:26.0,,P. George misses 2-pt jump shot from 13 ft,0,0
3,1,11:24.0,Defensive rebound by K. Dunn,,0,0
4,1,11:07.0,K. Dunn misses 2-pt jump shot from 18 ft,,0,0
5,1,11:04.0,,Defensive rebound by C. Anthony,0,0
6,1,10:49.0,,D. Johnson makes 2-pt layup at rim (assist by R. Westbrook),0,2
7,1,10:32.0,R. Lopez misses 2-pt jump shot from 6 ft,,0,2
8,1,10:30.0,,Defensive rebound by R. Westbrook,0,2
9,1,10:23.0,,Turnover by R. Westbrook (out of bounds lost ball),0,2
10,1,10:11.0,Turnover by J. Grant (bad pass; steal by R. Westbrook),,0,2
11,1,10:08.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),0,4
12,1,9:50.0,L. Markkanen makes 3-pt jump shot from 24 ft (assist by J. Grant),,3,4
13,1,9:32.0,,C. Anthony misses 2-pt jump shot from 16 ft,3,4
14,1,9:30.0,Defensive rebound by K. Dunn,,3,4
15,1,9:20.0,Turnover by K. Dunn (bad pass; steal by A. Roberson),,3,4
16,1,9:04.0,,R. Westbrook misses 2-pt jump shot from 16 ft,3,4
17,1,9:01.0,Defensive rebound by J. Grant,,3,4
18,1,8:42.0,R. Lopez misses 2-pt hook shot from 8 ft,,3,4
19,1,8:41.0,,Defensive rebound by C. Anthony,3,4
20,1,8:34.0,,Shooting foul by R. Lopez (drawn by C. Anthony),3,4
21,1,8:34.0,,C. Anthony makes free throw 1 of 2,3,5
22,1,8:34.0,,C. Anthony makes free throw 2 of 2,3,6
23,1,8:27.0,Personal foul by C. Anthony (drawn by L. Markkanen),,3,6
24,1,8:11.0,J. Grant misses 2-pt jump shot from 5 ft,,3,6
25,1,8:10.0,Offensive rebound by Team,,3,6
26,1,8:10.0,Turnover by Team (shot clock),,3,6
27,1,7:53.0,,C. Anthony makes 2-pt jump shot from 15 ft,3,8
28,1,7:34.0,L. Markkanen misses 3-pt jump shot from 24 ft,,3,8
29,1,7:32.0,,Defensive rebound by A. Roberson,3,8
30,1,7:26.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Westbrook),3,11
31,1,7:23.0,Chicago full timeout,,3,11
32,1,6:59.0,Turnover by Team (shot clock),,3,11
33,1,6:49.0,D. Valentine enters the game for J. Grant,,3,11
34,1,6:41.0,,D. Johnson misses 2-pt hook shot from 5 ft,3,11
35,1,6:39.0,Defensive rebound by D. Valentine,,3,11
