,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA LAKERS_ACTION,CLEVELAND_SCORE,LA LAKERS_SCORE
0,1,11:38.0,L. Nance misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,,Defensive rebound by K. Kuzma,0,0
2,1,11:19.0,,K. Kuzma misses 3-pt jump shot from 27 ft,0,0
3,1,11:15.0,,Offensive rebound by J. Randle,0,0
4,1,11:06.0,,B. Lopez misses 3-pt jump shot from 25 ft,0,0
5,1,11:02.0,Defensive rebound by J. Green,,0,0
6,1,10:45.0,J. Green misses 2-pt hook shot from 1 ft,,0,0
7,1,10:43.0,,Defensive rebound by B. Lopez,0,0
8,1,10:33.0,,J. Randle misses 2-pt layup from 1 ft,0,0
9,1,10:30.0,,Offensive rebound by K. Caldwell-Pope,0,0
10,1,10:25.0,,J. Randle makes 2-pt jump shot from 21 ft (assist by L. Ball),0,2
11,1,9:57.0,L. Nance misses 2-pt jump shot from 18 ft,,0,2
12,1,9:56.0,,Defensive rebound by Team,0,2
13,1,9:41.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by B. Lopez),0,4
14,1,9:29.0,J. Smith misses 2-pt layup from 1 ft,,0,4
15,1,9:25.0,Offensive rebound by L. Nance,,0,4
16,1,9:25.0,L. Nance makes 2-pt dunk at rim,,2,4
17,1,9:10.0,,J. Randle makes 2-pt layup from 1 ft (assist by B. Lopez),2,6
18,1,9:01.0,L. James makes 3-pt jump shot from 26 ft,,5,6
19,1,8:49.0,,B. Lopez misses 2-pt jump shot from 5 ft,5,6
20,1,8:46.0,Defensive rebound by L. James,,5,6
21,1,8:44.0,L. James makes 2-pt layup from 2 ft,,7,6
22,1,8:33.0,,Shooting foul by J. Green (drawn by J. Randle),7,6
23,1,8:33.0,,J. Randle misses free throw 1 of 2,7,6
24,1,8:33.0,,Offensive rebound by Team,7,6
25,1,8:33.0,,J. Randle makes free throw 2 of 2,7,7
26,1,8:22.0,G. Hill misses 2-pt jump shot from 19 ft,,7,7
27,1,8:19.0,,Defensive rebound by B. Lopez,7,7
28,1,8:11.0,,J. Randle misses 2-pt jump shot from 19 ft,7,7
29,1,8:08.0,,Offensive rebound by K. Caldwell-Pope,7,7
30,1,8:05.0,,K. Caldwell-Pope makes 2-pt jump shot from 18 ft,7,9
31,1,7:51.0,L. James misses 2-pt jump shot from 15 ft,,7,9
32,1,7:48.0,,Defensive rebound by K. Caldwell-Pope,7,9
33,1,7:34.0,,L. Ball misses 2-pt jump shot from 9 ft,7,9
34,1,7:31.0,Defensive rebound by L. James,,7,9
35,1,7:25.0,J. Smith misses 3-pt jump shot from 27 ft,,7,9
36,1,7:21.0,,Defensive rebound by J. Randle,7,9
37,1,7:15.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by J. Randle),7,12
38,1,6:58.0,J. Green misses 3-pt jump shot from 26 ft,,7,12
39,1,6:56.0,,Defensive rebound by K. Kuzma,7,12
40,1,6:45.0,,K. Kuzma misses 2-pt jump shot from 14 ft,7,12
41,1,6:43.0,Defensive rebound by L. James,,7,12
42,1,6:41.0,Shooting foul by L. Ball (drawn by L. James),,7,12
43,1,6:41.0,,LA Lakers full timeout,7,12
44,1,6:41.0,L. James makes free throw 1 of 2,,8,12
45,1,6:41.0,L. James makes free throw 2 of 2,,9,12
46,1,6:30.0,,B. Lopez makes 2-pt layup from 1 ft (assist by L. Ball),9,14
47,1,6:11.0,L. James makes 2-pt layup at rim,,11,14
48,1,6:11.0,Shooting foul by L. Ball (drawn by L. James),,11,14
49,1,6:11.0,,I. Thomas enters the game for L. Ball,11,14
50,1,6:11.0,L. James makes free throw 1 of 1,,12,14
51,1,5:57.0,,J. Randle makes 2-pt layup from 2 ft,12,16
52,1,5:44.0,G. Hill makes 2-pt jump shot from 9 ft,,14,16
53,1,5:30.0,,B. Lopez makes 2-pt jump shot from 19 ft,14,18
54,1,5:21.0,Personal foul by I. Thomas (drawn by G. Hill),,14,18
55,1,5:18.0,Offensive foul by G. Hill (drawn by J. Randle),,14,18
56,1,5:18.0,Turnover by G. Hill (offensive foul),,14,18
57,1,5:07.0,,I. Thomas misses 3-pt jump shot from 27 ft,14,18
58,1,5:05.0,Defensive rebound by Team,,14,18
59,1,4:43.0,L. James misses 3-pt jump shot from 24 ft,,14,18
60,1,4:41.0,,Defensive rebound by K. Kuzma,14,18
61,1,4:37.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,14,18
62,1,4:33.0,Defensive rebound by J. Green,,14,18
63,1,4:27.0,J. Green misses 2-pt jump shot from 14 ft,,14,18
64,1,4:25.0,,Defensive rebound by K. Caldwell-Pope,14,18
65,1,4:17.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by J. Randle),14,20
66,1,4:04.0,L. Nance misses 2-pt layup from 1 ft,,14,20
67,1,4:02.0,Offensive rebound by L. Nance,,14,20
68,1,4:02.0,L. Nance makes 2-pt layup at rim,,16,20
69,1,3:58.0,,B. Lopez makes 2-pt layup from 2 ft (assist by I. Thomas),16,22
70,1,3:44.0,J. Smith misses 3-pt jump shot from 24 ft,,16,22
71,1,3:41.0,,Defensive rebound by K. Kuzma,16,22
72,1,3:34.0,,K. Kuzma misses 2-pt layup from 2 ft (block by J. Green),16,22
73,1,3:30.0,Defensive rebound by L. Nance,,16,22
74,1,3:22.0,G. Hill makes 2-pt jump shot from 19 ft,,18,22
75,1,3:15.0,,LA Lakers full timeout,18,22
76,1,3:15.0,,T. Wear enters the game for J. Randle,18,22
77,1,3:15.0,A. Žižić enters the game for G. Hill,,18,22
78,1,3:15.0,K. Korver enters the game for J. Smith,,18,22
79,1,3:15.0,J. Clarkson enters the game for L. Nance,,18,22
80,1,3:15.0,J. Calderón enters the game for L. James,,18,22
