,QUARTER,TIME_REMAINING,INDIANA_ACTION,MINNESOTA_ACTION,INDIANA_SCORE,MINNESOTA_SCORE
0,1,11:45.0,,A. Wiggins misses 3-pt jump shot from 25 ft,0,0
1,1,11:42.0,Defensive rebound by D. Sabonis,,0,0
2,1,11:25.0,D. Collison misses 3-pt jump shot from 22 ft,,0,0
3,1,11:21.0,,Defensive rebound by K. Towns,0,0
4,1,11:18.0,,S. Muhammad misses 2-pt layup at rim,0,0
5,1,11:15.0,Defensive rebound by V. Oladipo,,0,0
6,1,11:11.0,V. Oladipo makes 2-pt layup at rim,,2,0
7,1,10:58.0,,T. Gibson makes 2-pt jump shot from 14 ft (assist by J. Teague),2,2
8,1,10:41.0,T. Young misses 2-pt layup from 1 ft,,2,2
9,1,10:36.0,Offensive rebound by D. Sabonis,,2,2
10,1,10:36.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,5,2
11,1,10:14.0,,K. Towns makes 2-pt jump shot from 3 ft,5,4
12,1,10:14.0,,Shooting foul by D. Sabonis (drawn by K. Towns),5,4
13,1,10:14.0,,K. Towns makes free throw 1 of 1,5,5
14,1,10:05.0,T. Young makes 2-pt layup from 5 ft (assist by D. Collison),,7,5
15,1,9:53.0,,J. Teague misses 2-pt layup at rim,7,5
16,1,9:50.0,Defensive rebound by D. Sabonis,,7,5
17,1,9:47.0,V. Oladipo makes 2-pt layup from 1 ft (assist by D. Collison),,9,5
18,1,9:35.0,,K. Towns misses 3-pt jump shot from 25 ft,9,5
19,1,9:33.0,Defensive rebound by D. Collison,,9,5
20,1,9:24.0,Turnover by D. Sabonis (lost ball; steal by J. Teague),,9,5
21,1,9:19.0,,S. Muhammad makes 2-pt dunk from 1 ft (assist by J. Teague),9,7
22,1,9:01.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by D. Collison),,11,7
23,1,8:47.0,,J. Teague misses 3-pt jump shot from 24 ft,11,7
24,1,8:44.0,Defensive rebound by D. Sabonis,,11,7
25,1,8:34.0,D. Sabonis makes 2-pt layup from 1 ft (assist by V. Oladipo),,13,7
26,1,8:17.0,,A. Wiggins makes 2-pt layup at rim,13,9
27,1,8:12.0,Turnover by D. Collison (bad pass),,13,9
28,1,8:01.0,,A. Wiggins misses 3-pt jump shot from 24 ft,13,9
29,1,7:57.0,Defensive rebound by D. Collison,,13,9
30,1,7:48.0,D. Sabonis makes 2-pt jump shot from 20 ft (assist by D. Collison),,15,9
31,1,7:34.0,,Turnover by J. Teague (bad pass),15,9
32,1,7:26.0,T. Young misses 3-pt jump shot from 25 ft,,15,9
33,1,7:23.0,,Defensive rebound by A. Wiggins,15,9
34,1,7:12.0,,T. Gibson misses 2-pt jump shot from 13 ft (block by T. Young),15,9
35,1,7:08.0,Defensive rebound by D. Collison,,15,9
36,1,7:07.0,D. Collison makes 2-pt layup from 1 ft,,17,9
37,1,6:59.0,,Minnesota full timeout,17,9
38,1,6:52.0,,S. Muhammad misses 2-pt layup from 1 ft,17,9
39,1,6:51.0,,Offensive rebound by S. Muhammad,17,9
40,1,6:51.0,,Shooting foul by B. Bogdanović (drawn by S. Muhammad),17,9
41,1,6:51.0,,S. Muhammad misses free throw 1 of 2,17,9
42,1,6:51.0,,Offensive rebound by Team,17,9
43,1,6:51.0,,S. Muhammad misses free throw 2 of 2,17,9
