,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ATLANTA_ACTION,LA LAKERS_SCORE,ATLANTA_SCORE
0,1,11:56.0,,K. Bazemore misses 2-pt layup from 3 ft (block by B. Ingram),0,0
1,1,11:56.0,,Offensive rebound by Team,0,0
2,1,11:54.0,,T. Prince misses 2-pt jump shot from 9 ft,0,0
3,1,11:50.0,Defensive rebound by J. Randle,,0,0
4,1,11:34.0,,Offensive charge foul by J. Hart (drawn by D. Schröder),0,0
5,1,11:34.0,Turnover by J. Hart (offensive foul),,0,0
6,1,11:18.0,,Turnover by K. Bazemore (lost ball; steal by J. Randle),0,0
7,1,11:13.0,J. Randle makes 2-pt layup from 1 ft (assist by B. Ingram),,2,0
8,1,11:01.0,,T. Prince misses 3-pt jump shot from 25 ft,2,0
9,1,11:01.0,Defensive rebound by K. Caldwell-Pope,,2,0
10,1,10:50.0,B. Ingram misses 2-pt layup from 5 ft,,2,0
11,1,10:44.0,Offensive rebound by B. Ingram,,2,0
12,1,10:44.0,B. Ingram makes 2-pt layup at rim,,4,0
13,1,10:34.0,,D. Schröder misses 2-pt jump shot from 18 ft,4,0
14,1,10:30.0,,Offensive rebound by D. Dedmon,4,0
15,1,10:24.0,,T. Prince misses 3-pt jump shot from 24 ft,4,0
16,1,10:21.0,Defensive rebound by B. Ingram,,4,0
17,1,10:10.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by B. Ingram),,7,0
18,1,9:53.0,,D. Dedmon misses 3-pt jump shot from 24 ft,7,0
19,1,9:49.0,Defensive rebound by K. Caldwell-Pope,,7,0
20,1,9:45.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Dedmon),,7,0
21,1,9:40.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by K. Bazemore),7,2
22,1,9:16.0,Turnover by J. Randle (bad pass; steal by D. Schröder),,7,2
23,1,9:12.0,,Shooting foul by J. Hart (drawn by T. Prince),7,2
24,1,9:12.0,,T. Prince misses free throw 1 of 2,7,2
25,1,9:12.0,,Offensive rebound by Team,7,2
26,1,9:12.0,,T. Prince makes free throw 2 of 2,7,3
27,1,9:02.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,7,3
28,1,8:58.0,,Defensive rebound by D. Dedmon,7,3
29,1,8:52.0,,K. Bazemore makes 2-pt layup from 1 ft,7,5
30,1,8:42.0,B. Ingram misses 2-pt jump shot from 10 ft,,7,5
31,1,8:39.0,Offensive rebound by B. Ingram,,7,5
32,1,8:38.0,B. Ingram makes 2-pt layup from 1 ft,,9,5
33,1,8:19.0,,Turnover by D. Schröder (bad pass; steal by K. Caldwell-Pope),9,5
34,1,8:11.0,J. Randle makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,11,5
35,1,8:10.0,,Atlanta full timeout,11,5
36,1,7:59.0,,D. Dedmon makes 3-pt jump shot from 22 ft (assist by K. Bazemore),11,8
37,1,7:41.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,11,8
38,1,7:38.0,,Defensive rebound by K. Bazemore,11,8
39,1,7:32.0,,K. Bazemore makes 2-pt layup from 2 ft,11,10
40,1,7:19.0,Turnover by B. Lopez (bad pass; steal by J. Collins),,11,10
41,1,7:13.0,,Personal block foul by K. Caldwell-Pope (drawn by T. Prince),11,10
42,1,7:13.0,I. Thomas enters the game for J. Hart,,11,10
43,1,7:07.0,,D. Dedmon misses 3-pt jump shot from 25 ft,11,10
44,1,7:03.0,Defensive rebound by K. Caldwell-Pope,,11,10
45,1,6:56.0,J. Randle misses 2-pt layup from 2 ft (block by K. Bazemore),,11,10
46,1,6:52.0,,Defensive rebound by D. Schröder,11,10
47,1,6:48.0,,D. Schröder misses 2-pt jump shot from 12 ft,11,10
48,1,6:45.0,Defensive rebound by K. Caldwell-Pope,,11,10
49,1,6:40.0,J. Randle makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),,13,10
50,1,6:22.0,,T. Prince makes 2-pt layup from 5 ft,13,12
51,1,6:14.0,I. Thomas misses 3-pt jump shot from 25 ft,,13,12
52,1,6:11.0,,Defensive rebound by J. Collins,13,12
53,1,5:55.0,,D. Dedmon misses 2-pt jump shot from 12 ft (block by B. Lopez),13,12
54,1,5:51.0,,Offensive rebound by D. Dedmon,13,12
55,1,5:49.0,,Turnover by Team (shot clock),13,12
56,1,5:49.0,,M. Muscala enters the game for D. Dedmon,13,12
