,QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
0,1,11:46.0,J. Murray misses 3-pt jump shot from 25 ft,,0,0
1,1,11:43.0,Offensive rebound by N. Jokić,,0,0
2,1,11:39.0,W. Chandler misses 3-pt jump shot from 23 ft,,0,0
3,1,11:36.0,,Defensive rebound by M. Gasol,0,0
4,1,11:26.0,,Turnover by M. Gasol (bad pass; steal by J. Murray),0,0
5,1,11:07.0,W. Chandler makes 2-pt jump shot from 17 ft,,2,0
6,1,10:48.0,,M. Chalmers makes 3-pt jump shot from 24 ft (assist by B. McLemore),2,3
7,1,10:26.0,Turnover by N. Jokić (lost ball; steal by J. Martin),,2,3
8,1,10:21.0,,D. Brooks makes 3-pt jump shot from 22 ft (assist by J. Martin),2,6
9,1,10:04.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,5,6
10,1,9:44.0,,M. Chalmers misses 3-pt jump shot from 25 ft,5,6
11,1,9:42.0,Defensive rebound by G. Harris,,5,6
12,1,9:39.0,Turnover by G. Harris (bad pass),,5,6
13,1,9:21.0,,Turnover by M. Chalmers (bad pass; steal by G. Harris),5,6
14,1,9:16.0,Shooting foul by J. Martin (drawn by W. Chandler),,5,6
15,1,9:16.0,W. Chandler makes free throw 1 of 2,,6,6
16,1,9:16.0,W. Chandler makes free throw 2 of 2,,7,6
17,1,9:03.0,,D. Brooks misses 2-pt jump shot from 18 ft,7,6
18,1,9:00.0,Defensive rebound by N. Jokić,,7,6
19,1,8:52.0,G. Harris makes 2-pt jump shot from 14 ft,,9,6
20,1,8:40.0,,Turnover by M. Chalmers (bad pass; steal by J. Murray),9,6
21,1,8:25.0,P. Millsap makes 2-pt layup at rim,,11,6
22,1,8:25.0,,Memphis full timeout,11,6
23,1,8:04.0,,B. McLemore makes 3-pt jump shot from 26 ft (assist by M. Gasol),11,9
24,1,7:45.0,G. Harris makes 2-pt layup at rim (assist by P. Millsap),,13,9
25,1,7:45.0,Shooting foul by B. McLemore (drawn by G. Harris),,13,9
26,1,7:45.0,G. Harris makes free throw 1 of 1,,14,9
27,1,7:35.0,,M. Gasol misses 2-pt jump shot from 10 ft,14,9
28,1,7:33.0,Defensive rebound by P. Millsap,,14,9
29,1,7:25.0,P. Millsap misses 3-pt jump shot from 25 ft,,14,9
30,1,7:23.0,,Defensive rebound by M. Chalmers,14,9
31,1,7:06.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Chalmers),14,11
32,1,6:43.0,J. Murray misses 2-pt layup from 3 ft (block by M. Chalmers),,14,11
33,1,6:43.0,Offensive rebound by Team,,14,11
34,1,6:42.0,Shooting foul by M. Chalmers (drawn by P. Millsap),,14,11
35,1,6:42.0,P. Millsap makes free throw 1 of 2,,15,11
36,1,6:42.0,P. Millsap makes free throw 2 of 2,,16,11
37,1,6:22.0,,J. Martin misses 2-pt layup at rim,16,11
38,1,6:20.0,,Offensive rebound by D. Brooks,16,11
39,1,6:17.0,,D. Brooks makes 2-pt hook shot from 5 ft,16,13
40,1,6:04.0,W. Chandler misses 2-pt jump shot from 11 ft,,16,13
41,1,6:02.0,,Defensive rebound by M. Gasol,16,13
42,1,5:55.0,,M. Gasol misses 3-pt jump shot from 25 ft,16,13
43,1,5:52.0,Defensive rebound by J. Murray,,16,13
44,1,5:50.0,,Offensive charge foul by J. Murray (drawn by M. Gasol),16,13
45,1,5:50.0,Turnover by J. Murray (offensive foul),,16,13
46,1,5:50.0,,I. Rabb enters the game for B. McLemore,16,13
47,1,5:50.0,W. Barton enters the game for P. Millsap,,16,13
48,1,5:50.0,M. Plumlee enters the game for W. Chandler,,16,13
49,1,5:31.0,,J. Martin makes 2-pt jump shot from 21 ft (assist by I. Rabb),16,15
50,1,5:21.0,N. Jokić makes 2-pt layup from 1 ft (assist by M. Plumlee),,18,15
51,1,5:21.0,Shooting foul by I. Rabb (drawn by N. Jokić),,18,15
52,1,5:21.0,N. Jokić makes free throw 1 of 1,,19,15
53,1,4:58.0,,Shooting foul by M. Plumlee (drawn by I. Rabb),19,15
54,1,4:58.0,,I. Rabb misses free throw 1 of 2,19,15
55,1,4:58.0,,Offensive rebound by Team,19,15
56,1,4:58.0,,K. Simmons enters the game for M. Chalmers,19,15
57,1,4:58.0,,I. Rabb makes free throw 2 of 2,19,16
58,1,4:46.0,Shooting foul by K. Simmons (drawn by J. Murray),,19,16
59,1,4:46.0,J. Murray makes free throw 1 of 2,,20,16
60,1,4:46.0,,M. Henry enters the game for J. Martin,20,16
61,1,4:46.0,J. Murray makes free throw 2 of 2,,21,16
62,1,4:27.0,,Turnover by D. Brooks (lost ball; steal by G. Harris),21,16
63,1,4:24.0,G. Harris makes 2-pt dunk at rim (assist by J. Murray),,23,16
64,1,4:11.0,,D. Brooks misses 2-pt jump shot from 14 ft,23,16
65,1,4:07.0,,Offensive rebound by I. Rabb,23,16
66,1,4:07.0,,I. Rabb makes 2-pt layup at rim,23,18
67,1,3:52.0,M. Plumlee makes 2-pt hook shot from 6 ft,,25,18
68,1,3:45.0,,D. Brooks makes 2-pt layup from 1 ft,25,20
