,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHICAGO_ACTION,GOLDEN STATE_SCORE,CHICAGO_SCORE
0,1,11:36.0,,R. Lopez makes 2-pt dunk at rim,0,2
1,1,11:36.0,Golden State full timeout,,0,2
2,1,11:36.0,K. Looney enters the game for J. Bell,,0,2
3,1,11:21.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,3,2
4,1,11:03.0,,R. Lopez makes 2-pt dunk at rim (assist by Z. LaVine),3,4
5,1,10:55.0,K. Durant makes 2-pt jump shot from 15 ft,,5,4
6,1,10:35.0,,Z. LaVine misses 3-pt jump shot from 24 ft,5,4
7,1,10:32.0,Defensive rebound by Z. Pachulia,,5,4
8,1,10:22.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),,8,4
9,1,10:14.0,,Z. LaVine misses 2-pt layup from 3 ft,8,4
10,1,10:12.0,Defensive rebound by Z. Pachulia,,8,4
11,1,10:06.0,K. Thompson misses 2-pt jump shot from 13 ft,,8,4
12,1,10:01.0,,Defensive rebound by J. Holiday,8,4
13,1,9:57.0,,K. Dunn misses 3-pt jump shot from 25 ft,8,4
14,1,9:54.0,Defensive rebound by Z. Pachulia,,8,4
15,1,9:46.0,S. Curry makes 2-pt jump shot from 15 ft,,10,4
16,1,9:29.0,,J. Holiday misses 3-pt jump shot from 23 ft,10,4
17,1,9:27.0,Defensive rebound by S. Curry,,10,4
18,1,9:16.0,S. Curry misses 2-pt jump shot from 4 ft (block by L. Markkanen),,10,4
19,1,9:16.0,,Defensive rebound by Team,10,4
20,1,9:02.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by L. Markkanen),10,6
21,1,8:41.0,Z. Pachulia makes 2-pt layup from 1 ft,,12,6
22,1,8:27.0,,Shooting foul by K. Looney (drawn by J. Holiday),12,6
23,1,8:27.0,,J. Holiday makes free throw 1 of 2,12,7
24,1,8:27.0,,J. Holiday makes free throw 2 of 2,12,8
25,1,8:19.0,Personal foul by K. Dunn (drawn by S. Curry),,12,8
26,1,8:16.0,Turnover by S. Curry (bad pass; steal by K. Dunn),,12,8
27,1,8:16.0,,Personal foul by Z. Pachulia (drawn by K. Dunn),12,8
