,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MINNESOTA_ACTION,HOUSTON_SCORE,MINNESOTA_SCORE
0,1,11:45.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by C. Paul),,3,0
1,1,11:21.0,,J. Teague misses 3-pt jump shot from 25 ft,3,0
2,1,11:20.0,Defensive rebound by C. Paul,,3,0
3,1,11:08.0,P. Tucker misses 3-pt jump shot from 22 ft,,3,0
4,1,11:05.0,,Defensive rebound by J. Butler,3,0
5,1,10:57.0,,J. Butler makes 2-pt jump shot from 4 ft,3,2
6,1,10:41.0,P. Tucker misses 3-pt jump shot from 24 ft,,3,2
7,1,10:39.0,,Defensive rebound by K. Towns,3,2
8,1,10:32.0,,Turnover by J. Teague (bad pass; steal by T. Ariza),3,2
9,1,10:22.0,C. Paul makes 2-pt jump shot from 10 ft,,5,2
10,1,10:04.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by J. Butler),5,5
11,1,9:42.0,P. Tucker misses 2-pt layup from 3 ft,,5,5
12,1,9:41.0,,Defensive rebound by K. Towns,5,5
13,1,9:35.0,,J. Butler makes 3-pt jump shot from 23 ft (assist by J. Teague),5,8
14,1,9:12.0,C. Capela misses 2-pt hook shot from 7 ft,,5,8
15,1,9:12.0,,Defensive rebound by J. Butler,5,8
16,1,9:02.0,,J. Butler misses 2-pt layup from 3 ft (block by C. Capela),5,8
17,1,9:02.0,Defensive rebound by J. Harden,,5,8
18,1,8:49.0,C. Capela misses 2-pt hook shot from 3 ft,,5,8
19,1,8:47.0,Offensive rebound by C. Capela,,5,8
20,1,8:47.0,Shooting foul by K. Towns (drawn by C. Capela),,5,8
21,1,8:47.0,C. Capela makes free throw 1 of 2,,6,8
22,1,8:47.0,C. Capela misses free throw 2 of 2,,6,8
23,1,8:45.0,,Defensive rebound by T. Gibson,6,8
24,1,8:39.0,,A. Wiggins makes 2-pt jump shot from 9 ft (assist by J. Teague),6,10
25,1,8:21.0,C. Paul misses 3-pt jump shot from 24 ft,,6,10
26,1,8:18.0,,Defensive rebound by J. Butler,6,10
27,1,8:06.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by A. Wiggins),6,13
28,1,7:39.0,J. Harden makes 3-pt jump shot from 23 ft,,9,13
29,1,7:23.0,,Turnover by K. Towns (traveling),9,13
30,1,7:09.0,Shooting foul by T. Gibson (drawn by C. Capela),,9,13
31,1,7:09.0,C. Capela misses free throw 1 of 2,,9,13
32,1,7:09.0,Offensive rebound by Team,,9,13
33,1,7:09.0,C. Capela misses free throw 2 of 2,,9,13
34,1,7:06.0,,Defensive rebound by K. Towns,9,13
35,1,7:03.0,,Personal foul by C. Paul (drawn by A. Wiggins),9,13
36,1,7:03.0,N. Hilário enters the game for C. Paul,,9,13
37,1,7:03.0,E. Gordon enters the game for C. Capela,,9,13
38,1,7:01.0,,Shooting foul by E. Gordon (drawn by J. Teague),9,13
39,1,7:01.0,,J. Teague makes free throw 1 of 2,9,14
40,1,7:01.0,,J. Teague misses free throw 2 of 2,9,14
41,1,6:59.0,Defensive rebound by P. Tucker,,9,14
42,1,6:41.0,J. Harden misses 3-pt jump shot from 24 ft,,9,14
43,1,6:38.0,,Defensive rebound by A. Wiggins,9,14
44,1,6:29.0,,J. Butler misses 2-pt jump shot from 10 ft,9,14
45,1,6:26.0,Defensive rebound by P. Tucker,,9,14
46,1,6:21.0,Shooting foul by J. Butler (drawn by P. Tucker),,9,14
47,1,6:21.0,,Minnesota full timeout,9,14
48,1,6:21.0,,T. Jones enters the game for J. Teague,9,14
49,1,6:21.0,P. Tucker makes free throw 1 of 2,,10,14
50,1,6:21.0,P. Tucker makes free throw 2 of 2,,11,14
51,1,6:07.0,,Def 3 sec tech foul by J. Harden,11,14
52,1,6:07.0,,J. Butler misses technical free throw,11,14
53,1,6:07.0,,Offensive rebound by Team,11,14
54,1,5:56.0,,A. Wiggins misses 2-pt jump shot from 18 ft,11,14
55,1,5:52.0,Defensive rebound by J. Harden,,11,14
56,1,5:38.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by P. Tucker),,14,14
57,1,5:25.0,,T. Gibson makes 2-pt jump shot from 8 ft (assist by A. Wiggins),14,16
58,1,5:10.0,E. Gordon makes 2-pt layup at rim,,16,16
59,1,5:00.0,,J. Butler misses 3-pt jump shot from 25 ft,16,16
60,1,4:57.0,,Offensive rebound by T. Gibson,16,16
61,1,4:53.0,,T. Gibson misses 2-pt layup from 1 ft (block by P. Tucker),16,16
62,1,4:49.0,,Offensive rebound by K. Towns,16,16
63,1,4:49.0,,Turnover by K. Towns (bad pass; steal by J. Harden),16,16
64,1,4:42.0,J. Harden misses 3-pt jump shot from 25 ft,,16,16
65,1,4:38.0,,Defensive rebound by K. Towns,16,16
