,QUARTER,TIME_REMAINING,DALLAS_ACTION,WASHINGTON_ACTION,DALLAS_SCORE,WASHINGTON_SCORE
0,1,11:45.0,D. Smith makes 2-pt dunk from 1 ft (assist by W. Matthews),,2,0
1,1,11:21.0,,Turnover by B. Beal (out of bounds lost ball),2,0
2,1,11:07.0,D. Nowitzki makes 2-pt layup from 3 ft (assist by D. Smith),,4,0
3,1,10:49.0,,M. Morris misses 2-pt jump shot from 11 ft,4,0
4,1,10:46.0,Defensive rebound by W. Matthews,,4,0
5,1,10:41.0,D. Smith makes 2-pt jump shot from 15 ft,,6,0
6,1,10:40.0,Shooting foul by B. Beal (drawn by D. Smith),,6,0
7,1,10:40.0,D. Smith makes free throw 1 of 1,,7,0
8,1,10:28.0,,B. Beal makes 2-pt jump shot from 20 ft (assist by J. Wall),7,2
9,1,10:13.0,W. Matthews misses 2-pt jump shot from 9 ft,,7,2
10,1,10:11.0,,Defensive rebound by O. Porter,7,2
11,1,10:06.0,,B. Beal misses 2-pt layup from 2 ft,7,2
12,1,9:58.0,Defensive rebound by D. Nowitzki,,7,2
13,1,9:49.0,D. Smith makes 2-pt jump shot from 17 ft,,9,2
14,1,9:28.0,,O. Porter makes 2-pt jump shot from 13 ft,9,4
15,1,9:09.0,Turnover by D. Nowitzki (step out of bounds),,9,4
16,1,9:00.0,,Shooting foul by D. Nowitzki (drawn by J. Wall),9,4
17,1,9:00.0,,J. Wall makes free throw 1 of 2,9,5
18,1,9:00.0,,J. Wall makes free throw 2 of 2,9,6
19,1,8:41.0,Y. Ferrell misses 3-pt jump shot from 27 ft,,9,6
20,1,8:38.0,,Defensive rebound by M. Morris,9,6
21,1,8:30.0,,J. Wall misses 2-pt layup from 5 ft,9,6
22,1,8:27.0,Defensive rebound by H. Barnes,,9,6
23,1,8:20.0,Personal foul by M. Morris (drawn by H. Barnes),,9,6
24,1,8:14.0,D. Smith misses 3-pt jump shot from 25 ft,,9,6
25,1,8:09.0,,Defensive rebound by B. Beal,9,6
26,1,7:58.0,,Personal foul by H. Barnes (drawn by M. Gortat),9,6
27,1,7:58.0,S. Mejri enters the game for D. Nowitzki,,9,6
28,1,7:52.0,,Turnover by M. Morris (bad pass; steal by D. Smith),9,6
29,1,7:46.0,D. Smith misses 2-pt layup from 3 ft,,9,6
30,1,7:44.0,,Defensive rebound by B. Beal,9,6
31,1,7:41.0,,B. Beal misses 2-pt layup from 2 ft,9,6
32,1,7:39.0,,Offensive rebound by M. Morris,9,6
33,1,7:38.0,,M. Morris makes 2-pt layup from 1 ft,9,8
34,1,7:20.0,H. Barnes makes 2-pt jump shot from 2 ft (assist by D. Smith),,11,8
35,1,7:07.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),11,10
36,1,6:54.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),,14,10
37,1,6:45.0,,Turnover by M. Morris (out of bounds lost ball),14,10
38,1,6:45.0,,Washington full timeout,14,10
39,1,6:36.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by W. Matthews),,17,10
40,1,6:21.0,,M. Gortat makes 2-pt layup from 1 ft,17,12
41,1,6:03.0,H. Barnes makes 2-pt jump shot from 12 ft,,19,12
42,1,5:51.0,,B. Beal makes 2-pt jump shot from 17 ft (assist by J. Wall),19,14
43,1,5:40.0,S. Mejri makes 2-pt layup from 2 ft (assist by D. Smith),,21,14
44,1,5:23.0,,J. Wall misses 3-pt jump shot from 25 ft,21,14
45,1,5:20.0,Defensive rebound by W. Matthews,,21,14
46,1,5:18.0,D. Smith makes 2-pt dunk from 1 ft (assist by W. Matthews),,23,14
47,1,5:03.0,,Def 3 sec tech foul by Y. Ferrell,23,14
48,1,5:03.0,,B. Beal makes technical free throw,23,15
49,1,5:03.0,,K. Oubre enters the game for M. Morris,23,15
50,1,5:03.0,D. Finney-Smith enters the game for D. Smith,,23,15
51,1,5:03.0,J. Barea enters the game for Y. Ferrell,,23,15
52,1,5:03.0,D. Harris enters the game for W. Matthews,,23,15
53,1,4:52.0,,K. Oubre misses 2-pt layup from 2 ft (block by H. Barnes),23,15
54,1,4:49.0,Defensive rebound by H. Barnes,,23,15
55,1,4:41.0,H. Barnes misses 2-pt jump shot from 15 ft,,23,15
56,1,4:37.0,,Defensive rebound by K. Oubre,23,15
57,1,4:30.0,,Turnover by J. Wall (out of bounds lost ball),23,15
58,1,4:12.0,D. Harris misses 2-pt jump shot from 8 ft,,23,15
59,1,4:09.0,,Defensive rebound by M. Gortat,23,15
60,1,4:07.0,,Shooting foul by D. Harris (drawn by J. Wall),23,15
61,1,4:07.0,,J. Wall makes free throw 1 of 2,23,16
62,1,4:07.0,,J. Wall makes free throw 2 of 2,23,17
63,1,3:47.0,D. Harris misses 3-pt jump shot from 25 ft,,23,17
64,1,3:44.0,,Defensive rebound by J. Wall,23,17
65,1,3:39.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),23,20
66,1,3:37.0,Dallas full timeout,,23,20
67,1,3:37.0,,J. Meeks enters the game for O. Porter,23,20
68,1,3:25.0,S. Mejri misses 2-pt layup from 6 ft,,23,20
69,1,3:21.0,Offensive rebound by S. Mejri,,23,20
70,1,3:11.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by D. Harris),,25,20
71,1,2:52.0,,B. Beal misses 2-pt jump shot from 13 ft (block by D. Finney-Smith),25,20
72,1,2:50.0,Defensive rebound by S. Mejri,,25,20
73,1,2:44.0,Turnover by D. Finney-Smith (out of bounds lost ball),,25,20
74,1,2:34.0,,J. Wall makes 2-pt jump shot from 15 ft,25,22
