,QUARTER,TIME_REMAINING,HOUSTON_ACTION,INDIANA_ACTION,HOUSTON_SCORE,INDIANA_SCORE
0,1,11:48.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,2,0
1,1,11:25.0,,T. Young misses 3-pt jump shot from 23 ft,2,0
2,1,11:22.0,Defensive rebound by C. Capela,,2,0
3,1,11:19.0,E. Gordon makes 2-pt layup at rim (assist by J. Harden),,4,0
4,1,11:03.0,,T. Young misses 2-pt hook shot from 5 ft,4,0
5,1,11:00.0,Defensive rebound by C. Capela,,4,0
6,1,10:57.0,E. Gordon misses 3-pt jump shot from 26 ft,,4,0
7,1,10:53.0,,Defensive rebound by V. Oladipo,4,0
8,1,10:47.0,,V. Oladipo makes 2-pt jump shot from 14 ft,4,2
9,1,10:36.0,E. Gordon makes 2-pt layup at rim,,6,2
10,1,10:13.0,,V. Oladipo misses 3-pt jump shot from 26 ft,6,2
11,1,10:09.0,Defensive rebound by C. Capela,,6,2
12,1,10:02.0,C. Capela misses 2-pt layup from 1 ft,,6,2
13,1,10:00.0,,Defensive rebound by T. Young,6,2
14,1,9:56.0,,Turnover by D. Collison (lost ball; steal by J. Harden),6,2
15,1,9:52.0,J. Harden makes 2-pt layup from 1 ft,,8,2
16,1,9:29.0,,B. Bogdanović misses 2-pt hook shot from 5 ft,8,2
17,1,9:25.0,Defensive rebound by R. Anderson,,8,2
18,1,9:24.0,Turnover by J. Harden (bad pass; steal by T. Young),,8,2
19,1,9:21.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,8,2
20,1,9:17.0,Defensive rebound by R. Anderson,,8,2
21,1,9:09.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,11,2
22,1,8:49.0,,D. Collison misses 2-pt jump shot from 16 ft (block by E. Gordon),11,2
23,1,8:46.0,Defensive rebound by E. Gordon,,11,2
24,1,8:43.0,Shooting foul by V. Oladipo (drawn by E. Gordon),,11,2
25,1,8:43.0,E. Gordon makes free throw 1 of 2,,12,2
26,1,8:43.0,E. Gordon makes free throw 2 of 2,,13,2
27,1,8:40.0,,Indiana full timeout,13,2
28,1,8:22.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by V. Oladipo),13,4
29,1,8:07.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,15,4
30,1,7:49.0,,M. Turner misses 2-pt hook shot from 6 ft,15,4
31,1,7:47.0,Defensive rebound by C. Capela,,15,4
32,1,7:37.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),,18,4
33,1,7:22.0,,Turnover by B. Bogdanović (traveling),18,4
34,1,7:04.0,Offensive foul by C. Capela (drawn by V. Oladipo),,18,4
35,1,7:04.0,Turnover by C. Capela (offensive foul),,18,4
36,1,6:52.0,,V. Oladipo makes 2-pt jump shot from 19 ft (assist by M. Turner),18,6
37,1,6:39.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by E. Gordon),,21,6
38,1,6:31.0,,V. Oladipo misses 2-pt jump shot from 17 ft,21,6
39,1,6:29.0,Defensive rebound by J. Harden,,21,6
40,1,6:25.0,Turnover by J. Harden (bad pass; steal by B. Bogdanović),,21,6
41,1,6:21.0,,D. Collison makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),21,9
42,1,6:11.0,E. Gordon makes 3-pt jump shot from 30 ft (assist by J. Harden),,24,9
43,1,5:49.0,,T. Young misses 2-pt hook shot from 10 ft,24,9
44,1,5:47.0,Defensive rebound by C. Capela,,24,9
45,1,5:42.0,T. Ariza misses 3-pt jump shot from 26 ft,,24,9
46,1,5:37.0,Offensive rebound by R. Anderson,,24,9
47,1,5:37.0,R. Anderson misses 2-pt layup at rim,,24,9
48,1,5:37.0,,Defensive rebound by T. Young,24,9
49,1,5:32.0,,B. Bogdanović misses 2-pt layup from 1 ft,24,9
50,1,5:28.0,,Offensive rebound by M. Turner,24,9
51,1,5:28.0,,M. Turner makes 2-pt layup at rim,24,11
