,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ATLANTA_ACTION,NEW ORLEANS_SCORE,ATLANTA_SCORE
0,1,11:45.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by K. Bazemore),0,3
1,1,11:29.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Davis),,3,3
2,1,11:05.0,,M. Plumlee misses 2-pt layup from 1 ft,3,3
3,1,10:58.0,,Offensive rebound by E. İlyasova,3,3
4,1,10:58.0,,E. İlyasova makes 2-pt layup at rim,3,5
5,1,10:54.0,D. Cousins misses 2-pt layup from 2 ft,,3,5
6,1,10:51.0,,Defensive rebound by E. İlyasova,3,5
7,1,10:30.0,,K. Bazemore makes 2-pt jump shot from 22 ft (assist by D. Schröder),3,7
8,1,10:16.0,J. Holiday misses 2-pt layup at rim,,3,7
9,1,10:13.0,,Defensive rebound by M. Plumlee,3,7
10,1,10:06.0,,D. Schröder misses 3-pt jump shot from 25 ft,3,7
11,1,10:03.0,,Offensive rebound by M. Plumlee,3,7
12,1,9:58.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by E. İlyasova),3,10
13,1,9:32.0,A. Davis makes 2-pt layup from 2 ft,,5,10
14,1,9:22.0,,T. Prince misses 3-pt jump shot from 25 ft,5,10
15,1,9:19.0,Defensive rebound by D. Cousins,,5,10
16,1,9:14.0,Personal foul by K. Bazemore (drawn by A. Davis),,5,10
17,1,9:04.0,E. Moore makes 2-pt layup from 1 ft (assist by D. Cousins),,7,10
18,1,8:46.0,,M. Plumlee misses 2-pt layup from 11 ft (block by D. Cousins),7,10
19,1,8:43.0,,Offensive rebound by M. Plumlee,7,10
20,1,8:39.0,,K. Bazemore misses 3-pt jump shot from 25 ft,7,10
21,1,8:36.0,Defensive rebound by D. Cousins,,7,10
22,1,8:31.0,J. Holiday makes 2-pt layup from 2 ft,,9,10
23,1,8:31.0,Shooting foul by M. Plumlee (drawn by J. Holiday),,9,10
24,1,8:31.0,J. Holiday makes free throw 1 of 1,,10,10
25,1,8:14.0,,E. İlyasova misses 2-pt jump shot from 13 ft,10,10
26,1,8:11.0,Defensive rebound by D. Cousins,,10,10
27,1,7:58.0,Turnover by E. Moore (lost ball; steal by K. Bazemore),,10,10
28,1,7:43.0,,K. Bazemore misses 2-pt layup from 5 ft,10,10
29,1,7:40.0,Defensive rebound by D. Cousins,,10,10
30,1,7:26.0,E. Moore makes 3-pt jump shot from 24 ft (assist by R. Rondo),,13,10
31,1,7:10.0,,D. Schröder misses 3-pt jump shot from 24 ft,13,10
32,1,7:07.0,Defensive rebound by A. Davis,,13,10
33,1,7:02.0,D. Cousins makes 2-pt layup from 4 ft (assist by R. Rondo),,15,10
34,1,7:02.0,,Atlanta full timeout,15,10
35,1,7:02.0,,M. Belinelli enters the game for T. Prince,15,10
36,1,7:02.0,,D. Dedmon enters the game for M. Plumlee,15,10
37,1,6:47.0,,E. İlyasova misses 3-pt jump shot from 24 ft,15,10
38,1,6:42.0,,Offensive rebound by K. Bazemore,15,10
39,1,6:41.0,,M. Belinelli makes 2-pt jump shot from 9 ft (assist by K. Bazemore),15,12
40,1,6:18.0,E. Moore misses 3-pt jump shot from 22 ft,,15,12
41,1,6:15.0,,Defensive rebound by D. Dedmon,15,12
42,1,6:06.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Schröder),15,14
