,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
0,1,11:35.0,J. Johnson makes 2-pt layup from 1 ft (assist by J. Richardson),,2,0
1,1,11:20.0,,J. Redick makes 2-pt layup at rim (assist by D. Šarić),2,2
2,1,11:10.0,T. Johnson misses 2-pt jump shot from 15 ft,,2,2
3,1,11:07.0,,Defensive rebound by E. İlyasova,2,2
4,1,11:01.0,,B. Simmons misses 2-pt layup from 2 ft (block by J. Richardson),2,2
5,1,10:58.0,Defensive rebound by G. Dragić,,2,2
6,1,10:45.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by T. Johnson),,5,2
7,1,10:16.0,,D. Šarić makes 2-pt jump shot from 10 ft (assist by R. Covington),5,4
8,1,10:06.0,G. Dragić makes 2-pt jump shot from 9 ft,,7,4
9,1,9:57.0,,D. Šarić misses 3-pt jump shot from 25 ft,7,4
10,1,9:56.0,,Offensive rebound by Team,7,4
11,1,9:56.0,Loose ball foul by J. Richardson (drawn by E. İlyasova),,7,4
12,1,9:53.0,,D. Šarić makes 2-pt layup from 1 ft (assist by R. Covington),7,6
13,1,9:38.0,G. Dragić makes 2-pt jump shot from 2 ft,,9,6
14,1,9:26.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Redick),9,8
15,1,9:04.0,J. Richardson misses 2-pt jump shot from 5 ft,,9,8
16,1,8:59.0,Offensive rebound by H. Whiteside,,9,8
17,1,8:59.0,H. Whiteside misses 2-pt dunk at rim,,9,8
18,1,8:59.0,Offensive rebound by J. Johnson,,9,8
19,1,8:56.0,J. Richardson misses 3-pt jump shot from 28 ft,,9,8
20,1,8:54.0,,Defensive rebound by B. Simmons,9,8
21,1,8:51.0,,R. Covington misses 3-pt jump shot from 26 ft,9,8
22,1,8:47.0,Defensive rebound by J. Richardson,,9,8
23,1,8:43.0,T. Johnson misses 2-pt layup from 2 ft (block by B. Simmons),,9,8
24,1,8:41.0,Offensive rebound by T. Johnson,,9,8
25,1,8:34.0,G. Dragić misses 3-pt jump shot from 26 ft,,9,8
26,1,8:28.0,,Defensive rebound by B. Simmons,9,8
27,1,8:28.0,,Personal foul by H. Whiteside (drawn by E. İlyasova),9,8
28,1,8:18.0,,J. Redick misses 3-pt jump shot from 28 ft,9,8
29,1,8:13.0,,Offensive rebound by D. Šarić,9,8
30,1,8:10.0,,D. Šarić misses 3-pt jump shot from 24 ft,9,8
31,1,8:06.0,Defensive rebound by G. Dragić,,9,8
32,1,8:02.0,,Offensive charge foul by G. Dragić (drawn by D. Šarić),9,8
33,1,8:02.0,Turnover by G. Dragić (offensive foul),,9,8
34,1,7:45.0,,D. Šarić misses 2-pt layup from 2 ft (block by H. Whiteside),9,8
35,1,7:42.0,Defensive rebound by T. Johnson,,9,8
36,1,7:34.0,G. Dragić makes 2-pt layup from 1 ft (assist by T. Johnson),,11,8
37,1,7:25.0,,Personal foul by G. Dragić (drawn by R. Covington),11,8
38,1,7:25.0,W. Ellington enters the game for G. Dragić,,11,8
39,1,7:25.0,J. Winslow enters the game for T. Johnson,,11,8
40,1,7:25.0,,A. Johnson enters the game for J. Redick,11,8
41,1,7:25.0,,M. Belinelli enters the game for E. İlyasova,11,8
42,1,7:19.0,,Personal foul by W. Ellington (drawn by M. Belinelli),11,8
43,1,7:08.0,,A. Johnson misses 2-pt jump shot from 8 ft,11,8
44,1,7:06.0,,Offensive rebound by A. Johnson,11,8
45,1,7:03.0,,A. Johnson makes 2-pt jump shot from 4 ft,11,10
46,1,6:43.0,Turnover by J. Winslow (lost ball; steal by D. Šarić),,11,10
47,1,6:39.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by B. Simmons),11,13
48,1,6:20.0,J. Winslow misses 3-pt jump shot from 25 ft,,11,13
49,1,6:16.0,,Defensive rebound by A. Johnson,11,13
50,1,6:07.0,,R. Covington misses 3-pt jump shot from 27 ft,11,13
51,1,6:04.0,Defensive rebound by H. Whiteside,,11,13
52,1,5:57.0,W. Ellington misses 2-pt jump shot from 18 ft,,11,13
53,1,5:53.0,,Defensive rebound by R. Covington,11,13
54,1,5:46.0,,Turnover by D. Šarić (bad pass; steal by J. Johnson),11,13
55,1,5:29.0,W. Ellington misses 3-pt jump shot from 27 ft,,11,13
56,1,5:24.0,,Defensive rebound by A. Johnson,11,13
57,1,5:19.0,,Philadelphia full timeout,11,13
58,1,5:07.0,,D. Šarić misses 2-pt hook shot from 3 ft (block by J. Winslow),11,13
59,1,5:04.0,Defensive rebound by H. Whiteside,,11,13
60,1,4:43.0,J. Winslow misses 2-pt layup from 14 ft (block by R. Covington),,11,13
61,1,4:41.0,,Defensive rebound by B. Simmons,11,13
62,1,4:30.0,,R. Covington misses 3-pt jump shot from 25 ft,11,13
63,1,4:26.0,,Offensive rebound by B. Simmons,11,13
64,1,4:26.0,,B. Simmons makes 2-pt layup at rim,11,15
65,1,4:18.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by J. Richardson),,14,15
66,1,3:58.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by D. Šarić),14,17
67,1,3:45.0,Offensive foul by H. Whiteside (drawn by R. Covington),,14,17
68,1,3:45.0,Turnover by H. Whiteside (offensive foul),,14,17
69,1,3:45.0,,E. İlyasova enters the game for D. Šarić,14,17
70,1,3:45.0,D. Wade enters the game for J. Richardson,,14,17
71,1,3:45.0,K. Olynyk enters the game for J. Johnson,,14,17
72,1,3:45.0,B. Adebayo enters the game for H. Whiteside,,14,17
73,1,3:37.0,,E. İlyasova makes 2-pt jump shot from 22 ft (assist by B. Simmons),14,19
74,1,3:18.0,W. Ellington misses 3-pt jump shot from 27 ft,,14,19
75,1,3:16.0,,Defensive rebound by B. Simmons,14,19
76,1,3:12.0,,Personal foul by W. Ellington (drawn by M. Belinelli),14,19
77,1,3:12.0,,J. Redick enters the game for R. Covington,14,19
78,1,3:12.0,,M. Belinelli makes free throw 1 of 2,14,20
79,1,3:12.0,,M. Fultz enters the game for B. Simmons,14,20
80,1,3:12.0,,M. Belinelli misses free throw 2 of 2,14,20
81,1,3:08.0,,Offensive rebound by E. İlyasova,14,20
82,1,3:08.0,,E. İlyasova makes 2-pt layup from 1 ft,14,22
83,1,2:54.0,D. Wade makes 2-pt jump shot from 11 ft,,16,22
84,1,2:45.0,,Shooting foul by J. Winslow (drawn by M. Belinelli),16,22
85,1,2:45.0,Miami full timeout,,16,22
86,1,2:45.0,,M. Belinelli makes free throw 1 of 3,16,23
87,1,2:45.0,,M. Belinelli makes free throw 2 of 3,16,24
88,1,2:45.0,,M. Belinelli makes free throw 3 of 3,16,25
89,1,2:31.0,W. Ellington misses 3-pt jump shot from 27 ft,,16,25
90,1,2:27.0,,Defensive rebound by E. İlyasova,16,25
91,1,2:17.0,,Offensive foul by A. Johnson (drawn by J. Winslow),16,25
92,1,2:17.0,,Turnover by A. Johnson (offensive foul),16,25
93,1,2:04.0,D. Wade makes 2-pt jump shot from 21 ft,,18,25
94,1,1:48.0,,M. Belinelli misses 2-pt jump shot from 16 ft,18,25
95,1,1:42.0,,Offensive rebound by E. İlyasova,18,25
96,1,1:42.0,,E. İlyasova makes 2-pt jump shot from 7 ft,18,27
97,1,1:35.0,Shooting foul by E. İlyasova (drawn by B. Adebayo),,18,27
98,1,1:35.0,B. Adebayo misses free throw 1 of 2,,18,27
99,1,1:35.0,Offensive rebound by Team,,18,27
100,1,1:35.0,,R. Holmes enters the game for A. Johnson,18,27
101,1,1:35.0,B. Adebayo misses free throw 2 of 2,,18,27
102,1,1:33.0,,Defensive rebound by R. Holmes,18,27
103,1,1:11.0,,M. Fultz misses 2-pt jump shot from 14 ft,18,27
104,1,1:07.0,Defensive rebound by D. Wade,,18,27
105,1,1:01.0,D. Wade makes 2-pt layup at rim,,20,27
106,1,0:48.0,,M. Belinelli misses 3-pt jump shot from 26 ft,20,27
107,1,0:45.0,,Offensive rebound by E. İlyasova,20,27
108,1,0:45.0,,E. İlyasova makes 2-pt layup at rim,20,29
109,1,0:33.0,Offensive foul by K. Olynyk (drawn by M. Belinelli),,20,29
110,1,0:33.0,Turnover by K. Olynyk (offensive foul),,20,29
111,1,0:24.0,,M. Fultz misses 2-pt layup at rim,20,29
112,1,0:22.0,Defensive rebound by J. Winslow,,20,29
113,1,0:04.0,Personal foul by R. Holmes (drawn by K. Olynyk),,20,29
114,1,0:04.0,K. Olynyk makes free throw 1 of 2,,21,29
115,1,0:04.0,R. McGruder enters the game for W. Ellington,,21,29
116,1,0:04.0,K. Olynyk makes free throw 2 of 2,,22,29
117,1,0:00.0,,M. Fultz misses 2-pt layup from 1 ft,22,29
118,1,0:00.0,,Offensive rebound by Team,22,29
119,2,11:46.0,,D. Šarić misses 2-pt jump shot from 14 ft,22,29
120,2,11:44.0,Defensive rebound by D. Wade,,22,29
121,2,11:26.0,K. Olynyk misses 2-pt jump shot from 6 ft,,22,29
122,2,11:21.0,Offensive rebound by B. Adebayo,,22,29
123,2,11:21.0,B. Adebayo misses 2-pt layup at rim,,22,29
124,2,11:20.0,Offensive rebound by B. Adebayo,,22,29
125,2,11:20.0,B. Adebayo misses 2-pt layup at rim,,22,29
126,2,11:19.0,Offensive rebound by B. Adebayo,,22,29
127,2,11:19.0,B. Adebayo misses 2-pt layup at rim,,22,29
128,2,11:19.0,,Defensive rebound by D. Šarić,22,29
129,2,11:13.0,Violation by K. Olynyk (kicked ball),,22,29
130,2,11:13.0,H. Whiteside enters the game for B. Adebayo,,22,29
131,2,11:04.0,,J. Redick misses 3-pt jump shot from 26 ft,22,29
132,2,11:03.0,Defensive rebound by Team,,22,29
133,2,11:03.0,,Loose ball foul by R. Holmes (drawn by H. Whiteside),22,29
