,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MIAMI_ACTION,GOLDEN STATE_SCORE,MIAMI_SCORE
0,1,11:32.0,,J. Richardson misses 2-pt jump shot from 19 ft,0,0
1,1,11:32.0,Defensive rebound by Team,,0,0
2,1,11:22.0,S. Curry misses 2-pt layup from 1 ft,,0,0
3,1,11:20.0,,Defensive rebound by J. Winslow,0,0
4,1,11:13.0,,B. Adebayo misses 2-pt hook shot from 7 ft,0,0
5,1,11:13.0,Defensive rebound by K. Thompson,,0,0
6,1,11:01.0,D. Green misses 3-pt jump shot from 26 ft,,0,0
7,1,10:58.0,Offensive rebound by Z. Pachulia,,0,0
8,1,10:58.0,Turnover by K. Durant (bad pass; steal by G. Dragić),,0,0
9,1,10:57.0,,Personal foul by S. Curry (drawn by G. Dragić),0,0
10,1,10:46.0,,G. Dragić makes 3-pt jump shot from 26 ft,0,3
11,1,10:26.0,K. Thompson misses 3-pt jump shot from 22 ft,,0,3
12,1,10:25.0,Offensive rebound by Team,,0,3
13,1,10:19.0,K. Durant misses 2-pt jump shot from 17 ft,,0,3
14,1,10:14.0,,Defensive rebound by B. Adebayo,0,3
15,1,10:09.0,,J. Winslow makes 3-pt jump shot from 22 ft (assist by G. Dragić),0,6
16,1,9:54.0,S. Curry makes 2-pt jump shot from 20 ft,,2,6
17,1,9:32.0,,G. Dragić misses 2-pt jump shot from 13 ft,2,6
18,1,9:30.0,,Offensive rebound by B. Adebayo,2,6
19,1,9:29.0,,B. Adebayo makes 2-pt layup from 1 ft,2,8
20,1,9:13.0,K. Durant misses 3-pt jump shot from 25 ft,,2,8
21,1,9:10.0,,Defensive rebound by D. Waiters,2,8
22,1,9:02.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Winslow),2,10
23,1,8:46.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),,5,10
24,1,8:31.0,,Shooting foul by Z. Pachulia (drawn by B. Adebayo),5,10
25,1,8:31.0,,B. Adebayo makes free throw 1 of 2,5,11
26,1,8:31.0,,B. Adebayo makes free throw 2 of 2,5,12
27,1,8:09.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by D. Green),,7,12
28,1,7:51.0,,D. Waiters misses 2-pt jump shot from 19 ft,7,12
29,1,7:48.0,Defensive rebound by Z. Pachulia,,7,12
30,1,7:41.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),,9,12
31,1,7:20.0,,G. Dragić makes 2-pt layup from 1 ft,9,14
32,1,7:06.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Green),,11,14
33,1,6:44.0,,J. Richardson makes 2-pt layup from 1 ft,11,16
34,1,6:27.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Durant),,13,16
35,1,6:27.0,Shooting foul by J. Winslow (drawn by Z. Pachulia),,13,16
36,1,6:27.0,,Miami full timeout,13,16
37,1,6:27.0,Z. Pachulia makes free throw 1 of 1,,14,16
38,1,6:10.0,,D. Waiters misses 2-pt jump shot from 17 ft,14,16
39,1,6:07.0,Defensive rebound by D. Green,,14,16
40,1,5:59.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,17,16
41,1,5:36.0,,G. Dragić makes 3-pt jump shot from 29 ft,17,19
42,1,5:35.0,,Shooting foul by K. Thompson (drawn by G. Dragić),17,19
