,QUARTER,TIME_REMAINING,DENVER_ACTION,BROOKLYN_ACTION,DENVER_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,D. Russell misses 2-pt jump shot from 11 ft,0,0
1,1,11:40.0,Defensive rebound by N. Jokić,,0,0
2,1,11:29.0,N. Jokić makes 2-pt jump shot from 14 ft,,2,0
3,1,11:22.0,,C. LeVert misses 2-pt layup from 4 ft,2,0
4,1,11:21.0,,Offensive rebound by T. Mozgov,2,0
5,1,11:21.0,,Personal foul by N. Jokić (drawn by T. Mozgov),2,0
6,1,11:15.0,,D. Russell misses 3-pt jump shot from 26 ft,2,0
7,1,11:13.0,Defensive rebound by P. Millsap,,2,0
8,1,11:01.0,W. Chandler misses 2-pt jump shot from 10 ft,,2,0
9,1,10:58.0,,Defensive rebound by T. Mozgov,2,0
10,1,10:49.0,,T. Mozgov misses 2-pt jump shot from 14 ft,2,0
11,1,10:46.0,Defensive rebound by P. Millsap,,2,0
12,1,10:35.0,J. Murray makes 2-pt layup from 3 ft,,4,0
13,1,10:14.0,,C. LeVert misses 2-pt jump shot from 12 ft,4,0
14,1,10:08.0,,Offensive rebound by R. Hollis-Jefferson,4,0
15,1,10:08.0,,R. Hollis-Jefferson makes 2-pt layup from 3 ft,4,2
16,1,9:51.0,N. Jokić misses 2-pt hook shot from 5 ft,,4,2
17,1,9:51.0,,Defensive rebound by C. LeVert,4,2
18,1,9:43.0,,C. LeVert misses 2-pt jump shot from 21 ft,4,2
19,1,9:40.0,Defensive rebound by P. Millsap,,4,2
20,1,9:28.0,P. Millsap misses 2-pt layup from 5 ft (block by C. LeVert),,4,2
21,1,9:26.0,,Defensive rebound by T. Mozgov,4,2
22,1,9:23.0,,C. LeVert makes 2-pt layup from 3 ft (assist by D. Russell),4,4
23,1,9:04.0,J. Murray misses 2-pt layup from 1 ft,,4,4
24,1,9:01.0,,Defensive rebound by D. Russell,4,4
25,1,8:56.0,,T. Mozgov makes 2-pt dunk from 1 ft (assist by R. Hollis-Jefferson),4,6
26,1,8:54.0,N. Jokić makes 2-pt jump shot from 2 ft,,6,6
27,1,8:54.0,,Turnover by D. Russell (bad pass; steal by W. Chandler),6,6
28,1,8:52.0,J. Murray makes 3-pt jump shot from 22 ft (assist by W. Chandler),,9,6
29,1,8:37.0,,C. LeVert makes 3-pt jump shot from 27 ft (assist by A. Crabbe),9,9
30,1,8:25.0,G. Harris makes 2-pt dunk from 1 ft (assist by N. Jokić),,11,9
31,1,8:10.0,,Turnover by D. Russell (traveling),11,9
32,1,7:59.0,J. Murray misses 2-pt jump shot from 15 ft,,11,9
33,1,7:56.0,,Defensive rebound by T. Mozgov,11,9
34,1,7:51.0,,A. Crabbe misses 3-pt jump shot from 30 ft,11,9
35,1,7:47.0,Defensive rebound by N. Jokić,,11,9
36,1,7:34.0,N. Jokić makes 2-pt jump shot from 10 ft (assist by J. Murray),,13,9
37,1,7:18.0,,R. Hollis-Jefferson makes 2-pt jump shot from 8 ft (assist by T. Mozgov),13,11
38,1,6:59.0,P. Millsap makes 2-pt hook shot from 3 ft,,15,11
39,1,6:58.0,,Brooklyn full timeout,15,11
40,1,6:38.0,,Turnover by T. Mozgov (lost ball; steal by G. Harris),15,11
41,1,6:30.0,G. Harris makes 2-pt layup from 8 ft,,17,11
42,1,6:21.0,,Turnover by D. Russell (bad pass; steal by W. Chandler),17,11
43,1,6:16.0,J. Murray misses 2-pt layup from 5 ft,,17,11
44,1,6:13.0,,Defensive rebound by T. Mozgov,17,11
45,1,6:10.0,,D. Russell misses 2-pt layup from 5 ft (block by P. Millsap),17,11
46,1,6:10.0,,Offensive rebound by R. Hollis-Jefferson,17,11
47,1,6:03.0,,R. Hollis-Jefferson makes 2-pt layup at rim,17,13
48,1,5:48.0,G. Harris misses 2-pt jump shot from 7 ft,,17,13
49,1,5:48.0,,Defensive rebound by D. Russell,17,13
50,1,5:48.0,,Personal foul by G. Harris (drawn by D. Russell),17,13
51,1,5:48.0,W. Barton enters the game for N. Jokić,,17,13
52,1,5:48.0,M. Plumlee enters the game for W. Chandler,,17,13
53,1,5:48.0,,J. Allen enters the game for T. Mozgov,17,13
54,1,5:48.0,,S. Dinwiddie enters the game for A. Crabbe,17,13
55,1,5:33.0,,R. Hollis-Jefferson makes 2-pt jump shot from 17 ft (assist by D. Russell),17,15
56,1,5:15.0,P. Millsap misses 2-pt jump shot from 14 ft,,17,15
57,1,5:15.0,Offensive rebound by Team,,17,15
58,1,5:15.0,,Loose ball foul by J. Allen (drawn by M. Plumlee),17,15
59,1,5:05.0,J. Murray makes 3-pt jump shot from 25 ft (assist by P. Millsap),,20,15
60,1,4:52.0,,Personal foul by W. Barton (drawn by C. LeVert),20,15
61,1,4:52.0,,T. Booker enters the game for R. Hollis-Jefferson,20,15
62,1,4:44.0,,D. Russell makes 2-pt jump shot from 12 ft,20,17
63,1,4:32.0,G. Harris makes 2-pt layup from 1 ft (assist by P. Millsap),,22,17
64,1,4:18.0,,S. Dinwiddie makes 3-pt jump shot from 22 ft (assist by D. Russell),22,20
65,1,3:59.0,M. Plumlee makes 2-pt hook shot from 5 ft,,24,20
66,1,3:37.0,,Shooting foul by J. Murray (drawn by D. Russell),24,20
67,1,3:37.0,,D. Russell misses free throw 1 of 3,24,20
68,1,3:37.0,,Offensive rebound by Team,24,20
69,1,3:37.0,E. Mudiay enters the game for J. Murray,,24,20
70,1,3:37.0,,D. Russell makes free throw 2 of 3,24,21
71,1,3:37.0,,D. Russell misses free throw 3 of 3,24,21
72,1,3:35.0,Defensive rebound by M. Plumlee,,24,21
73,1,3:20.0,W. Barton misses 2-pt jump shot from 14 ft,,24,21
74,1,3:20.0,Offensive rebound by W. Barton,,24,21
75,1,3:20.0,Shooting foul by J. Allen (drawn by W. Barton),,24,21
76,1,3:20.0,W. Barton makes free throw 1 of 2,,25,21
77,1,3:20.0,,J. Harris enters the game for D. Russell,25,21
78,1,3:20.0,W. Barton misses free throw 2 of 2,,25,21
79,1,3:20.0,N. Jokić enters the game for P. Millsap,,25,21
80,1,3:20.0,W. Chandler enters the game for G. Harris,,25,21
81,1,3:14.0,,Defensive rebound by S. Dinwiddie,25,21
82,1,3:09.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),25,24
83,1,2:48.0,N. Jokić misses 2-pt layup from 8 ft (block by T. Booker),,25,24
84,1,2:43.0,,Defensive rebound by S. Dinwiddie,25,24
85,1,2:41.0,,C. LeVert makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),25,27
86,1,2:41.0,Denver full timeout,,25,27
87,1,2:41.0,,S. Kilpatrick enters the game for C. LeVert,25,27
88,1,2:32.0,N. Jokić misses 2-pt jump shot from 21 ft,,25,27
89,1,2:29.0,,Defensive rebound by S. Kilpatrick,25,27
90,1,2:20.0,,J. Allen misses 2-pt layup from 3 ft,25,27
91,1,2:15.0,,Offensive rebound by J. Allen,25,27
92,1,2:15.0,,J. Allen makes 2-pt layup at rim,25,29
93,1,2:10.0,Turnover by N. Jokić (bad pass; steal by T. Booker),,25,29
94,1,2:10.0,,Personal foul by N. Jokić (drawn by T. Booker),25,29
95,1,2:10.0,P. Millsap enters the game for N. Jokić,,25,29
96,1,2:10.0,,T. Booker misses free throw 1 of 2,25,29
97,1,2:10.0,,Offensive rebound by Team,25,29
98,1,2:10.0,,T. Booker misses free throw 2 of 2,25,29
99,1,2:08.0,Defensive rebound by M. Plumlee,,25,29
100,1,2:01.0,E. Mudiay makes 2-pt jump shot from 14 ft,,27,29
101,1,1:45.0,,S. Kilpatrick makes 2-pt layup from 3 ft (assist by J. Harris),27,31
102,1,1:35.0,Personal foul by J. Allen (drawn by M. Plumlee),,27,31
103,1,1:35.0,,T. Mozgov enters the game for J. Allen,27,31
104,1,1:30.0,E. Mudiay misses 2-pt layup from 6 ft (block by T. Mozgov),,27,31
105,1,1:27.0,,Defensive rebound by T. Mozgov,27,31
106,1,1:24.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by S. Kilpatrick),27,34
107,1,1:08.0,W. Chandler misses 3-pt jump shot from 25 ft,,27,34
108,1,1:04.0,,Defensive rebound by T. Booker,27,34
109,1,0:58.0,,Turnover by T. Mozgov (traveling),27,34
110,1,0:47.0,M. Plumlee makes 2-pt hook shot from 5 ft,,29,34
111,1,0:29.0,,T. Booker makes 2-pt hook shot from 6 ft (assist by S. Dinwiddie),29,36
