,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:34.0,,G. Hill misses 3-pt jump shot from 20 ft,0,0
1,1,11:30.0,Defensive rebound by M. Chriss,,0,0
2,1,11:15.0,D. Booker misses 2-pt jump shot from 19 ft,,0,0
3,1,11:15.0,,Defensive rebound by F. Mason,0,0
4,1,11:04.0,,S. Labissière makes 2-pt dunk from 2 ft (assist by Z. Randolph),0,2
5,1,10:51.0,D. Booker misses 2-pt layup from 2 ft,,0,2
6,1,10:49.0,,Defensive rebound by S. Labissière,0,2
7,1,10:30.0,,G. Hill makes 2-pt jump shot from 18 ft,0,4
8,1,10:09.0,T. Ulis makes 2-pt jump shot from 4 ft,,2,4
9,1,9:47.0,,Z. Randolph misses 3-pt jump shot from 25 ft,2,4
10,1,9:45.0,Defensive rebound by D. Booker,,2,4
11,1,9:30.0,D. Booker misses 2-pt layup from 2 ft,,2,4
12,1,9:26.0,Offensive rebound by T. Chandler,,2,4
13,1,9:24.0,T. Chandler misses 2-pt dunk from 2 ft,,2,4
14,1,9:24.0,,Defensive rebound by G. Temple,2,4
15,1,9:22.0,,F. Mason makes 2-pt layup from 3 ft (assist by G. Temple),2,6
16,1,9:03.0,T. Warren makes 2-pt jump shot from 17 ft (assist by M. Chriss),,4,6
17,1,8:48.0,,G. Temple misses 3-pt jump shot from 24 ft,4,6
18,1,8:46.0,Defensive rebound by T. Chandler,,4,6
19,1,8:46.0,Shooting foul by G. Temple (drawn by D. Booker),,4,6
20,1,8:46.0,D. Booker makes free throw 1 of 2,,5,6
21,1,8:46.0,D. Booker misses free throw 2 of 2,,5,6
22,1,8:41.0,Offensive rebound by M. Chriss,,5,6
23,1,8:38.0,D. Booker makes 3-pt jump shot from 24 ft (assist by M. Chriss),,8,6
24,1,8:18.0,,S. Labissière makes 2-pt layup from 1 ft (assist by G. Temple),8,8
25,1,8:06.0,Shooting foul by F. Mason (drawn by T. Warren),,8,8
26,1,8:06.0,T. Warren misses free throw 1 of 2,,8,8
27,1,8:06.0,Offensive rebound by Team,,8,8
28,1,8:06.0,T. Warren makes free throw 2 of 2,,9,8
29,1,7:48.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by F. Mason),9,11
30,1,7:34.0,Personal foul by Z. Randolph (drawn by T. Chandler),,9,11
31,1,7:22.0,D. Booker misses 2-pt jump shot from 11 ft (block by G. Temple),,9,11
32,1,7:18.0,,Defensive rebound by S. Labissière,9,11
33,1,7:10.0,,S. Labissière makes 2-pt jump shot from 11 ft (assist by Z. Randolph),9,13
34,1,6:54.0,T. Warren makes 2-pt jump shot from 14 ft (assist by D. Booker),,11,13
35,1,6:42.0,,G. Hill misses 2-pt jump shot from 17 ft,11,13
36,1,6:39.0,Defensive rebound by T. Chandler,,11,13
37,1,6:37.0,Turnover by T. Chandler (bad pass; steal by F. Mason),,11,13
38,1,6:30.0,,Z. Randolph misses 2-pt jump shot from 20 ft,11,13
39,1,6:24.0,,Offensive rebound by S. Labissière,11,13
40,1,6:23.0,,S. Labissière makes 2-pt dunk from 2 ft,11,15
41,1,6:08.0,D. Booker misses 3-pt jump shot from 23 ft,,11,15
42,1,6:08.0,Offensive rebound by T. Chandler,,11,15
43,1,6:04.0,T. Ulis makes 3-pt jump shot from 25 ft (assist by T. Chandler),,14,15
44,1,5:38.0,,G. Hill misses 2-pt jump shot from 6 ft,14,15
45,1,5:38.0,Defensive rebound by T. Chandler,,14,15
46,1,5:27.0,T. Ulis misses 2-pt layup from 3 ft,,14,15
47,1,5:27.0,Offensive rebound by T. Chandler,,14,15
48,1,5:20.0,T. Chandler makes 2-pt layup at rim,,16,15
49,1,5:06.0,,Z. Randolph misses 2-pt layup from 3 ft,16,15
50,1,5:06.0,,Offensive rebound by S. Labissière,16,15
51,1,5:06.0,,S. Labissière misses 2-pt layup at rim,16,15
52,1,5:06.0,Defensive rebound by Team,,16,15
53,1,5:06.0,,Loose ball foul by S. Labissière (drawn by T. Chandler),16,15
54,1,5:06.0,,Sacramento full timeout,16,15
55,1,5:06.0,J. Jackson enters the game for T. Warren,,16,15
56,1,4:47.0,M. Chriss makes 3-pt jump shot from 25 ft (assist by D. Booker),,19,15
57,1,4:28.0,,Shooting foul by T. Chandler (drawn by S. Labissière),19,15
58,1,4:28.0,,S. Labissière makes free throw 1 of 2,19,16
59,1,4:28.0,,B. Bogdanović enters the game for F. Mason,19,16
60,1,4:28.0,,S. Labissière makes free throw 2 of 2,19,17
61,1,4:08.0,J. Jackson misses 2-pt jump shot from 11 ft,,19,17
62,1,4:06.0,Offensive rebound by T. Ulis,,19,17
63,1,4:05.0,Shooting foul by G. Hill (drawn by T. Chandler),,19,17
64,1,4:05.0,T. Chandler makes free throw 1 of 2,,20,17
65,1,4:05.0,,W. Cauley-Stein enters the game for S. Labissière,20,17
66,1,4:05.0,T. Chandler makes free throw 2 of 2,,21,17
67,1,3:49.0,,G. Temple makes 2-pt jump shot from 14 ft,21,19
68,1,3:24.0,J. Jackson misses 2-pt hook shot from 7 ft,,21,19
69,1,3:23.0,,Defensive rebound by Z. Randolph,21,19
70,1,3:17.0,,Shooting foul by M. Chriss (drawn by Z. Randolph),21,19
71,1,3:17.0,,Z. Randolph makes free throw 1 of 2,21,20
72,1,3:17.0,,B. Hield enters the game for G. Temple,21,20
73,1,3:17.0,A. Len enters the game for M. Chriss,,21,20
74,1,3:17.0,D. Bender enters the game for T. Chandler,,21,20
75,1,3:17.0,I. Canaan enters the game for T. Ulis,,21,20
76,1,3:17.0,,Z. Randolph makes free throw 2 of 2,21,21
77,1,2:59.0,D. Booker misses 2-pt jump shot from 16 ft,,21,21
78,1,2:53.0,Offensive rebound by A. Len,,21,21
79,1,2:53.0,A. Len misses 2-pt layup at rim,,21,21
80,1,2:52.0,,Defensive rebound by B. Bogdanović,21,21
81,1,2:47.0,,B. Bogdanović makes 2-pt jump shot from 18 ft,21,23
82,1,2:40.0,D. Booker makes 2-pt jump shot from 6 ft (assist by J. Jackson),,23,23
83,1,2:40.0,Shooting foul by B. Bogdanović (drawn by D. Booker),,23,23
84,1,2:40.0,Phoenix full timeout,,23,23
85,1,2:40.0,,K. Koufos enters the game for Z. Randolph,23,23
86,1,2:40.0,D. Booker makes free throw 1 of 1,,24,23
87,1,2:22.0,,G. Hill misses 3-pt jump shot from 23 ft,24,23
88,1,2:18.0,Defensive rebound by J. Jackson,,24,23
89,1,2:10.0,Personal foul by B. Bogdanović (drawn by I. Canaan),,24,23
90,1,2:10.0,I. Canaan makes free throw 1 of 2,,25,23
91,1,2:10.0,I. Canaan makes free throw 2 of 2,,26,23
92,1,1:57.0,,B. Hield makes 2-pt layup from 1 ft (assist by B. Bogdanović),26,25
93,1,1:37.0,Shooting foul by K. Koufos (drawn by A. Len),,26,25
94,1,1:37.0,A. Len makes free throw 1 of 2,,27,25
95,1,1:37.0,T. Warren enters the game for D. Booker,,27,25
96,1,1:37.0,T. Daniels enters the game for J. Jackson,,27,25
97,1,1:37.0,A. Len misses free throw 2 of 2,,27,25
98,1,1:32.0,Offensive rebound by T. Warren,,27,25
99,1,1:23.0,D. Bender makes 3-pt jump shot from 25 ft (assist by I. Canaan),,30,25
100,1,1:05.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,30,25
101,1,1:02.0,Defensive rebound by I. Canaan,,30,25
102,1,0:47.0,D. Bender makes 3-pt jump shot from 24 ft (assist by I. Canaan),,33,25
103,1,0:37.0,,G. Hill misses 2-pt jump shot from 19 ft,33,25
104,1,0:32.0,Defensive rebound by T. Warren,,33,25
105,1,0:28.0,T. Warren makes 2-pt jump shot from 7 ft,,35,25
106,1,0:06.0,,G. Hill misses 3-pt jump shot from 23 ft,35,25
107,1,0:03.0,Defensive rebound by A. Len,,35,25
108,2,11:42.0,T. Daniels makes 2-pt jump shot from 13 ft (assist by A. Len),,37,25
109,2,11:21.0,,B. Hield misses 2-pt jump shot from 16 ft,37,25
110,2,11:21.0,Defensive rebound by T. Warren,,37,25
111,2,11:14.0,T. Warren makes 2-pt layup from 6 ft,,39,25
112,2,10:58.0,,K. Koufos makes 2-pt hook shot from 4 ft,39,27
113,2,10:48.0,Turnover by D. Bender (traveling),,39,27
114,2,10:39.0,,Personal foul by I. Canaan (drawn by F. Mason),39,27
115,2,10:29.0,,W. Cauley-Stein makes 2-pt jump shot from 6 ft,39,29
116,2,10:09.0,T. Daniels misses 3-pt jump shot from 23 ft,,39,29
117,2,10:05.0,,Defensive rebound by F. Mason,39,29
118,2,9:59.0,,F. Mason misses 3-pt jump shot from 26 ft,39,29
119,2,9:58.0,Defensive rebound by Team,,39,29
120,2,9:46.0,T. Daniels misses 3-pt jump shot from 24 ft,,39,29
121,2,9:46.0,,Defensive rebound by W. Cauley-Stein,39,29
122,2,9:24.0,,B. Bogdanović misses 2-pt layup from 1 ft,39,29
123,2,9:24.0,Defensive rebound by D. Bender,,39,29
124,2,9:18.0,T. Warren makes 2-pt jump shot from 7 ft (assist by I. Canaan),,41,29
125,2,9:00.0,,K. Koufos makes 2-pt jump shot from 12 ft (assist by F. Mason),41,31
126,2,8:49.0,T. Daniels misses 3-pt jump shot from 25 ft,,41,31
127,2,8:49.0,,Defensive rebound by B. Hield,41,31
128,2,8:46.0,,Personal foul by T. Daniels (drawn by B. Hield),41,31
129,2,8:40.0,,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by F. Mason),41,33
130,2,8:14.0,D. Bender misses 3-pt jump shot from 23 ft,,41,33
131,2,8:09.0,Offensive rebound by I. Canaan,,41,33
132,2,8:07.0,I. Canaan misses 3-pt jump shot from 23 ft,,41,33
133,2,8:07.0,,Defensive rebound by F. Mason,41,33
134,2,8:02.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,41,33
135,2,7:58.0,Defensive rebound by A. Len,,41,33
136,2,7:50.0,T. Warren makes 2-pt jump shot from 14 ft (assist by I. Canaan),,43,33
137,2,7:38.0,,K. Koufos makes 2-pt layup from 1 ft (assist by F. Mason),43,35
138,2,7:19.0,T. Warren misses 2-pt jump shot from 21 ft,,43,35
139,2,7:19.0,,Defensive rebound by W. Cauley-Stein,43,35
140,2,7:09.0,,F. Mason misses 2-pt layup from 1 ft,43,35
141,2,7:07.0,Defensive rebound by A. Len,,43,35
142,2,7:03.0,Turnover by D. Bender (out of bounds lost ball),,43,35
143,2,7:03.0,,Sacramento full timeout,43,35
144,2,7:03.0,T. Ulis enters the game for I. Canaan,,43,35
