,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft,,2,0
1,1,11:27.0,,K. Durant misses 3-pt jump shot from 27 ft,2,0
2,1,11:23.0,Defensive rebound by T. Snell,,2,0
3,1,11:21.0,Personal foul by P. McCaw (drawn by G. Antetokounmpo),,2,0
4,1,11:13.0,G. Antetokounmpo makes 3-pt jump shot from 24 ft (assist by J. Henson),,5,0
5,1,10:59.0,,Turnover by P. McCaw (bad pass; steal by G. Antetokounmpo),5,0
6,1,10:45.0,K. Middleton makes 2-pt jump shot from 10 ft (assist by E. Bledsoe),,7,0
7,1,10:33.0,,Personal foul by K. Middleton (drawn by D. Green),7,0
8,1,10:23.0,,J. McGee misses 2-pt layup from 2 ft,7,0
9,1,10:17.0,Defensive rebound by T. Snell,,7,0
10,1,10:04.0,G. Antetokounmpo misses 2-pt jump shot from 11 ft,,7,0
11,1,10:02.0,,Defensive rebound by D. Green,7,0
12,1,9:56.0,,K. Durant misses 2-pt jump shot from 21 ft,7,0
13,1,9:52.0,Defensive rebound by J. Henson,,7,0
14,1,9:52.0,Turnover by T. Snell (traveling),,7,0
15,1,9:35.0,,J. McGee makes 2-pt dunk from 2 ft (assist by K. Durant),7,2
16,1,9:16.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,10,2
17,1,9:03.0,,K. Durant makes 3-pt jump shot from 28 ft (assist by Q. Cook),10,5
18,1,8:41.0,E. Bledsoe misses 2-pt jump shot from 10 ft,,10,5
19,1,8:35.0,,Defensive rebound by Q. Cook,10,5
20,1,8:35.0,,Personal foul by E. Bledsoe (drawn by K. Durant),10,5
21,1,8:19.0,,Q. Cook makes 3-pt jump shot from 27 ft (assist by K. Durant),10,8
22,1,8:06.0,K. Middleton makes 2-pt jump shot from 14 ft (assist by E. Bledsoe),,12,8
23,1,7:46.0,,Q. Cook makes 3-pt jump shot from 27 ft (assist by D. Green),12,11
24,1,7:35.0,K. Middleton misses 2-pt jump shot from 14 ft (block by D. Green),,12,11
25,1,7:33.0,,Defensive rebound by Q. Cook,12,11
26,1,7:16.0,,P. McCaw makes 3-pt jump shot from 23 ft (assist by D. Green),12,14
27,1,6:58.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by J. McGee),,12,14
28,1,6:55.0,,Defensive rebound by K. Durant,12,14
29,1,6:54.0,,K. Durant misses 2-pt jump shot from 14 ft,12,14
30,1,6:53.0,Defensive rebound by J. Henson,,12,14
31,1,6:52.0,Turnover by J. Henson (step out of bounds),,12,14
32,1,6:51.0,,Golden State full timeout,12,14
33,1,6:44.0,,J. McGee makes 2-pt layup from 2 ft (assist by K. Durant),12,16
34,1,6:31.0,Personal foul by Q. Cook (drawn by G. Antetokounmpo),,12,16
35,1,6:20.0,G. Antetokounmpo makes 2-pt hook shot from 7 ft,,14,16
36,1,5:55.0,,Turnover by Q. Cook (bad pass; steal by K. Middleton),14,16
