,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,,D. Green misses 2-pt jump shot from 20 ft,0,0
1,1,11:32.0,Defensive rebound by L. Mbah a Moute,,0,0
2,1,11:26.0,C. Capela misses 2-pt layup from 1 ft (block by P. Gasol),,0,0
3,1,11:21.0,,Defensive rebound by K. Anderson,0,0
4,1,11:17.0,,D. Green makes 2-pt layup at rim (assist by P. Gasol),0,2
5,1,10:58.0,Turnover by C. Capela (bad pass; steal by P. Gasol),,0,2
6,1,10:50.0,,D. Green misses 3-pt jump shot from 26 ft,0,2
7,1,10:47.0,Defensive rebound by C. Capela,,0,2
8,1,10:42.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,0,2
9,1,10:42.0,,Defensive rebound by P. Gasol,0,2
10,1,10:20.0,,L. Aldridge misses 2-pt jump shot from 13 ft,0,2
11,1,10:20.0,Defensive rebound by C. Capela,,0,2
12,1,10:02.0,Turnover by C. Paul (bad pass; steal by D. Green),,0,2
13,1,9:51.0,,L. Aldridge misses 2-pt jump shot from 13 ft,0,2
14,1,9:49.0,,Offensive rebound by D. Murray,0,2
15,1,9:43.0,,D. Green makes 2-pt jump shot from 6 ft (assist by K. Anderson),0,4
16,1,9:38.0,Turnover by C. Paul (bad pass; steal by D. Green),,0,4
17,1,9:36.0,,D. Green misses 2-pt layup at rim (block by C. Capela),0,4
18,1,9:35.0,,Offensive rebound by Team,0,4
19,1,9:29.0,,Turnover by P. Gasol (bad pass; steal by L. Mbah a Moute),0,4
20,1,9:07.0,J. Harden makes 3-pt jump shot from 25 ft,,3,4
21,1,8:47.0,,Shooting foul by C. Paul (drawn by D. Murray),3,4
22,1,8:47.0,,D. Murray misses free throw 1 of 2,3,4
23,1,8:47.0,,Offensive rebound by Team,3,4
24,1,8:47.0,,D. Murray misses free throw 2 of 2,3,4
25,1,8:46.0,Defensive rebound by C. Paul,,3,4
26,1,8:37.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by J. Harden),,6,4
27,1,8:17.0,,Turnover by P. Gasol (bad pass; steal by C. Paul),6,4
28,1,8:11.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,9,4
29,1,8:10.0,,San Antonio full timeout,9,4
30,1,7:42.0,,K. Anderson makes 2-pt jump shot from 11 ft,9,6
31,1,7:20.0,J. Harden makes 2-pt jump shot from 2 ft,,11,6
32,1,7:05.0,,L. Aldridge makes 2-pt layup at rim,11,8
33,1,6:51.0,C. Paul misses 2-pt jump shot from 16 ft,,11,8
34,1,6:51.0,,Defensive rebound by D. Green,11,8
35,1,6:38.0,,L. Aldridge misses 2-pt jump shot from 11 ft,11,8
36,1,6:38.0,Defensive rebound by C. Capela,,11,8
37,1,6:32.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Capela),,13,8
38,1,6:09.0,,D. Green makes 2-pt layup at rim (assist by L. Aldridge),13,10
39,1,5:57.0,C. Paul misses 3-pt jump shot from 23 ft,,13,10
40,1,5:53.0,,Defensive rebound by L. Aldridge,13,10
41,1,5:33.0,,L. Aldridge misses 2-pt jump shot from 11 ft,13,10
42,1,5:33.0,Defensive rebound by C. Capela,,13,10
43,1,5:21.0,C. Capela makes 2-pt layup from 1 ft (assist by L. Mbah a Moute),,15,10
44,1,5:04.0,,Turnover by P. Gasol (lost ball; steal by J. Harden),15,10
45,1,4:56.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,18,10
46,1,4:32.0,,L. Aldridge makes 2-pt layup at rim,18,12
47,1,4:30.0,Houston full timeout,,18,12
48,1,4:30.0,,D. Bertāns enters the game for D. Murray,18,12
49,1,4:30.0,,T. Parker enters the game for D. Green,18,12
50,1,4:30.0,,M. Ginóbili enters the game for P. Gasol,18,12
51,1,4:30.0,N. Hilário enters the game for C. Paul,,18,12
52,1,4:30.0,G. Green enters the game for L. Mbah a Moute,,18,12
53,1,4:30.0,P. Tucker enters the game for C. Capela,,18,12
54,1,4:09.0,Turnover by J. Harden (lost ball; steal by K. Anderson),,18,12
55,1,4:04.0,,T. Parker misses 2-pt jump shot from 20 ft,18,12
56,1,3:59.0,Defensive rebound by Team,,18,12
57,1,3:59.0,,Loose ball foul by D. Bertāns (drawn by N. Hilário),18,12
58,1,3:42.0,J. Harden makes 2-pt jump shot from 15 ft,,20,12
59,1,3:20.0,,L. Aldridge makes 2-pt jump shot from 9 ft (assist by M. Ginóbili),20,14
60,1,3:05.0,R. Anderson misses 3-pt jump shot from 25 ft,,20,14
61,1,3:01.0,,Defensive rebound by D. Bertāns,20,14
62,1,2:52.0,,K. Anderson misses 2-pt jump shot from 1 ft,20,14
63,1,2:48.0,Defensive rebound by P. Tucker,,20,14
