,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PORTLAND_ACTION,PHILADELPHIA_SCORE,PORTLAND_SCORE
0,1,11:38.0,,Turnover by S. Napier (bad pass; steal by D. Šarić),0,0
1,1,11:36.0,Turnover by D. Šarić (traveling),,0,0
2,1,11:29.0,,J. Nurkić misses 2-pt jump shot from 22 ft,0,0
3,1,11:26.0,Defensive rebound by J. Embiid,,0,0
4,1,11:14.0,B. Simmons misses 2-pt jump shot from 14 ft,,0,0
5,1,11:11.0,,Defensive rebound by A. Aminu,0,0
6,1,10:59.0,,E. Turner misses 2-pt jump shot from 12 ft,0,0
7,1,10:57.0,Defensive rebound by J. Embiid,,0,0
8,1,10:47.0,J. Embiid makes 3-pt jump shot from 24 ft (assist by R. Covington),,3,0
9,1,10:28.0,,C. McCollum makes 2-pt jump shot from 17 ft (assist by E. Turner),3,2
10,1,10:16.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),,6,2
11,1,9:53.0,,C. McCollum misses 2-pt jump shot from 7 ft,6,2
12,1,9:47.0,,Offensive rebound by J. Nurkić,6,2
13,1,9:47.0,,J. Nurkić misses 2-pt layup at rim,6,2
14,1,9:46.0,Defensive rebound by D. Šarić,,6,2
15,1,9:39.0,J. Redick makes 2-pt jump shot from 21 ft,,8,2
16,1,9:27.0,,Shooting foul by J. Embiid (drawn by J. Nurkić),8,2
17,1,9:27.0,,J. Nurkić makes free throw 1 of 2,8,3
18,1,9:27.0,,J. Nurkić makes free throw 2 of 2,8,4
19,1,9:12.0,B. Simmons misses 2-pt jump shot from 3 ft,,8,4
20,1,9:10.0,Offensive rebound by B. Simmons,,8,4
21,1,9:02.0,J. Embiid misses 3-pt jump shot from 24 ft,,8,4
22,1,9:01.0,,Defensive rebound by J. Nurkić,8,4
23,1,8:52.0,,J. Nurkić misses 2-pt layup from 2 ft (block by J. Embiid),8,4
24,1,8:50.0,Defensive rebound by B. Simmons,,8,4
25,1,8:46.0,D. Šarić makes 2-pt layup at rim (assist by B. Simmons),,10,4
26,1,8:26.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by S. Napier),10,6
27,1,8:09.0,J. Embiid makes 3-pt jump shot from 24 ft (assist by B. Simmons),,13,6
28,1,7:52.0,,C. McCollum makes 2-pt jump shot from 22 ft,13,8
29,1,7:45.0,B. Simmons misses 2-pt layup at rim,,13,8
30,1,7:43.0,,Defensive rebound by A. Aminu,13,8
31,1,7:29.0,,Shooting foul by R. Covington (drawn by C. McCollum),13,8
32,1,7:29.0,,C. McCollum makes free throw 1 of 2,13,9
33,1,7:29.0,T. McConnell enters the game for J. Redick,,13,9
34,1,7:29.0,,C. McCollum makes free throw 2 of 2,13,10
35,1,7:17.0,R. Covington misses 2-pt jump shot from 20 ft,,13,10
36,1,7:14.0,,Defensive rebound by C. McCollum,13,10
37,1,7:07.0,,S. Napier misses 3-pt jump shot from 24 ft,13,10
38,1,7:04.0,Defensive rebound by T. McConnell,,13,10
39,1,6:58.0,B. Simmons makes 2-pt layup at rim (assist by T. McConnell),,15,10
40,1,6:57.0,,Portland full timeout,15,10
41,1,6:57.0,,P. Connaughton enters the game for S. Napier,15,10
42,1,6:57.0,A. Johnson enters the game for J. Embiid,,15,10
43,1,6:37.0,,J. Nurkić misses 2-pt jump shot from 1 ft,15,10
44,1,6:36.0,Defensive rebound by D. Šarić,,15,10
45,1,6:14.0,A. Johnson makes 2-pt hook shot from 4 ft (assist by B. Simmons),,17,10
46,1,5:58.0,,E. Turner makes 2-pt jump shot from 15 ft (assist by C. McCollum),17,12
47,1,5:42.0,D. Šarić makes 2-pt jump shot from 19 ft (assist by T. McConnell),,19,12
48,1,5:23.0,,J. Nurkić misses 2-pt jump shot from 2 ft,19,12
