,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,UTAH_ACTION,BROOKLYN_SCORE,UTAH_SCORE
0,1,11:46.0,,D. Mitchell makes 2-pt layup from 1 ft,0,2
1,1,11:22.0,D. Russell misses 2-pt jump shot from 15 ft,,0,2
2,1,11:17.0,,Defensive rebound by T. Sefolosha,0,2
3,1,11:11.0,,R. Rubio makes 2-pt jump shot from 14 ft,0,4
4,1,10:49.0,Shooting foul by D. Mitchell (drawn by R. Hollis-Jefferson),,0,4
5,1,10:49.0,R. Hollis-Jefferson makes free throw 1 of 2,,1,4
6,1,10:49.0,R. Hollis-Jefferson makes free throw 2 of 2,,2,4
7,1,10:40.0,,D. Favors misses 2-pt jump shot from 7 ft,2,4
8,1,10:36.0,Defensive rebound by R. Hollis-Jefferson,,2,4
9,1,10:30.0,A. Crabbe makes 2-pt layup from 2 ft,,4,4
10,1,10:15.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),4,6
11,1,10:01.0,D. Carroll misses 3-pt jump shot from 25 ft,,4,6
12,1,9:58.0,,Defensive rebound by T. Sefolosha,4,6
13,1,9:50.0,,J. Ingles misses 2-pt layup from 3 ft,4,6
14,1,9:50.0,,Offensive rebound by D. Favors,4,6
15,1,9:45.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by R. Rubio),4,9
16,1,9:36.0,Personal foul by D. Favors (drawn by T. Mozgov),,4,9
17,1,9:34.0,R. Hollis-Jefferson misses 2-pt jump shot from 11 ft,,4,9
18,1,9:32.0,,Defensive rebound by D. Favors,4,9
19,1,9:14.0,,D. Mitchell misses 3-pt jump shot from 25 ft,4,9
20,1,9:11.0,Defensive rebound by T. Mozgov,,4,9
21,1,9:04.0,Turnover by D. Russell (lost ball; steal by D. Mitchell),,4,9
22,1,8:57.0,,J. Ingles misses 3-pt jump shot from 22 ft,4,9
23,1,8:54.0,Defensive rebound by D. Carroll,,4,9
24,1,8:38.0,Turnover by T. Mozgov (lost ball; steal by R. Rubio),,4,9
25,1,8:22.0,,R. Rubio misses 3-pt jump shot from 24 ft,4,9
26,1,8:18.0,,Offensive rebound by T. Sefolosha,4,9
27,1,8:13.0,,T. Sefolosha misses 2-pt layup from 2 ft (block by T. Mozgov),4,9
28,1,8:12.0,Defensive rebound by D. Russell,,4,9
29,1,8:12.0,Personal foul by R. Rubio (drawn by D. Russell),,4,9
30,1,8:02.0,D. Russell misses 2-pt jump shot from 22 ft,,4,9
31,1,8:00.0,,Defensive rebound by D. Favors,4,9
32,1,7:43.0,,Personal foul by D. Carroll (drawn by R. Rubio),4,9
33,1,7:39.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Mitchell),4,12
34,1,7:37.0,Brooklyn full timeout,,4,12
35,1,7:19.0,R. Hollis-Jefferson misses 2-pt jump shot from 11 ft,,4,12
36,1,7:16.0,,Defensive rebound by R. Rubio,4,12
37,1,7:06.0,,Turnover by D. Mitchell (bad pass; steal by T. Mozgov),4,12
38,1,6:51.0,D. Russell makes 2-pt layup from 4 ft,,6,12
39,1,6:36.0,,Turnover by D. Mitchell (bad pass; steal by R. Hollis-Jefferson),6,12
40,1,6:31.0,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Sefolosha),,6,12
41,1,6:30.0,,Turnover by T. Sefolosha (bad pass),6,12
42,1,6:30.0,T. Booker enters the game for R. Hollis-Jefferson,,6,12
43,1,6:17.0,Turnover by T. Mozgov (lost ball; steal by R. Rubio),,6,12
44,1,6:13.0,,Shooting foul by A. Crabbe (drawn by D. Mitchell),6,12
45,1,6:13.0,,D. Mitchell makes free throw 1 of 2,6,13
46,1,6:13.0,,J. Jerebko enters the game for J. Ingles,6,13
47,1,6:13.0,,R. Neto enters the game for R. Rubio,6,13
48,1,6:13.0,Q. Acy enters the game for T. Mozgov,,6,13
49,1,6:13.0,,D. Mitchell makes free throw 2 of 2,6,14
50,1,6:13.0,,J. Ingles enters the game for T. Sefolosha,6,14
51,1,6:05.0,D. Russell makes 3-pt jump shot from 25 ft (assist by T. Booker),,9,14
52,1,5:50.0,,J. Ingles makes 2-pt jump shot from 10 ft,9,16
53,1,5:32.0,T. Booker makes 2-pt hook shot from 6 ft,,11,16
54,1,5:17.0,,D. Mitchell misses 3-pt jump shot from 25 ft,11,16
55,1,5:13.0,Defensive rebound by T. Booker,,11,16
56,1,5:07.0,D. Russell makes 2-pt layup from 1 ft,,13,16
57,1,4:51.0,,Turnover by R. Neto (out of bounds lost ball),13,16
