,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SACRAMENTO_ACTION,ORLANDO_SCORE,SACRAMENTO_SCORE
0,1,11:37.0,,K. Koufos makes 2-pt dunk from 2 ft (assist by S. Labissière),0,2
1,1,11:22.0,M. Hezonja misses 2-pt layup from 2 ft (block by S. Labissière),,0,2
2,1,11:19.0,,Defensive rebound by S. Labissière,0,2
3,1,11:17.0,,Turnover by S. Labissière (out of bounds lost ball),0,2
4,1,10:58.0,M. Hezonja misses 2-pt layup at rim,,0,2
5,1,10:56.0,,Defensive rebound by S. Labissière,0,2
6,1,10:42.0,,G. Temple misses 2-pt jump shot from 6 ft,0,2
7,1,10:40.0,,Offensive rebound by B. Bogdanović,0,2
8,1,10:38.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),0,5
9,1,10:20.0,Personal foul by G. Temple (drawn by J. Simmons),,0,5
10,1,10:17.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by M. Hezonja),,2,5
11,1,10:03.0,,J. Jackson makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),2,7
12,1,9:37.0,J. Simmons misses 2-pt layup from 3 ft,,2,7
13,1,9:37.0,,Defensive rebound by B. Bogdanović,2,7
14,1,9:17.0,,B. Bogdanović misses 2-pt jump shot from 10 ft,2,7
15,1,9:17.0,Defensive rebound by M. Hezonja,,2,7
16,1,9:04.0,D. Augustin misses 2-pt jump shot from 8 ft,,2,7
17,1,9:01.0,,Defensive rebound by K. Koufos,2,7
18,1,8:55.0,,S. Labissière makes 2-pt hook shot from 2 ft (assist by B. Bogdanović),2,9
19,1,8:41.0,Turnover by N. Vučević (bad pass),,2,9
20,1,8:30.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,2,9
21,1,8:26.0,Defensive rebound by D. Augustin,,2,9
22,1,8:08.0,M. Hezonja misses 2-pt layup from 7 ft (block by J. Jackson),,2,9
23,1,8:05.0,,Defensive rebound by S. Labissière,2,9
24,1,8:02.0,,J. Jackson misses 2-pt jump shot from 7 ft,2,9
