,QUARTER,TIME_REMAINING,INDIANA_ACTION,BROOKLYN_ACTION,INDIANA_SCORE,BROOKLYN_SCORE
0,1,11:46.0,,D. Carroll misses 3-pt jump shot from 22 ft,0,0
1,1,11:40.0,Defensive rebound by D. Collison,,0,0
2,1,11:29.0,,Violation by T. Zeller (kicked ball),0,0
3,1,11:20.0,D. Collison makes 2-pt layup from 1 ft (assist by B. Bogdanović),,2,0
4,1,11:08.0,,Turnover by T. Zeller (lost ball; steal by D. Collison),2,0
5,1,11:02.0,V. Oladipo misses 3-pt jump shot from 25 ft,,2,0
6,1,10:57.0,Offensive rebound by T. Young,,2,0
7,1,10:57.0,T. Young misses 2-pt layup at rim,,2,0
8,1,10:56.0,,Defensive rebound by R. Hollis-Jefferson,2,0
9,1,10:42.0,,S. Dinwiddie misses 3-pt jump shot from 22 ft,2,0
10,1,10:38.0,,Offensive rebound by R. Hollis-Jefferson,2,0
11,1,10:35.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,2,0
12,1,10:33.0,Defensive rebound by M. Turner,,2,0
13,1,10:23.0,T. Young misses 2-pt jump shot from 13 ft,,2,0
14,1,10:19.0,,Defensive rebound by T. Zeller,2,0
15,1,10:04.0,,T. Zeller makes 2-pt layup from 1 ft (assist by S. Dinwiddie),2,2
16,1,10:04.0,,Shooting foul by B. Bogdanović (drawn by T. Zeller),2,2
17,1,10:04.0,,T. Zeller makes free throw 1 of 1,2,3
18,1,9:48.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,4,3
19,1,9:31.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by D. Carroll),4,6
20,1,9:19.0,V. Oladipo makes 2-pt jump shot from 8 ft (assist by D. Collison),,6,6
21,1,9:07.0,,A. Crabbe makes 2-pt jump shot from 6 ft (assist by S. Dinwiddie),6,8
22,1,8:55.0,Shooting foul by T. Zeller (drawn by M. Turner),,6,8
23,1,8:55.0,M. Turner makes free throw 1 of 2,,7,8
24,1,8:55.0,M. Turner makes free throw 2 of 2,,8,8
25,1,8:34.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Collison),8,8
26,1,8:29.0,Turnover by B. Bogdanović (lost ball; steal by S. Dinwiddie),,8,8
27,1,8:24.0,,D. Carroll misses 3-pt jump shot from 25 ft,8,8
28,1,8:21.0,Defensive rebound by V. Oladipo,,8,8
29,1,8:03.0,V. Oladipo misses 2-pt jump shot from 15 ft,,8,8
30,1,8:03.0,,Defensive rebound by D. Carroll,8,8
31,1,7:47.0,,T. Zeller misses 2-pt hook shot from 7 ft,8,8
32,1,7:44.0,Defensive rebound by B. Bogdanović,,8,8
33,1,7:35.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Young),,8,8
34,1,7:35.0,T. Young makes free throw 1 of 2,,9,8
35,1,7:35.0,T. Young misses free throw 2 of 2,,9,8
36,1,7:33.0,,Defensive rebound by R. Hollis-Jefferson,9,8
