,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MEMPHIS_ACTION,LA LAKERS_SCORE,MEMPHIS_SCORE
0,1,11:45.0,B. Lopez misses 2-pt hook shot from 12 ft,,0,0
1,1,11:43.0,Offensive rebound by J. Randle,,0,0
2,1,11:43.0,Shooting foul by J. Green (drawn by J. Randle),,0,0
3,1,11:43.0,J. Randle makes free throw 1 of 2,,1,0
4,1,11:43.0,J. Randle makes free throw 2 of 2,,2,0
5,1,11:31.0,,Personal foul by J. Randle (drawn by J. Green),2,0
6,1,11:17.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Green),2,3
7,1,10:49.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,2,3
8,1,10:47.0,,Defensive rebound by J. Green,2,3
9,1,10:37.0,,M. Gasol makes 2-pt jump shot from 13 ft (assist by T. Evans),2,5
10,1,10:19.0,J. Randle misses 2-pt jump shot from 11 ft,,2,5
11,1,10:13.0,Offensive rebound by J. Randle,,2,5
12,1,10:13.0,J. Randle makes 2-pt layup at rim,,4,5
13,1,10:03.0,,A. Harrison misses 2-pt jump shot from 18 ft,4,5
14,1,10:01.0,Defensive rebound by K. Caldwell-Pope,,4,5
15,1,9:52.0,J. Hart misses 3-pt jump shot from 25 ft,,4,5
16,1,9:50.0,,Defensive rebound by J. Green,4,5
17,1,9:38.0,,M. Gasol misses 2-pt jump shot from 8 ft,4,5
18,1,9:35.0,Defensive rebound by J. Randle,,4,5
19,1,9:19.0,B. Lopez misses 3-pt jump shot from 25 ft,,4,5
20,1,9:17.0,,Defensive rebound by J. Green,4,5
21,1,9:09.0,,D. Brooks makes 3-pt jump shot from 23 ft (assist by M. Gasol),4,8
22,1,8:52.0,J. Randle misses 3-pt jump shot from 25 ft,,4,8
23,1,8:48.0,,Defensive rebound by Team,4,8
24,1,8:27.0,,A. Harrison makes 3-pt jump shot from 23 ft (assist by T. Evans),4,11
25,1,8:26.0,LA Lakers full timeout,,4,11
26,1,8:02.0,J. Hart misses 2-pt jump shot from 16 ft,,4,11
27,1,7:59.0,,Defensive rebound by A. Harrison,4,11
28,1,7:55.0,,D. Brooks makes 2-pt layup at rim (assist by A. Harrison),4,13
29,1,7:45.0,T. Ennis makes 2-pt layup at rim,,6,13
30,1,7:20.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by T. Evans),6,15
31,1,6:48.0,T. Ennis makes 2-pt jump shot from 19 ft (assist by K. Caldwell-Pope),,8,15
32,1,6:38.0,,M. Gasol misses 2-pt jump shot from 14 ft,8,15
33,1,6:36.0,Defensive rebound by K. Caldwell-Pope,,8,15
34,1,6:36.0,Personal foul by A. Harrison (drawn by T. Ennis),,8,15
35,1,6:27.0,K. Caldwell-Pope makes 2-pt jump shot from 22 ft (assist by T. Ennis),,10,15
36,1,6:10.0,,D. Brooks makes 2-pt jump shot from 8 ft (assist by M. Gasol),10,17
37,1,6:01.0,B. Lopez misses 3-pt jump shot from 25 ft,,10,17
38,1,5:58.0,,Defensive rebound by J. Green,10,17
39,1,5:53.0,,Turnover by A. Harrison (bad pass),10,17
40,1,5:53.0,,M. Chalmers enters the game for J. Green,10,17
41,1,5:53.0,,J. Martin enters the game for T. Evans,10,17
42,1,5:53.0,C. Brewer enters the game for J. Hart,,10,17
43,1,5:38.0,T. Ennis misses 2-pt jump shot from 5 ft,,10,17
44,1,5:34.0,,Defensive rebound by A. Harrison,10,17
45,1,5:29.0,,Turnover by J. Martin (lost ball; steal by J. Randle),10,17
46,1,5:23.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft,,13,17
47,1,5:06.0,,Shooting foul by K. Caldwell-Pope (drawn by M. Gasol),13,17
48,1,5:06.0,,M. Gasol makes free throw 1 of 2,13,18
49,1,5:06.0,,W. Selden enters the game for A. Harrison,13,18
50,1,5:06.0,J. Clarkson enters the game for T. Ennis,,13,18
51,1,5:06.0,,M. Gasol makes free throw 2 of 2,13,19
52,1,4:53.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,16,19
53,1,4:36.0,,W. Selden makes 3-pt jump shot from 24 ft (assist by M. Gasol),16,22
54,1,4:23.0,J. Randle misses 2-pt hook shot from 6 ft,,16,22
55,1,4:18.0,,Defensive rebound by J. Martin,16,22
56,1,4:10.0,,M. Gasol misses 2-pt jump shot from 11 ft,16,22
57,1,4:06.0,Defensive rebound by J. Randle,,16,22
58,1,3:59.0,Shooting foul by D. Brooks (drawn by K. Caldwell-Pope),,16,22
59,1,3:59.0,K. Caldwell-Pope makes free throw 1 of 2,,17,22
60,1,3:59.0,,J. Ennis enters the game for D. Brooks,17,22
61,1,3:59.0,L. Nance enters the game for B. Lopez,,17,22
62,1,3:59.0,K. Kuzma enters the game for J. Randle,,17,22
63,1,3:59.0,K. Caldwell-Pope makes free throw 2 of 2,,18,22
64,1,3:43.0,,Shooting foul by C. Brewer (drawn by W. Selden),18,22
65,1,3:43.0,,W. Selden makes free throw 1 of 2,18,23
66,1,3:43.0,,W. Selden makes free throw 2 of 2,18,24
67,1,3:27.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,21,24
68,1,3:15.0,,Turnover by M. Gasol (bad pass),21,24
69,1,3:04.0,Turnover by J. Clarkson (bad pass; steal by M. Gasol),,21,24
70,1,3:04.0,,Turnover by M. Gasol (bad pass; steal by K. Kuzma),21,24
71,1,3:03.0,Turnover by K. Kuzma (bad pass; steal by W. Selden),,21,24
72,1,2:58.0,,J. Ennis makes 2-pt layup at rim (assist by W. Selden),21,26
73,1,2:44.0,J. Clarkson misses 2-pt jump shot from 8 ft,,21,26
74,1,2:43.0,,Defensive rebound by J. Ennis,21,26
75,1,2:34.0,,J. Martin makes 2-pt dunk at rim,21,28
76,1,2:34.0,LA Lakers full timeout,,21,28
77,1,2:34.0,,D. Davis enters the game for M. Gasol,21,28
78,1,2:23.0,J. Clarkson misses 2-pt jump shot from 21 ft,,21,28
79,1,2:18.0,,Defensive rebound by D. Davis,21,28
80,1,2:13.0,,Shooting foul by L. Nance (drawn by D. Davis),21,28
81,1,2:13.0,,D. Davis makes free throw 1 of 2,21,29
82,1,2:13.0,,D. Davis makes free throw 2 of 2,21,30
83,1,1:57.0,Turnover by J. Clarkson (bad pass; steal by M. Chalmers),,21,30
84,1,1:54.0,,Turnover by M. Chalmers (lost ball; steal by L. Nance),21,30
85,1,1:53.0,Shooting foul by D. Davis (drawn by L. Nance),,21,30
86,1,1:53.0,L. Nance misses free throw 1 of 2,,21,30
87,1,1:53.0,Offensive rebound by Team,,21,30
88,1,1:53.0,L. Nance makes free throw 2 of 2,,22,30
89,1,1:38.0,,M. Chalmers misses 2-pt jump shot from 7 ft,22,30
90,1,1:35.0,Defensive rebound by L. Nance,,22,30
91,1,1:33.0,Shooting foul by W. Selden (drawn by J. Clarkson),,22,30
92,1,1:33.0,J. Clarkson misses free throw 1 of 2,,22,30
93,1,1:33.0,Offensive rebound by Team,,22,30
94,1,1:33.0,J. Clarkson makes free throw 2 of 2,,23,30
95,1,1:19.0,,J. Martin makes 2-pt jump shot from 20 ft,23,32
96,1,1:10.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,23,32
97,1,1:06.0,Offensive rebound by L. Nance,,23,32
98,1,1:04.0,K. Kuzma misses 3-pt jump shot from 24 ft,,23,32
99,1,1:01.0,K. Kuzma misses 2-pt jump shot from 6 ft (block by D. Davis),,23,32
100,1,1:01.0,Offensive rebound by J. Clarkson,,23,32
101,1,1:00.0,,Defensive rebound by D. Davis,23,32
102,1,0:59.0,,Turnover by D. Davis (bad pass; steal by K. Caldwell-Pope),23,32
103,1,0:50.0,C. Brewer misses 2-pt layup from 2 ft (block by J. Ennis),,23,32
104,1,0:45.0,Offensive rebound by L. Nance,,23,32
105,1,0:45.0,L. Nance makes 2-pt layup from 13 ft,,25,32
106,1,0:39.0,,Personal foul by C. Brewer (drawn by W. Selden),25,32
107,1,0:39.0,,W. Selden makes free throw 1 of 2,25,33
108,1,0:39.0,,W. Selden makes free throw 2 of 2,25,34
109,1,0:34.0,L. Nance misses 2-pt dunk from 2 ft (block by D. Davis),,25,34
110,1,0:31.0,,Defensive rebound by M. Chalmers,25,34
111,1,0:29.0,,M. Chalmers misses 3-pt jump shot from 24 ft,25,34
112,1,0:26.0,Defensive rebound by C. Brewer,,25,34
113,1,0:09.0,C. Brewer misses 3-pt jump shot from 23 ft,,25,34
114,1,0:07.0,Offensive rebound by K. Kuzma,,25,34
115,1,0:07.0,K. Kuzma makes 2-pt layup at rim,,27,34
116,1,0:00.0,,M. Chalmers misses 2-pt layup from 6 ft,27,34
117,1,0:00.0,Defensive rebound by L. Nance,,27,34
118,2,11:35.0,,M. Chalmers makes 3-pt jump shot from 24 ft (assist by T. Evans),27,37
