,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHILADELPHIA_ACTION,BOSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:40.0,,R. Covington misses 2-pt layup from 11 ft (block by J. Tatum),0,0
1,1,11:34.0,Defensive rebound by K. Irving,,0,0
2,1,11:19.0,A. Horford misses 2-pt hook shot from 8 ft,,0,0
3,1,11:13.0,Offensive rebound by A. Baynes,,0,0
4,1,11:09.0,K. Irving makes 3-pt jump shot from 26 ft,,3,0
5,1,10:58.0,,J. Redick makes 2-pt jump shot from 16 ft (assist by R. Covington),3,2
6,1,10:58.0,,Shooting foul by J. Tatum (drawn by J. Redick),3,2
7,1,10:58.0,,J. Redick makes free throw 1 of 1,3,3
8,1,10:36.0,A. Horford misses 2-pt jump shot from 15 ft,,3,3
9,1,10:34.0,Offensive rebound by A. Baynes,,3,3
10,1,10:34.0,A. Baynes makes 2-pt dunk from 1 ft,,5,3
11,1,10:31.0,Shooting foul by J. Bayless (drawn by A. Baynes),,5,3
12,1,10:31.0,A. Baynes misses free throw 1 of 1,,5,3
13,1,10:31.0,,Defensive rebound by J. Embiid,5,3
14,1,10:23.0,,Turnover by B. Simmons (bad pass; steal by J. Brown),5,3
15,1,10:14.0,Personal foul by R. Covington (drawn by J. Brown),,5,3
16,1,10:05.0,A. Baynes misses 2-pt jump shot from 13 ft,,5,3
17,1,10:05.0,,Defensive rebound by B. Simmons,5,3
18,1,10:05.0,,Personal foul by A. Baynes (drawn by J. Embiid),5,3
19,1,10:01.0,,J. Embiid misses 3-pt jump shot from 27 ft,5,3
20,1,9:59.0,Defensive rebound by K. Irving,,5,3
21,1,9:53.0,A. Baynes makes 2-pt jump shot from 19 ft (assist by K. Irving),,7,3
22,1,9:38.0,,J. Embiid misses 2-pt jump shot from 19 ft,7,3
23,1,9:38.0,Defensive rebound by J. Brown,,7,3
24,1,9:27.0,K. Irving misses 2-pt jump shot from 6 ft,,7,3
25,1,9:27.0,Offensive rebound by K. Irving,,7,3
26,1,9:22.0,K. Irving makes 2-pt layup at rim,,9,3
27,1,9:16.0,,J. Bayless makes 3-pt jump shot from 22 ft (assist by B. Simmons),9,6
28,1,9:02.0,Turnover by A. Horford (bad pass; steal by J. Bayless),,9,6
29,1,8:58.0,,J. Redick makes 3-pt jump shot from 25 ft,9,9
30,1,8:41.0,J. Tatum makes 2-pt jump shot from 17 ft (assist by A. Baynes),,11,9
31,1,8:23.0,,B. Simmons misses 2-pt jump shot from 9 ft,11,9
