,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHOENIX_ACTION,NEW ORLEANS_SCORE,PHOENIX_SCORE
0,1,11:39.0,D. Cousins makes 2-pt jump shot from 14 ft,,2,0
1,1,11:21.0,,G. Monroe misses 2-pt layup from 2 ft,2,0
2,1,11:19.0,Defensive rebound by A. Davis,,2,0
3,1,11:12.0,R. Rondo makes 2-pt layup at rim,,4,0
4,1,10:54.0,,T. Warren makes 3-pt jump shot from 25 ft (assist by T. Ulis),4,3
5,1,10:35.0,Turnover by D. Cousins (bad pass; steal by D. Booker),,4,3
6,1,10:19.0,,T. Ulis misses 3-pt jump shot from 24 ft,4,3
7,1,10:16.0,,Offensive rebound by T. Chandler,4,3
8,1,10:16.0,,T. Chandler misses 2-pt layup at rim (block by A. Davis),4,3
9,1,10:16.0,,Offensive rebound by Team,4,3
10,1,10:13.0,,Turnover by G. Monroe (lost ball; steal by R. Rondo),4,3
11,1,10:13.0,Personal foul by G. Monroe (drawn by D. Cousins),,4,3
12,1,10:03.0,A. Davis misses 2-pt jump shot from 17 ft,,4,3
13,1,9:59.0,,Defensive rebound by G. Monroe,4,3
14,1,9:43.0,,T. Ulis makes 2-pt jump shot from 12 ft,4,5
15,1,9:28.0,J. Holiday misses 2-pt jump shot from 17 ft,,4,5
16,1,9:22.0,Offensive rebound by A. Davis,,4,5
17,1,9:22.0,A. Davis makes 2-pt layup at rim,,6,5
18,1,9:11.0,,Turnover by D. Booker (out of bounds lost ball),6,5
19,1,8:54.0,Turnover by A. Davis (traveling),,6,5
20,1,8:31.0,,T. Ulis misses 3-pt jump shot from 27 ft,6,5
21,1,8:28.0,Defensive rebound by E. Moore,,6,5
22,1,8:25.0,D. Cousins misses 2-pt layup from 1 ft,,6,5
23,1,8:25.0,,Defensive rebound by T. Warren,6,5
24,1,8:19.0,,T. Chandler makes 2-pt dunk at rim (assist by D. Booker),6,7
25,1,8:15.0,Turnover by J. Holiday (bad pass),,6,7
26,1,8:05.0,,D. Booker misses 3-pt jump shot from 27 ft,6,7
27,1,8:02.0,Defensive rebound by E. Moore,,6,7
28,1,7:49.0,D. Cousins misses 3-pt jump shot from 25 ft,,6,7
29,1,7:45.0,,Defensive rebound by T. Chandler,6,7
30,1,7:34.0,,T. Warren misses 2-pt jump shot from 7 ft,6,7
31,1,7:32.0,,Offensive rebound by G. Monroe,6,7
32,1,7:29.0,,T. Warren makes 2-pt layup from 1 ft (assist by G. Monroe),6,9
33,1,7:22.0,Shooting foul by G. Monroe (drawn by J. Holiday),,6,9
34,1,7:22.0,J. Holiday makes free throw 1 of 2,,7,9
35,1,7:22.0,,A. Len enters the game for G. Monroe,7,9
36,1,7:22.0,J. Holiday makes free throw 2 of 2,,8,9
37,1,7:08.0,,T. Warren misses 2-pt jump shot from 14 ft,8,9
38,1,7:04.0,Defensive rebound by D. Cousins,,8,9
39,1,7:02.0,Shooting foul by T. Chandler (drawn by A. Davis),,8,9
40,1,7:02.0,A. Davis makes free throw 1 of 2,,9,9
41,1,7:02.0,A. Davis misses free throw 2 of 2,,9,9
42,1,7:00.0,,Defensive rebound by A. Len,9,9
43,1,6:55.0,,Shooting foul by D. Cousins (drawn by T. Chandler),9,9
44,1,6:55.0,,Phoenix full timeout,9,9
45,1,6:55.0,,T. Chandler makes free throw 1 of 2,9,10
46,1,6:55.0,,T. Chandler makes free throw 2 of 2,9,11
47,1,6:44.0,,Violation by D. Booker (kicked ball),9,11
48,1,6:34.0,D. Cousins misses 2-pt hook shot from 2 ft,,9,11
49,1,6:33.0,,Defensive rebound by D. Booker,9,11
50,1,6:18.0,,T. Ulis makes 2-pt jump shot from 12 ft,9,13
51,1,6:06.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by J. Holiday),,12,13
52,1,5:58.0,,Turnover by D. Booker (lost ball; steal by D. Cousins),12,13
53,1,5:52.0,R. Rondo misses 2-pt layup at rim,,12,13
54,1,5:47.0,Offensive rebound by D. Cousins,,12,13
55,1,5:47.0,D. Cousins makes 2-pt layup at rim,,14,13
56,1,5:30.0,,D. Booker misses 3-pt jump shot from 26 ft,14,13
57,1,5:26.0,Defensive rebound by D. Cousins,,14,13
58,1,5:18.0,R. Rondo makes 2-pt layup from 1 ft,,16,13
59,1,5:03.0,,D. Booker makes 2-pt jump shot from 21 ft,16,15
