,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,,D. Howard makes 2-pt dunk at rim (assist by K. Walker),0,2
1,1,11:20.0,D. Russell makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,3,2
2,1,10:58.0,,M. Williams misses 3-pt jump shot from 22 ft,3,2
3,1,10:55.0,Defensive rebound by J. Allen,,3,2
4,1,10:51.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,3,2
5,1,10:48.0,,Defensive rebound by N. Batum,3,2
6,1,10:44.0,,Turnover by M. Kidd-Gilchrist (step out of bounds),3,2
7,1,10:34.0,A. Crabbe misses 3-pt jump shot from 26 ft,,3,2
8,1,10:30.0,,Defensive rebound by D. Howard,3,2
9,1,10:18.0,,K. Walker makes 2-pt jump shot from 21 ft,3,4
10,1,10:04.0,J. Allen makes 2-pt layup from 1 ft (assist by A. Crabbe),,5,4
11,1,9:56.0,,Personal foul by A. Crabbe (drawn by N. Batum),5,4
12,1,9:47.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,5,4
13,1,9:45.0,,Offensive rebound by D. Howard,5,4
14,1,9:45.0,,D. Howard makes 2-pt layup from 2 ft,5,6
15,1,9:45.0,,Shooting foul by J. Allen (drawn by D. Howard),5,6
16,1,9:45.0,,D. Howard makes free throw 1 of 1,5,7
17,1,9:37.0,A. Crabbe misses 2-pt jump shot from 16 ft,,5,7
18,1,9:33.0,,Defensive rebound by D. Howard,5,7
19,1,9:24.0,,Shooting foul by J. Allen (drawn by M. Kidd-Gilchrist),5,7
20,1,9:24.0,,M. Kidd-Gilchrist makes free throw 1 of 2,5,8
21,1,9:24.0,,M. Kidd-Gilchrist makes free throw 2 of 2,5,9
22,1,9:06.0,J. Allen makes 2-pt hook shot from 3 ft (assist by S. Dinwiddie),,7,9
23,1,8:57.0,,Turnover by D. Howard (bad pass; steal by A. Crabbe),7,9
24,1,8:53.0,A. Crabbe makes 2-pt dunk from 1 ft,,9,9
25,1,8:37.0,,D. Howard makes 2-pt dunk from 1 ft (assist by K. Walker),9,11
26,1,8:17.0,D. Carroll misses 3-pt jump shot from 23 ft,,9,11
27,1,8:14.0,,Defensive rebound by D. Howard,9,11
28,1,8:09.0,,K. Walker misses 3-pt jump shot from 25 ft,9,11
29,1,8:09.0,Defensive rebound by D. Carroll,,9,11
30,1,8:02.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by D. Russell),,12,11
31,1,7:48.0,,K. Walker misses 2-pt jump shot from 9 ft (block by D. Russell),12,11
32,1,7:44.0,,Offensive rebound by D. Howard,12,11
33,1,7:42.0,,D. Howard misses 2-pt layup at rim,12,11
34,1,7:40.0,Defensive rebound by S. Dinwiddie,,12,11
35,1,7:37.0,D. Russell misses 2-pt jump shot from 21 ft,,12,11
36,1,7:34.0,,Defensive rebound by N. Batum,12,11
37,1,7:32.0,,K. Walker misses 3-pt jump shot from 25 ft,12,11
38,1,7:32.0,,Offensive rebound by Team,12,11
