,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW YORK_ACTION,GOLDEN STATE_SCORE,NEW YORK_SCORE
0,1,11:44.0,K. Thompson makes 2-pt layup from 1 ft (assist by J. McGee),,2,0
1,1,11:31.0,,Turnover by T. Hardaway (bad pass),2,0
2,1,11:24.0,D. Green misses 3-pt jump shot from 24 ft,,2,0
3,1,11:23.0,,Defensive rebound by Team,2,0
4,1,11:23.0,Loose ball foul by S. Curry (drawn by E. Mudiay),,2,0
5,1,11:11.0,,Turnover by M. Beasley (out of bounds lost ball),2,0
6,1,11:01.0,K. Thompson misses 3-pt jump shot from 25 ft,,2,0
7,1,10:59.0,,Defensive rebound by E. Freedom,2,0
8,1,10:54.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),2,2
9,1,10:42.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by S. Curry),,4,2
10,1,10:24.0,,E. Freedom makes 2-pt hook shot from 5 ft (assist by C. Lee),4,4
11,1,10:15.0,S. Curry makes 2-pt jump shot from 16 ft,,6,4
12,1,9:59.0,,C. Lee misses 2-pt layup from 2 ft (block by J. McGee),6,4
13,1,9:57.0,Defensive rebound by S. Curry,,6,4
14,1,9:55.0,S. Curry misses 3-pt jump shot from 26 ft,,6,4
15,1,9:54.0,,Defensive rebound by M. Beasley,6,4
16,1,9:38.0,,M. Beasley makes 2-pt jump shot from 14 ft,6,6
17,1,9:18.0,D. Green makes 2-pt layup from 1 ft (assist by J. McGee),,8,6
18,1,9:18.0,Shooting foul by E. Freedom (drawn by D. Green),,8,6
19,1,9:18.0,D. Green makes free throw 1 of 1,,9,6
20,1,8:56.0,,M. Beasley misses 2-pt jump shot from 9 ft,9,6
21,1,8:54.0,Defensive rebound by K. Durant,,9,6
22,1,8:48.0,K. Thompson makes 3-pt jump shot from 22 ft (assist by S. Curry),,12,6
23,1,8:27.0,,E. Mudiay makes 3-pt jump shot from 24 ft (assist by M. Beasley),12,9
24,1,8:18.0,K. Durant makes 3-pt jump shot from 22 ft (assist by D. Green),,15,9
25,1,8:17.0,,New York full timeout,15,9
26,1,8:01.0,,M. Beasley misses 2-pt layup from 7 ft,15,9
27,1,8:00.0,Defensive rebound by K. Thompson,,15,9
28,1,8:00.0,Personal foul by M. Beasley (drawn by K. Thompson),,15,9
29,1,7:47.0,Turnover by K. Durant (bad pass; steal by E. Mudiay),,15,9
30,1,7:42.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),15,11
31,1,7:30.0,J. McGee makes 2-pt layup at rim (assist by K. Durant),,17,11
32,1,7:15.0,,E. Mudiay makes 2-pt jump shot from 20 ft,17,13
33,1,7:03.0,S. Curry misses 3-pt jump shot from 26 ft,,17,13
