,QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
0,1,11:40.0,,Def 3 sec tech foul by T. Harris,0,0
1,1,11:40.0,,D. DeRozan makes technical free throw,0,1
2,1,11:38.0,,Shooting foul by A. Bradley (drawn by D. DeRozan),0,1
3,1,11:38.0,,D. DeRozan makes free throw 1 of 2,0,2
4,1,11:38.0,,D. DeRozan misses free throw 2 of 2,0,2
5,1,11:36.0,Defensive rebound by A. Drummond,,0,2
6,1,11:27.0,R. Bullock misses 2-pt layup from 3 ft,,0,2
7,1,11:23.0,,Defensive rebound by J. Valančiūnas,0,2
8,1,11:21.0,,Turnover by K. Lowry (lost ball; steal by R. Bullock),0,2
9,1,11:11.0,A. Bradley misses 3-pt jump shot from 26 ft,,0,2
10,1,11:07.0,,Defensive rebound by J. Valančiūnas,0,2
11,1,10:57.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by K. Lowry),0,4
12,1,10:41.0,Turnover by A. Bradley (turnover),,0,4
13,1,10:33.0,,J. Valančiūnas misses 2-pt layup from 5 ft (block by T. Harris),0,4
14,1,10:30.0,Defensive rebound by A. Drummond,,0,4
15,1,10:27.0,A. Bradley makes 2-pt layup at rim,,2,4
16,1,10:17.0,,D. DeRozan makes 2-pt jump shot from 4 ft,2,6
17,1,10:11.0,Detroit full timeout,,2,6
18,1,10:02.0,Personal foul by K. Lowry (drawn by T. Harris),,2,6
19,1,9:52.0,A. Drummond misses 2-pt jump shot from 8 ft,,2,6
20,1,9:49.0,,Defensive rebound by D. DeRozan,2,6
21,1,9:33.0,,Shooting foul by R. Bullock (drawn by K. Lowry),2,6
22,1,9:33.0,,K. Lowry makes free throw 1 of 3,2,7
23,1,9:33.0,,K. Lowry misses free throw 2 of 3,2,7
24,1,9:33.0,,Offensive rebound by Team,2,7
25,1,9:33.0,,K. Lowry makes free throw 3 of 3,2,8
26,1,9:25.0,I. Smith misses 2-pt jump shot from 19 ft,,2,8
27,1,9:22.0,,Defensive rebound by O. Anunoby,2,8
28,1,9:06.0,,K. Lowry misses 3-pt jump shot from 24 ft,2,8
29,1,9:02.0,,Offensive rebound by J. Valančiūnas,2,8
30,1,9:02.0,,J. Valančiūnas misses 2-pt layup from 1 ft (block by T. Harris),2,8
31,1,9:02.0,Defensive rebound by Team,,2,8
32,1,9:02.0,,Loose ball foul by J. Valančiūnas (drawn by A. Drummond),2,8
33,1,8:43.0,T. Harris misses 3-pt jump shot from 23 ft,,2,8
34,1,8:41.0,Offensive rebound by A. Drummond,,2,8
35,1,8:39.0,A. Drummond makes 2-pt layup at rim,,4,8
36,1,8:25.0,,K. Lowry misses 2-pt jump shot from 3 ft (block by I. Smith),4,8
37,1,8:25.0,,Offensive rebound by Team,4,8
38,1,8:23.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by K. Lowry),4,10
39,1,8:08.0,I. Smith misses 2-pt jump shot from 12 ft,,4,10
40,1,8:05.0,,Defensive rebound by J. Valančiūnas,4,10
41,1,7:56.0,,K. Lowry misses 2-pt jump shot from 19 ft,4,10
42,1,7:56.0,Defensive rebound by Team,,4,10
43,1,7:41.0,A. Bradley makes 3-pt jump shot from 26 ft,,7,10
44,1,7:18.0,,S. Ibaka misses 2-pt jump shot from 10 ft,7,10
45,1,7:17.0,Defensive rebound by I. Smith,,7,10
46,1,7:10.0,R. Bullock misses 3-pt jump shot from 26 ft,,7,10
47,1,7:08.0,,Defensive rebound by S. Ibaka,7,10
48,1,6:56.0,,S. Ibaka misses 3-pt jump shot from 25 ft,7,10
49,1,6:54.0,Defensive rebound by Team,,7,10
50,1,6:38.0,T. Harris misses 2-pt layup from 2 ft,,7,10
51,1,6:36.0,,Defensive rebound by J. Valančiūnas,7,10
52,1,6:31.0,,O. Anunoby misses 2-pt layup from 2 ft (block by R. Bullock),7,10
53,1,6:25.0,,Offensive rebound by O. Anunoby,7,10
54,1,6:25.0,,O. Anunoby makes 2-pt layup at rim,7,12
55,1,6:17.0,T. Harris misses 2-pt jump shot from 6 ft,,7,12
56,1,6:17.0,,Defensive rebound by K. Lowry,7,12
57,1,6:09.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),7,14
58,1,5:47.0,I. Smith misses 3-pt jump shot from 23 ft,,7,14
59,1,5:45.0,,Defensive rebound by O. Anunoby,7,14
60,1,5:42.0,,Shooting foul by R. Bullock (drawn by K. Lowry),7,14
61,1,5:42.0,,K. Lowry makes free throw 1 of 2,7,15
62,1,5:42.0,A. Tolliver enters the game for R. Bullock,,7,15
63,1,5:42.0,,K. Lowry makes free throw 2 of 2,7,16
64,1,5:31.0,A. Bradley misses 2-pt layup from 3 ft (block by J. Valančiūnas),,7,16
65,1,5:27.0,,Defensive rebound by S. Ibaka,7,16
66,1,5:23.0,,K. Lowry misses 3-pt jump shot from 23 ft,7,16
67,1,5:18.0,,Offensive rebound by J. Valančiūnas,7,16
68,1,5:16.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,7,18
69,1,4:59.0,A. Bradley misses 3-pt jump shot from 22 ft,,7,18
70,1,4:59.0,,Defensive rebound by J. Valančiūnas,7,18
71,1,4:51.0,,Turnover by D. DeRozan (turnover),7,18
72,1,4:43.0,Shooting foul by O. Anunoby (drawn by T. Harris),,7,18
73,1,4:43.0,T. Harris makes free throw 1 of 2,,8,18
74,1,4:43.0,T. Harris makes free throw 2 of 2,,9,18
75,1,4:27.0,,Turnover by K. Lowry (bad pass; steal by A. Bradley),9,18
76,1,4:23.0,T. Harris makes 2-pt dunk at rim (assist by A. Bradley),,11,18
77,1,4:13.0,,Toronto full timeout,11,18
78,1,4:13.0,,C. Miles enters the game for O. Anunoby,11,18
79,1,4:13.0,,J. Poeltl enters the game for J. Valančiūnas,11,18
80,1,4:10.0,,C. Miles makes 2-pt layup from 1 ft (assist by K. Lowry),11,20
81,1,3:51.0,Turnover by A. Tolliver (traveling),,11,20
82,1,3:38.0,,S. Ibaka misses 2-pt jump shot from 18 ft,11,20
83,1,3:35.0,Defensive rebound by I. Smith,,11,20
84,1,3:29.0,Personal foul by J. Poeltl (drawn by A. Drummond),,11,20
85,1,3:21.0,I. Smith misses 2-pt hook shot from 8 ft,,11,20
86,1,3:19.0,,Defensive rebound by J. Poeltl,11,20
87,1,3:10.0,,J. Poeltl makes 2-pt layup from 2 ft (assist by D. DeRozan),11,22
