,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CHICAGO_ACTION,CHARLOTTE_SCORE,CHICAGO_SCORE
0,1,11:41.0,,D. Valentine makes 2-pt layup from 1 ft (assist by R. Lopez),0,2
1,1,11:25.0,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),,3,2
2,1,11:01.0,,R. Lopez makes 2-pt jump shot from 20 ft (assist by J. Grant),3,4
3,1,10:44.0,M. Williams makes 2-pt layup from 2 ft,,5,4
4,1,10:44.0,,Violation by J. Holiday (def goaltending),5,4
5,1,10:44.0,,Technical foul by J. Holiday,5,4
6,1,10:44.0,K. Walker makes technical free throw,,6,4
7,1,10:29.0,,R. Lopez makes 2-pt layup at rim (assist by J. Grant),6,6
8,1,10:19.0,D. Howard misses 2-pt jump shot from 5 ft,,6,6
9,1,10:16.0,,Defensive rebound by L. Markkanen,6,6
10,1,10:07.0,,Turnover by R. Lopez (bad pass),6,6
11,1,9:54.0,N. Batum makes 2-pt jump shot from 6 ft,,8,6
12,1,9:54.0,Shooting foul by J. Holiday (drawn by N. Batum),,8,6
13,1,9:54.0,N. Batum makes free throw 1 of 1,,9,6
14,1,9:35.0,,J. Holiday misses 2-pt jump shot from 18 ft,9,6
15,1,9:28.0,,Offensive rebound by R. Lopez,9,6
16,1,9:28.0,,R. Lopez misses 2-pt layup at rim,9,6
17,1,9:26.0,Defensive rebound by M. Williams,,9,6
18,1,9:16.0,K. Walker makes 2-pt jump shot from 17 ft,,11,6
19,1,8:53.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by D. Valentine),11,9
20,1,8:43.0,D. Howard misses 2-pt jump shot from 15 ft,,11,9
21,1,8:38.0,,Defensive rebound by L. Markkanen,11,9
22,1,8:35.0,,D. Valentine makes 3-pt jump shot from 25 ft,11,12
23,1,8:20.0,N. Batum misses 3-pt jump shot from 26 ft,,11,12
24,1,8:16.0,,Defensive rebound by J. Grant,11,12
25,1,8:10.0,,R. Lopez misses 2-pt jump shot from 14 ft,11,12
26,1,8:07.0,Defensive rebound by N. Batum,,11,12
27,1,7:58.0,D. Howard makes 2-pt dunk at rim (assist by N. Batum),,13,12
28,1,7:51.0,Offensive charge foul by J. Grant (drawn by K. Walker),,13,12
29,1,7:51.0,,Turnover by J. Grant (offensive foul),13,12
30,1,7:41.0,K. Walker misses 3-pt jump shot from 25 ft,,13,12
31,1,7:37.0,,Defensive rebound by J. Holiday,13,12
32,1,7:33.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by J. Grant),13,15
33,1,7:12.0,Turnover by D. Howard (bad pass; steal by L. Markkanen),,13,15
34,1,6:54.0,,J. Holiday makes 2-pt layup from 1 ft (assist by J. Grant),13,17
35,1,6:35.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,13,17
36,1,6:31.0,,Defensive rebound by L. Markkanen,13,17
37,1,6:28.0,,D. Valentine misses 3-pt jump shot from 24 ft,13,17
38,1,6:24.0,Defensive rebound by K. Walker,,13,17
39,1,6:18.0,K. Walker makes 2-pt layup from 1 ft,,15,17
40,1,6:05.0,,R. Lopez misses 2-pt jump shot from 8 ft,15,17
41,1,6:03.0,Defensive rebound by D. Howard,,15,17
42,1,5:54.0,Shooting foul by J. Grant (drawn by M. Kidd-Gilchrist),,15,17
43,1,5:54.0,,Chicago full timeout,15,17
44,1,5:54.0,,K. Dunn enters the game for J. Grant,15,17
45,1,5:54.0,J. Lamb enters the game for N. Batum,,15,17
46,1,5:54.0,M. Kidd-Gilchrist makes free throw 1 of 2,,16,17
47,1,5:54.0,M. Kidd-Gilchrist makes free throw 2 of 2,,17,17
48,1,5:38.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Holiday),17,17
49,1,5:38.0,,J. Holiday makes free throw 1 of 2,17,18
50,1,5:38.0,,J. Holiday makes free throw 2 of 2,17,19
51,1,5:24.0,K. Walker misses 2-pt jump shot from 9 ft,,17,19
52,1,5:23.0,Offensive rebound by Team,,17,19
53,1,5:16.0,D. Howard misses 2-pt hook shot from 6 ft,,17,19
54,1,5:13.0,,Defensive rebound by D. Valentine,17,19
55,1,5:06.0,,D. Valentine misses 2-pt jump shot from 8 ft,17,19
56,1,5:03.0,Defensive rebound by K. Walker,,17,19
57,1,4:55.0,J. Lamb misses 3-pt jump shot from 25 ft,,17,19
58,1,4:51.0,,Defensive rebound by R. Lopez,17,19
59,1,4:42.0,,J. Holiday makes 2-pt dunk from 1 ft,17,21
60,1,4:21.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,17,21
61,1,4:18.0,,Defensive rebound by K. Dunn,17,21
62,1,4:11.0,,L. Markkanen misses 3-pt jump shot from 24 ft,17,21
63,1,4:08.0,Defensive rebound by M. Williams,,17,21
64,1,3:56.0,Turnover by D. Howard (traveling),,17,21
65,1,3:56.0,,Q. Pondexter enters the game for L. Markkanen,17,21
66,1,3:56.0,,B. Portis enters the game for D. Valentine,17,21
67,1,3:56.0,C. Zeller enters the game for D. Howard,,17,21
68,1,3:46.0,,J. Holiday misses 3-pt jump shot from 24 ft,17,21
69,1,3:44.0,Defensive rebound by K. Walker,,17,21
70,1,3:31.0,Shooting foul by J. Holiday (drawn by M. Kidd-Gilchrist),,17,21
71,1,3:31.0,M. Kidd-Gilchrist misses free throw 1 of 2,,17,21
72,1,3:31.0,Offensive rebound by Team,,17,21
73,1,3:31.0,,A. Blakeney enters the game for J. Holiday,17,21
74,1,3:31.0,M. Kidd-Gilchrist makes free throw 2 of 2,,18,21
75,1,3:11.0,,A. Blakeney misses 3-pt jump shot from 24 ft,18,21
76,1,3:09.0,Defensive rebound by M. Kidd-Gilchrist,,18,21
77,1,2:53.0,K. Walker makes 2-pt jump shot from 22 ft (assist by C. Zeller),,20,21
78,1,2:34.0,,Shooting foul by J. Lamb (drawn by A. Blakeney),20,21
79,1,2:34.0,Charlotte full timeout,,20,21
80,1,2:34.0,F. Kaminsky enters the game for M. Williams,,20,21
81,1,2:34.0,D. Bacon enters the game for M. Kidd-Gilchrist,,20,21
82,1,2:34.0,,A. Blakeney makes free throw 1 of 3,20,22
83,1,2:34.0,,A. Blakeney makes free throw 2 of 3,20,23
84,1,2:34.0,,C. Felício enters the game for R. Lopez,20,23
85,1,2:34.0,,A. Blakeney makes free throw 3 of 3,20,24
86,1,2:16.0,J. Lamb misses 3-pt jump shot from 25 ft,,20,24
87,1,2:13.0,Offensive rebound by F. Kaminsky,,20,24
88,1,2:12.0,F. Kaminsky makes 2-pt layup from 1 ft,,22,24
89,1,1:55.0,,Turnover by B. Portis (discontinued dribble),22,24
90,1,1:39.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,22,24
91,1,1:39.0,,Defensive rebound by K. Dunn,22,24
92,1,1:29.0,,K. Dunn misses 2-pt jump shot from 21 ft,22,24
93,1,1:29.0,Defensive rebound by C. Zeller,,22,24
94,1,1:18.0,D. Bacon makes 2-pt jump shot from 15 ft (assist by K. Walker),,24,24
95,1,1:01.0,,B. Portis misses 3-pt jump shot from 24 ft,24,24
96,1,0:57.0,Defensive rebound by J. Lamb,,24,24
97,1,0:55.0,K. Walker makes 3-pt jump shot from 22 ft (assist by J. Lamb),,27,24
98,1,0:33.0,,Q. Pondexter misses 2-pt layup from 2 ft,27,24
99,1,0:33.0,,Offensive rebound by B. Portis,27,24
100,1,0:33.0,,B. Portis makes 2-pt layup at rim,27,26
101,1,0:18.0,K. Walker misses 2-pt jump shot from 1 ft,,27,26
102,1,0:16.0,,Defensive rebound by C. Felício,27,26
103,1,0:02.0,,K. Dunn misses 2-pt jump shot from 7 ft,27,26
104,1,0:02.0,,Offensive rebound by Team,27,26
105,1,0:00.0,,Personal foul by F. Kaminsky (drawn by B. Portis),27,26
106,1,0:00.0,,D. Valentine enters the game for A. Blakeney,27,26
107,2,11:48.0,Turnover by M. Monk (lost ball; steal by K. Dunn),,27,26
108,2,11:43.0,,K. Dunn makes 2-pt layup from 1 ft,27,28
109,2,11:37.0,Turnover by D. Bacon (lost ball; steal by K. Dunn),,27,28
110,2,11:31.0,,K. Dunn makes 2-pt layup from 1 ft,27,30
111,2,11:21.0,F. Kaminsky makes 2-pt jump shot from 5 ft,,29,30
112,2,11:03.0,,A. Blakeney makes 2-pt jump shot from 11 ft,29,32
113,2,10:51.0,Personal foul by K. Dunn (drawn by M. Monk),,29,32
114,2,10:37.0,J. Lamb makes 2-pt jump shot from 11 ft,,31,32
115,2,10:37.0,Shooting foul by Q. Pondexter (drawn by J. Lamb),,31,32
116,2,10:37.0,J. Lamb makes free throw 1 of 1,,32,32
117,2,10:27.0,,K. Dunn misses 2-pt jump shot from 14 ft,32,32
118,2,10:27.0,Defensive rebound by C. Zeller,,32,32
119,2,10:12.0,J. Lamb misses 2-pt layup from 1 ft,,32,32
120,2,10:12.0,,Defensive rebound by B. Portis,32,32
121,2,10:06.0,,Turnover by K. Dunn (lost ball; steal by J. Lamb),32,32
122,2,10:06.0,Personal foul by K. Dunn (drawn by J. Lamb),,32,32
123,2,10:06.0,,J. Grant enters the game for K. Dunn,32,32
124,2,9:53.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by J. Lamb),,35,32
125,2,9:34.0,,C. Felício makes 2-pt layup from 1 ft (assist by A. Blakeney),35,34
126,2,9:16.0,C. Zeller makes 2-pt layup at rim (assist by J. Lamb),,37,34
127,2,9:05.0,,A. Blakeney misses 3-pt jump shot from 24 ft,37,34
128,2,9:05.0,Defensive rebound by F. Kaminsky,,37,34
129,2,8:58.0,Shooting foul by C. Felício (drawn by F. Kaminsky),,37,34
130,2,8:58.0,F. Kaminsky misses free throw 1 of 2,,37,34
131,2,8:58.0,Offensive rebound by Team,,37,34
132,2,8:58.0,,D. Valentine enters the game for Q. Pondexter,37,34
133,2,8:58.0,F. Kaminsky makes free throw 2 of 2,,38,34
134,2,8:47.0,,C. Felício misses 2-pt layup from 2 ft,38,34
135,2,8:46.0,Defensive rebound by J. Lamb,,38,34
136,2,8:41.0,J. Lamb makes 2-pt layup from 1 ft,,40,34
137,2,8:41.0,,Chicago full timeout,40,34
138,2,8:41.0,,J. Holiday enters the game for B. Portis,40,34
139,2,8:41.0,,L. Markkanen enters the game for A. Blakeney,40,34
140,2,8:25.0,,Turnover by D. Valentine (bad pass; steal by C. Zeller),40,34
141,2,8:17.0,M. Monk makes 3-pt jump shot from 23 ft (assist by J. Lamb),,43,34
142,2,8:04.0,,L. Markkanen misses 3-pt jump shot from 25 ft,43,34
143,2,8:04.0,Defensive rebound by J. Lamb,,43,34
144,2,7:56.0,Shooting foul by C. Felício (drawn by J. Lamb),,43,34
145,2,7:56.0,J. Lamb makes free throw 1 of 2,,44,34
146,2,7:56.0,,R. Lopez enters the game for C. Felício,44,34
147,2,7:56.0,J. Lamb makes free throw 2 of 2,,45,34
148,2,7:44.0,,L. Markkanen makes 2-pt jump shot from 11 ft,45,36
149,2,7:44.0,,Shooting foul by M. Monk (drawn by L. Markkanen),45,36
150,2,7:44.0,,L. Markkanen makes free throw 1 of 1,45,37
151,2,7:30.0,Turnover by F. Kaminsky (bad pass; steal by J. Holiday),,45,37
152,2,7:25.0,,J. Holiday misses 2-pt layup from 2 ft,45,37
153,2,7:23.0,Defensive rebound by D. Bacon,,45,37
154,2,7:15.0,Turnover by J. Lamb (bad pass; steal by J. Holiday),,45,37
155,2,7:11.0,,J. Holiday makes 2-pt dunk at rim,45,39
156,2,7:03.0,Charlotte full timeout,,45,39
157,2,7:03.0,D. Howard enters the game for D. Bacon,,45,39
158,2,7:03.0,N. Batum enters the game for C. Zeller,,45,39
159,2,6:58.0,Turnover by N. Batum (bad pass; steal by J. Holiday),,45,39
160,2,6:55.0,,Turnover by J. Holiday (step out of bounds),45,39
161,2,6:43.0,M. Monk misses 2-pt jump shot from 19 ft,,45,39
162,2,6:40.0,,Defensive rebound by J. Grant,45,39
163,2,6:31.0,,J. Grant makes 3-pt jump shot from 24 ft,45,42
164,2,6:08.0,J. Lamb misses 2-pt layup from 2 ft,,45,42
165,2,6:06.0,,Defensive rebound by L. Markkanen,45,42
166,2,5:56.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by J. Grant),45,45
167,2,5:39.0,Shooting foul by R. Lopez (drawn by F. Kaminsky),,45,45
168,2,5:39.0,F. Kaminsky misses free throw 1 of 2,,45,45
169,2,5:39.0,Offensive rebound by Team,,45,45
170,2,5:39.0,,K. Dunn enters the game for J. Grant,45,45
171,2,5:39.0,K. Walker enters the game for M. Monk,,45,45
172,2,5:39.0,F. Kaminsky makes free throw 2 of 2,,46,45
173,2,5:17.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by D. Valentine),46,48
174,2,4:59.0,D. Howard misses 2-pt jump shot from 21 ft,,46,48
175,2,4:59.0,,Defensive rebound by K. Dunn,46,48
176,2,4:51.0,,L. Markkanen misses 2-pt jump shot from 20 ft,46,48
177,2,4:51.0,,Offensive rebound by Team,46,48
178,2,4:48.0,M. Williams enters the game for J. Lamb,,46,48
179,2,4:48.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,46,48
180,2,4:40.0,,K. Dunn makes 2-pt jump shot from 11 ft,46,50
181,2,4:23.0,K. Walker makes 2-pt jump shot from 13 ft,,48,50
182,2,4:10.0,,D. Valentine makes 2-pt jump shot from 20 ft (assist by R. Lopez),48,52
183,2,3:50.0,Personal foul by K. Dunn (drawn by K. Walker),,48,52
184,2,3:50.0,K. Walker makes free throw 1 of 2,,49,52
185,2,3:50.0,,J. Grant enters the game for K. Dunn,49,52
186,2,3:50.0,K. Walker makes free throw 2 of 2,,50,52
187,2,3:31.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by R. Lopez),50,54
188,2,3:19.0,K. Walker misses 3-pt jump shot from 26 ft,,50,54
189,2,3:16.0,Offensive rebound by K. Walker,,50,54
190,2,3:11.0,D. Howard makes 2-pt layup from 3 ft (assist by K. Walker),,52,54
191,2,2:56.0,,D. Valentine misses 2-pt jump shot from 16 ft,52,54
192,2,2:54.0,Defensive rebound by D. Howard,,52,54
193,2,2:47.0,K. Walker misses 3-pt jump shot from 25 ft,,52,54
194,2,2:41.0,,Defensive rebound by D. Valentine,52,54
195,2,2:25.0,,J. Holiday misses 3-pt jump shot from 23 ft,52,54
196,2,2:22.0,Defensive rebound by D. Howard,,52,54
197,2,2:20.0,Charlotte full timeout,,52,54
198,2,2:20.0,C. Zeller enters the game for D. Howard,,52,54
199,2,2:10.0,N. Batum misses 2-pt jump shot from 14 ft,,52,54
200,2,2:07.0,,Defensive rebound by L. Markkanen,52,54
201,2,1:57.0,,J. Grant misses 2-pt jump shot from 22 ft,52,54
202,2,1:54.0,Defensive rebound by M. Kidd-Gilchrist,,52,54
203,2,1:45.0,M. Williams misses 2-pt layup from 1 ft,,52,54
204,2,1:45.0,,Defensive rebound by Team,52,54
205,2,1:31.0,,L. Markkanen makes 3-pt jump shot from 23 ft (assist by D. Valentine),52,57
206,2,1:14.0,K. Walker makes 2-pt layup from 1 ft,,54,57
207,2,0:58.0,,R. Lopez misses 2-pt jump shot from 21 ft,54,57
208,2,0:54.0,Defensive rebound by K. Walker,,54,57
209,2,0:48.0,K. Walker makes 2-pt jump shot from 22 ft,,56,57
210,2,0:37.0,,J. Grant makes 3-pt jump shot from 25 ft,56,60
211,2,0:29.0,K. Walker makes 3-pt jump shot from 26 ft,,59,60
212,2,0:10.0,,D. Valentine misses 3-pt jump shot from 24 ft,59,60
213,2,0:07.0,Defensive rebound by Team,,59,60
214,2,0:07.0,,K. Felder enters the game for J. Grant,59,60
215,2,0:07.0,,P. Zipser enters the game for J. Holiday,59,60
216,2,0:00.0,Shooting foul by R. Lopez (drawn by K. Walker),,59,60
217,2,0:00.0,K. Walker misses free throw 1 of 2,,59,60
218,2,0:00.0,Offensive rebound by Team,,59,60
219,2,0:00.0,K. Walker makes free throw 2 of 2,,60,60
220,3,11:39.0,K. Walker makes 2-pt jump shot from 12 ft,,62,60
221,3,11:21.0,,R. Lopez misses 2-pt jump shot from 20 ft,62,60
222,3,11:18.0,Defensive rebound by M. Williams,,62,60
223,3,11:09.0,D. Howard misses 2-pt jump shot from 8 ft,,62,60
224,3,11:07.0,,Defensive rebound by L. Markkanen,62,60
225,3,10:55.0,,Personal foul by M. Kidd-Gilchrist (drawn by L. Markkanen),62,60
226,3,10:51.0,,J. Grant misses 2-pt jump shot from 20 ft,62,60
227,3,10:48.0,Defensive rebound by N. Batum,,62,60
228,3,10:40.0,N. Batum misses 2-pt jump shot from 16 ft,,62,60
229,3,10:38.0,,Defensive rebound by J. Grant,62,60
230,3,10:34.0,,Personal foul by M. Kidd-Gilchrist (drawn by R. Lopez),62,60
231,3,10:27.0,,J. Holiday misses 3-pt jump shot from 25 ft,62,60
232,3,10:23.0,Defensive rebound by D. Howard,,62,60
233,3,10:11.0,M. Williams misses 2-pt jump shot from 20 ft,,62,60
234,3,10:07.0,,Defensive rebound by D. Valentine,62,60
235,3,10:04.0,,Offensive foul by R. Lopez (drawn by D. Howard),62,60
236,3,10:04.0,,Turnover by R. Lopez (offensive foul),62,60
237,3,9:55.0,K. Walker makes 2-pt jump shot from 13 ft,,64,60
