,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ORLANDO_ACTION,PORTLAND_SCORE,ORLANDO_SCORE
0,1,11:36.0,J. Nurkić misses 2-pt jump shot from 7 ft,,0,0
1,1,11:30.0,,Defensive rebound by N. Vučević,0,0
2,1,11:14.0,,Shooting foul by A. Aminu (drawn by A. Gordon),0,0
3,1,11:14.0,,A. Gordon misses free throw 1 of 2,0,0
4,1,11:14.0,,Offensive rebound by Team,0,0
5,1,11:14.0,,A. Gordon misses free throw 2 of 2,0,0
6,1,11:13.0,Defensive rebound by J. Nurkić,,0,0
7,1,11:06.0,A. Aminu misses 3-pt jump shot from 24 ft,,0,0
8,1,11:02.0,,Defensive rebound by E. Payton,0,0
9,1,10:51.0,,N. Vučević misses 2-pt layup from 6 ft,0,0
10,1,10:47.0,Defensive rebound by J. Nurkić,,0,0
11,1,10:36.0,J. Nurkić misses 2-pt layup from 1 ft,,0,0
12,1,10:36.0,,Defensive rebound by N. Vučević,0,0
13,1,10:28.0,,E. Payton makes 2-pt layup from 1 ft,0,2
14,1,10:17.0,Turnover by D. Lillard (lost ball; steal by E. Payton),,0,2
15,1,10:13.0,,J. Simmons makes 2-pt hook shot at rim,0,4
16,1,9:54.0,J. Nurkić misses 2-pt jump shot from 9 ft,,0,4
17,1,9:54.0,,Defensive rebound by A. Gordon,0,4
18,1,9:47.0,,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),0,6
19,1,9:26.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),,3,6
20,1,9:17.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by E. Payton),3,9
21,1,9:03.0,J. Nurkić makes 2-pt jump shot from 11 ft (assist by D. Lillard),,5,9
22,1,9:03.0,Shooting foul by N. Vučević (drawn by J. Nurkić),,5,9
23,1,9:03.0,J. Nurkić makes free throw 1 of 1,,6,9
24,1,8:51.0,,M. Hezonja misses 2-pt layup from 2 ft (block by A. Aminu),6,9
25,1,8:47.0,Defensive rebound by A. Aminu,,6,9
26,1,8:44.0,C. McCollum makes 2-pt layup from 1 ft,,8,9
27,1,8:30.0,,A. Gordon makes 2-pt layup at rim,8,11
28,1,8:03.0,E. Turner misses 2-pt jump shot from 11 ft,,8,11
29,1,7:59.0,,Defensive rebound by N. Vučević,8,11
30,1,7:46.0,,N. Vučević misses 2-pt layup from 1 ft,8,11
31,1,7:44.0,Defensive rebound by J. Nurkić,,8,11
32,1,7:34.0,J. Nurkić misses 2-pt jump shot from 21 ft,,8,11
33,1,7:31.0,,Defensive rebound by M. Hezonja,8,11
34,1,7:21.0,,A. Gordon makes 2-pt jump shot from 18 ft,8,13
35,1,7:00.0,C. McCollum makes 2-pt jump shot from 13 ft (assist by J. Nurkić),,10,13
36,1,6:52.0,,Turnover by E. Payton (traveling),10,13
37,1,6:52.0,,Orlando full timeout,10,13
38,1,6:35.0,E. Turner makes 2-pt jump shot from 18 ft,,12,13
39,1,6:12.0,,J. Simmons misses 2-pt jump shot from 14 ft,12,13
40,1,6:09.0,Defensive rebound by E. Turner,,12,13
41,1,6:03.0,E. Turner misses 2-pt jump shot from 14 ft,,12,13
42,1,6:00.0,,Defensive rebound by N. Vučević,12,13
43,1,5:54.0,,Personal foul by E. Turner (drawn by J. Simmons),12,13
44,1,5:54.0,Z. Collins enters the game for E. Turner,,12,13
45,1,5:54.0,E. Davis enters the game for J. Nurkić,,12,13
46,1,5:43.0,,N. Vučević misses 2-pt hook shot from 11 ft,12,13
47,1,5:39.0,Defensive rebound by E. Davis,,12,13
48,1,5:31.0,D. Lillard misses 2-pt jump shot from 10 ft,,12,13
49,1,5:29.0,,Defensive rebound by A. Gordon,12,13
50,1,5:10.0,,Turnover by A. Gordon (lost ball; steal by D. Lillard),12,13
51,1,5:05.0,C. McCollum misses 3-pt jump shot from 26 ft,,12,13
52,1,5:03.0,,Defensive rebound by J. Simmons,12,13
53,1,4:57.0,,N. Vučević misses 3-pt jump shot from 25 ft,12,13
54,1,4:53.0,Defensive rebound by A. Aminu,,12,13
55,1,4:34.0,A. Aminu makes 3-pt jump shot from 27 ft (assist by D. Lillard),,15,13
56,1,4:26.0,Offensive charge foul by A. Gordon (drawn by Z. Collins),,15,13
57,1,4:26.0,,Turnover by A. Gordon (offensive foul),15,13
58,1,4:26.0,,W. Iwundu enters the game for M. Hezonja,15,13
59,1,4:26.0,P. Connaughton enters the game for C. McCollum,,15,13
60,1,4:14.0,D. Lillard makes 3-pt jump shot from 28 ft,,18,13
61,1,4:04.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by E. Payton),18,16
62,1,3:44.0,A. Aminu makes 2-pt layup at rim (assist by D. Lillard),,20,16
63,1,3:43.0,,Orlando full timeout,20,16
64,1,3:43.0,,B. Biyombo enters the game for E. Payton,20,16
65,1,3:43.0,,D. Augustin enters the game for N. Vučević,20,16
