,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
0,1,11:42.0,T. Prince makes 2-pt layup from 3 ft,,2,0
1,1,11:23.0,,E. Freedom misses 2-pt hook shot from 7 ft,2,0
2,1,11:20.0,Defensive rebound by M. Plumlee,,2,0
3,1,11:09.0,Personal foul by E. Freedom (drawn by M. Plumlee),,2,0
4,1,11:03.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by K. Bazemore),,4,0
5,1,10:56.0,,C. Lee makes 2-pt layup from 2 ft,4,2
6,1,10:38.0,E. İlyasova misses 2-pt layup from 4 ft (block by K. Porziņģis),,4,2
7,1,10:35.0,Offensive rebound by E. İlyasova,,4,2
8,1,10:34.0,D. Schröder misses 3-pt jump shot from 24 ft,,4,2
9,1,10:31.0,,Defensive rebound by K. Porziņģis,4,2
10,1,10:16.0,,Turnover by K. Porziņģis (lost ball; steal by E. İlyasova),4,2
11,1,10:12.0,K. Bazemore makes 2-pt jump shot from 19 ft (assist by T. Prince),,6,2
12,1,9:55.0,,J. Jack makes 2-pt jump shot from 20 ft,6,4
13,1,9:39.0,E. İlyasova makes 2-pt dunk at rim (assist by M. Plumlee),,8,4
14,1,9:26.0,,J. Jack makes 2-pt jump shot from 19 ft,8,6
15,1,9:07.0,Personal foul by L. Thomas (drawn by T. Prince),,8,6
16,1,9:00.0,D. Schröder makes 2-pt layup from 1 ft,,10,6
17,1,8:44.0,,E. Freedom makes 2-pt hook shot from 5 ft,10,8
18,1,8:27.0,E. İlyasova misses 3-pt jump shot from 25 ft,,10,8
19,1,8:22.0,,Defensive rebound by E. Freedom,10,8
20,1,8:21.0,,Turnover by E. Freedom (out of bounds lost ball),10,8
21,1,8:02.0,T. Prince misses 2-pt layup from 2 ft,,10,8
22,1,8:00.0,,Defensive rebound by K. Porziņģis,10,8
23,1,7:54.0,,C. Lee misses 3-pt jump shot from 23 ft,10,8
24,1,7:54.0,Defensive rebound by Team,,10,8
25,1,7:54.0,,Loose ball foul by L. Thomas (drawn by E. İlyasova),10,8
26,1,7:54.0,,D. McDermott enters the game for L. Thomas,10,8
