,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PORTLAND_ACTION,HOUSTON_SCORE,PORTLAND_SCORE
0,1,11:36.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),0,3
1,1,11:21.0,J. Harden makes 2-pt layup from 1 ft (assist by C. Capela),,2,3
2,1,11:21.0,Shooting foul by J. Nurkić (drawn by J. Harden),,2,3
3,1,11:21.0,J. Harden makes free throw 1 of 1,,3,3
4,1,11:01.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by M. Harkless),3,6
5,1,10:42.0,J. Harden misses 2-pt layup from 1 ft,,3,6
6,1,10:40.0,,Defensive rebound by J. Nurkić,3,6
7,1,10:35.0,,D. Lillard misses 3-pt jump shot from 28 ft,3,6
8,1,10:32.0,Defensive rebound by T. Ariza,,3,6
9,1,10:21.0,Shooting foul by D. Lillard (drawn by J. Harden),,3,6
10,1,10:21.0,J. Harden misses free throw 1 of 2,,3,6
11,1,10:21.0,Offensive rebound by Team,,3,6
12,1,10:21.0,J. Harden makes free throw 2 of 2,,4,6
13,1,10:04.0,,A. Aminu misses 3-pt jump shot from 26 ft,4,6
14,1,10:01.0,,Offensive rebound by J. Nurkić,4,6
15,1,9:59.0,,C. McCollum misses 3-pt jump shot from 29 ft,4,6
16,1,9:57.0,Defensive rebound by C. Paul,,4,6
17,1,9:48.0,J. Harden misses 3-pt jump shot from 24 ft,,4,6
18,1,9:46.0,,Defensive rebound by J. Nurkić,4,6
19,1,9:27.0,,C. McCollum misses 2-pt jump shot from 3 ft (block by C. Capela),4,6
20,1,9:24.0,Defensive rebound by C. Capela,,4,6
21,1,9:12.0,J. Harden makes 3-pt jump shot from 26 ft,,7,6
22,1,8:57.0,,A. Aminu misses 2-pt jump shot from 4 ft,7,6
23,1,8:56.0,,Offensive rebound by J. Nurkić,7,6
24,1,8:56.0,,J. Nurkić makes 2-pt layup from 2 ft,7,8
25,1,8:38.0,J. Harden makes 2-pt layup from 1 ft,,9,8
26,1,8:29.0,,D. Lillard makes 2-pt layup from 1 ft,9,10
27,1,8:06.0,C. Paul misses 2-pt layup from 1 ft,,9,10
28,1,8:04.0,,Defensive rebound by J. Nurkić,9,10
29,1,8:01.0,,Shooting foul by T. Ariza (drawn by M. Harkless),9,10
30,1,8:01.0,,M. Harkless makes free throw 1 of 2,9,11
