,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
0,1,11:35.0,D. Šarić misses 2-pt jump shot from 16 ft,,0,0
1,1,11:32.0,,Defensive rebound by B. Bogdanović,0,0
2,1,11:19.0,,V. Oladipo misses 2-pt jump shot from 19 ft,0,0
3,1,11:16.0,Defensive rebound by J. Embiid,,0,0
4,1,11:06.0,J. Redick misses 3-pt jump shot from 26 ft,,0,0
5,1,11:03.0,,Defensive rebound by M. Turner,0,0
6,1,10:57.0,,M. Turner misses 3-pt jump shot from 28 ft,0,0
7,1,10:53.0,Defensive rebound by R. Covington,,0,0
8,1,10:46.0,B. Simmons misses 2-pt layup from 2 ft,,0,0
9,1,10:44.0,,Defensive rebound by M. Turner,0,0
10,1,10:39.0,,B. Bogdanović makes 2-pt layup at rim (assist by D. Collison),0,2
11,1,10:39.0,Violation by J. Embiid (def goaltending),,0,2
12,1,10:25.0,D. Šarić makes 2-pt layup from 1 ft,,2,2
13,1,10:16.0,,V. Oladipo makes 2-pt jump shot from 16 ft,2,4
14,1,9:55.0,B. Simmons makes 2-pt jump shot from 9 ft,,4,4
15,1,9:47.0,,Turnover by T. Young (out of bounds lost ball),4,4
16,1,9:27.0,J. Embiid makes 2-pt jump shot from 8 ft,,6,4
17,1,9:27.0,Shooting foul by M. Turner (drawn by J. Embiid),,6,4
18,1,9:27.0,J. Embiid misses free throw 1 of 1,,6,4
19,1,9:25.0,,Defensive rebound by B. Bogdanović,6,4
20,1,9:05.0,,T. Young makes 2-pt jump shot from 15 ft (assist by B. Bogdanović),6,6
21,1,8:52.0,B. Simmons misses 2-pt hook shot from 7 ft,,6,6
22,1,8:50.0,Offensive rebound by B. Simmons,,6,6
23,1,8:50.0,B. Simmons misses 2-pt layup at rim,,6,6
24,1,8:50.0,Offensive rebound by J. Embiid,,6,6
25,1,8:50.0,Shooting foul by M. Turner (drawn by J. Embiid),,6,6
26,1,8:50.0,J. Embiid misses free throw 1 of 2,,6,6
27,1,8:50.0,Offensive rebound by Team,,6,6
28,1,8:50.0,,D. Sabonis enters the game for M. Turner,6,6
29,1,8:50.0,J. Embiid misses free throw 2 of 2,,6,6
30,1,8:46.0,Offensive rebound by B. Simmons,,6,6
31,1,8:44.0,J. Redick misses 3-pt jump shot from 26 ft,,6,6
32,1,8:41.0,,Defensive rebound by V. Oladipo,6,6
33,1,8:34.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Sabonis),6,9
34,1,8:17.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Embiid),,8,9
