,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
0,1,11:46.0,D. Cousins makes 2-pt layup at rim (assist by A. Davis),,2,0
1,1,11:19.0,,W. Matthews misses 2-pt jump shot from 16 ft,2,0
2,1,11:17.0,Defensive rebound by D. Cousins,,2,0
3,1,11:08.0,J. Holiday misses 3-pt jump shot from 22 ft,,2,0
4,1,11:05.0,,Defensive rebound by H. Barnes,2,0
5,1,10:47.0,,D. Smith misses 2-pt layup from 3 ft (block by A. Davis),2,0
6,1,10:44.0,,Offensive rebound by D. Smith,2,0
7,1,10:43.0,,D. Smith misses 2-pt layup from 1 ft,2,0
8,1,10:43.0,Defensive rebound by D. Cousins,,2,0
9,1,10:30.0,D. Cousins makes 2-pt layup from 1 ft (assist by J. Holiday),,4,0
10,1,10:17.0,,H. Barnes misses 2-pt jump shot from 21 ft,4,0
11,1,10:15.0,Defensive rebound by D. Cousins,,4,0
12,1,10:05.0,D. Cousins misses 3-pt jump shot from 25 ft,,4,0
13,1,10:01.0,,Defensive rebound by H. Barnes,4,0
14,1,9:51.0,,W. Matthews makes 2-pt jump shot from 20 ft,4,2
15,1,9:31.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by J. Holiday),,6,2
16,1,9:11.0,,D. Smith misses 2-pt jump shot from 21 ft,6,2
17,1,9:09.0,Defensive rebound by A. Davis,,6,2
18,1,8:59.0,J. Holiday misses 2-pt layup from 2 ft,,6,2
19,1,8:57.0,,Defensive rebound by H. Barnes,6,2
20,1,8:36.0,,N. Noel misses 2-pt jump shot from 16 ft,6,2
21,1,8:33.0,Defensive rebound by D. Cousins,,6,2
22,1,8:29.0,A. Davis makes 2-pt hook shot from 4 ft (assist by D. Cousins),,8,2
23,1,8:28.0,,Dallas full timeout,8,2
24,1,8:15.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Smith),8,5
25,1,8:00.0,Turnover by D. Cousins (lost ball; steal by N. Noel),,8,5
26,1,7:56.0,,Turnover by D. Smith (bad pass),8,5
27,1,7:44.0,Shooting foul by H. Barnes (drawn by A. Davis),,8,5
28,1,7:44.0,A. Davis makes free throw 1 of 2,,9,5
29,1,7:44.0,A. Davis makes free throw 2 of 2,,10,5
30,1,7:33.0,,H. Barnes misses 3-pt jump shot from 25 ft,10,5
31,1,7:29.0,Defensive rebound by D. Cousins,,10,5
32,1,7:24.0,A. Davis makes 2-pt dunk at rim (assist by D. Cousins),,12,5
33,1,7:09.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,12,5
