,QUARTER,TIME_REMAINING,UTAH_ACTION,CHICAGO_ACTION,UTAH_SCORE,CHICAGO_SCORE
0,1,11:44.0,,D. Valentine makes 2-pt layup from 3 ft (assist by R. Lopez),0,2
1,1,11:29.0,D. Mitchell misses 2-pt jump shot from 2 ft,,0,2
2,1,11:28.0,Offensive rebound by D. Favors,,0,2
3,1,11:28.0,D. Mitchell makes 2-pt layup from 2 ft (assist by R. Rubio),,2,2
4,1,11:28.0,Shooting foul by N. Mirotić (drawn by D. Mitchell),,2,2
5,1,11:28.0,D. Mitchell makes free throw 1 of 1,,3,2
6,1,11:13.0,,K. Dunn makes 2-pt jump shot from 6 ft,3,4
7,1,10:55.0,Turnover by R. Rubio (bad pass),,3,4
8,1,10:40.0,,J. Holiday misses 2-pt jump shot from 11 ft (block by R. Gobert),3,4
9,1,10:40.0,,Offensive rebound by Team,3,4
10,1,10:39.0,,Turnover by N. Mirotić (step out of bounds),3,4
11,1,10:26.0,D. Mitchell misses 2-pt jump shot from 11 ft (block by R. Lopez),,3,4
12,1,10:23.0,,Defensive rebound by N. Mirotić,3,4
13,1,10:17.0,,N. Mirotić misses 3-pt jump shot from 26 ft,3,4
14,1,10:13.0,Defensive rebound by R. Gobert,,3,4
15,1,10:04.0,D. Mitchell makes 2-pt layup from 1 ft,,5,4
16,1,9:58.0,,Turnover by K. Dunn (discontinued dribble),5,4
17,1,9:42.0,R. Rubio misses 3-pt jump shot from 22 ft,,5,4
18,1,9:39.0,,Defensive rebound by N. Mirotić,5,4
19,1,9:33.0,,J. Holiday misses 3-pt jump shot from 24 ft,5,4
20,1,9:29.0,,Offensive rebound by R. Lopez,5,4
21,1,9:27.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by R. Lopez),5,7
22,1,9:06.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Ingles),,8,7
23,1,8:55.0,,K. Dunn misses 2-pt jump shot from 18 ft,8,7
24,1,8:51.0,Defensive rebound by D. Favors,,8,7
25,1,8:41.0,D. Mitchell misses 3-pt jump shot from 24 ft,,8,7
26,1,8:41.0,,Defensive rebound by D. Valentine,8,7
27,1,8:20.0,,N. Mirotić misses 2-pt layup from 1 ft,8,7
28,1,8:17.0,Defensive rebound by D. Favors,,8,7
29,1,8:13.0,Turnover by D. Favors (out of bounds lost ball),,8,7
